hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
665487,Fernando Tatis Jr.,SD,CHC,2026-07-01T18:20:00Z,In Progress,1,Colin Rea,607067,R,R,11.21,0.1227,92.53,104.2767,0.4586,0.1736,0.3623,75.12,55.72,30.74,21.73,53.41,11.0,10.86,41.21,89.87,0.4639,0.1959,26.12,14.4,14.4,14.4,Wrigley Field,104,92,12,Out To CF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,31,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.9% barrel, 14.4 HR allowed",EV profile; pitcher fly-ball pressure modest,,
687749,Jase Bowen,SD,CHC,2026-07-01T18:20:00Z,In Progress,2,Colin Rea,607067,R,R,5.9,0.031,82.2,92.9104,0.224,0.059,0.2,73.3,33.3,33.3,50.0,16.7,0.0,10.86,41.21,89.87,0.4639,0.1959,26.12,14.4,14.4,14.4,Wrigley Field,104,92,12,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,7,0,"Last 7 games: 1/7, 0 HR","same-side matchup; pitcher baseline 10.9% barrel, 14.4 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,,
657757,Gavin Sheets,SD,CHC,2026-07-01T18:20:00Z,In Progress,3,Colin Rea,607067,R,L,9.18,0.2134,89.48,100.4179,0.4369,0.1851,0.3358,74.45,47.42,40.17,24.26,45.03,15.5,10.86,41.21,89.87,0.4639,0.1959,26.12,14.4,14.4,14.4,Wrigley Field,104,92,12,Out To CF,Yes,Yes,2,Yes,Yes,MLB Stats API; RotoWire,order MLB 3 vs RotoWire 2,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,17,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.9% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
592518,Manny Machado,SD,CHC,2026-07-01T18:20:00Z,In Progress,4,Colin Rea,607067,R,R,11.08,0.2025,90.87,101.7959,0.439,0.196,0.3284,74.57,43.77,40.22,27.17,45.62,19.3,10.86,41.21,89.87,0.4639,0.1959,26.12,14.4,14.4,14.4,Wrigley Field,104,92,12,Out To CF,Yes,Yes,3,Yes,Yes,MLB Stats API; RotoWire,order MLB 4 vs RotoWire 3,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.9% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
666023,Freddy Fermin,SD,CHC,2026-07-01T18:20:00Z,In Progress,5,Colin Rea,607067,R,R,3.22,0.1041,87.14,96.6954,0.2982,0.0949,0.2668,69.81,6.21,37.13,28.07,28.36,3.6,10.86,41.21,89.87,0.4639,0.1959,26.12,14.4,14.4,14.4,Wrigley Field,104,92,12,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,15,0,"Last 7 games: 2/15, 0 HR","same-side matchup; pitcher baseline 10.9% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
664034,Ty France,SD,CHC,2026-07-01T18:20:00Z,In Progress,6,Colin Rea,607067,R,R,10.64,0.1982,90.69,101.4314,0.4397,0.1919,0.3273,71.63,17.01,35.38,22.66,46.3,9.1,10.86,41.21,89.87,0.4639,0.1959,26.12,14.4,14.4,14.4,Wrigley Field,104,92,12,Out To CF,Yes,Yes,4,Yes,Yes,MLB Stats API; RotoWire,order MLB 6 vs RotoWire 4,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,17,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.9% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
701538,Jackson Merrill,SD,CHC,2026-07-01T18:20:00Z,In Progress,7,Colin Rea,607067,R,L,10.55,0.1489,89.84,100.4582,0.4347,0.1906,0.3169,73.05,28.16,37.84,27.96,45.35,10.4,10.86,41.21,89.87,0.4639,0.1959,26.12,14.4,14.4,14.4,Wrigley Field,104,92,12,Out To CF,Yes,Yes,5,Yes,Yes,MLB Stats API; RotoWire,order MLB 7 vs RotoWire 5,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,0,"Last 7 games: 5/28, 0 HR","platoon edge; pitcher baseline 10.9% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
669392,Samad Taylor,SD,CHC,2026-07-01T18:20:00Z,In Progress,8,Colin Rea,607067,R,R,1.33,0.0371,81.93,93.4958,0.3049,0.057,0.2782,68.46,2.66,34.45,11.8,19.92,0.7,10.86,41.21,89.87,0.4639,0.1959,26.12,14.4,14.4,14.4,Wrigley Field,104,92,12,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","same-side matchup; pitcher baseline 10.9% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
593428,Xander Bogaerts,SD,CHC,2026-07-01T18:20:00Z,In Progress,9,Colin Rea,607067,R,R,6.13,0.1112,88.3,99.7175,0.3878,0.1341,0.3214,72.13,26.0,45.55,22.92,38.92,8.9,10.86,41.21,89.87,0.4639,0.1959,26.12,14.4,14.4,14.4,Wrigley Field,104,92,12,Out To CF,Yes,Yes,6,Yes,Yes,MLB Stats API; RotoWire,order MLB 9 vs RotoWire 6,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,0,"Last 7 games: 7/23, 0 HR","same-side matchup; pitcher baseline 10.9% barrel, 14.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
691718,Pete Crow-Armstrong,CHC,SD,2026-07-01T18:20:00Z,In Progress,1,Walker Buehler,621111,R,L,11.56,0.2319,90.41,101.9391,0.4799,0.2246,0.3504,74.17,44.18,48.76,34.1,48.11,21.9,8.38,40.67,89.86,0.4185,0.1519,20.99,10.8,10.8,10.8,Wrigley Field,104,92,12,Out To CF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.4% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
