hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
663457,Lars Nootbaar,AZ,SF,2026-08-30T02:05:00Z,Pre-Game,1,Yunior Marte,805074,R,L,10.13,0.1291,91.58,101.6556,0.4266,0.1837,0.3338,73.26,36.52,38.49,28.27,49.58,7.4,,,,,,,,,,Oracle Park,85,59,8,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
682998,Corbin Carroll,AZ,SF,2026-08-30T02:05:00Z,Pre-Game,2,Yunior Marte,805074,R,L,12.89,0.2512,91.89,102.5288,0.473,0.2173,0.3552,75.16,53.98,43.17,30.46,49.06,22.6,,,,,,,,,,Oracle Park,85,59,8,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
672695,Geraldo Perdomo,AZ,SF,2026-08-30T02:05:00Z,Pre-Game,3,Yunior Marte,805074,R,S,3.89,0.1363,87.46,96.707,0.3708,0.1075,0.3371,67.5,2.36,43.17,26.01,30.78,12.3,,,,,,,,,,Oracle Park,85,59,8,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,23,0,Contact streak: 10/23 over last 7 games,"switch hitter; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
571448,Nolan Arenado,AZ,SF,2026-08-30T02:05:00Z,Pre-Game,4,Yunior Marte,805074,R,R,5.75,0.1792,85.61,97.0082,0.3541,0.1234,0.2897,71.33,15.89,46.72,28.0,31.97,18.3,,,,,,,,,,Oracle Park,85,59,8,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
596146,Max Kepler,AZ,SF,2026-08-30T02:05:00Z,Pre-Game,5,Yunior Marte,805074,R,L,9.36,0.1274,89.68,100.0026,0.3744,0.1531,0.2928,71.51,16.14,43.11,31.96,42.18,6.8,,,,,,,,,,Oracle Park,85,59,8,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,0,"Last 7 games: 6/24, 0 HR","platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
694374,Tim Tawa,AZ,SF,2026-08-30T02:05:00Z,Pre-Game,6,Yunior Marte,805074,R,R,9.93,0.1572,90.39,100.8701,0.4016,0.1662,0.3082,73.8,36.49,40.03,27.03,44.48,8.4,,,,,,,,,,Oracle Park,85,59,8,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,1,"Last 7 games: 6/23, 1 HR","same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
543510,James McCann,AZ,SF,2026-08-30T02:05:00Z,Pre-Game,7,Yunior Marte,805074,R,R,8.09,0.1521,90.41,101.0253,0.3933,0.1585,0.2948,71.95,22.67,29.45,24.63,44.85,4.3,,,,,,,,,,Oracle Park,85,59,8,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,15,0,"Last 7 games: 4/15, 0 HR","same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
545121,Ildemaro Vargas,AZ,SF,2026-08-30T02:05:00Z,Pre-Game,8,Yunior Marte,805074,R,S,3.55,0.1312,87.94,98.5341,0.3725,0.1028,0.2968,70.71,14.33,40.57,21.05,35.69,7.2,,,,,,,,,,Oracle Park,85,59,8,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,0,"Last 7 games: 4/28, 0 HR","switch hitter; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
814439,Ryan Waldschmidt,AZ,SF,2026-08-30T02:05:00Z,Pre-Game,9,Yunior Marte,805074,R,R,6.7,0.122,87.5,97.9684,0.377,0.128,0.307,72.2,20.2,36.2,28.9,31.5,3.0,,,,,,,,,,Oracle Park,85,59,8,Out To CF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,1,"Last 7 games: 3/18, 1 HR","same-side matchup; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
813841,Jonah Cox,SF,AZ,2026-08-30T02:05:00Z,Pre-Game,1,Mitch Bratt,683352,L,R,13.3,0.25,91.8,100.218,0.4,0.195,0.271,69.3,7.8,13.3,43.3,43.3,3.0,7.4,34.4,87.2,0.365,0.139,32.0,5.0,5.0,5.0,Oracle Park,85,59,8,Out To CF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.4% barrel, 5.0 HR allowed",fly-ball profile; pitcher allows elevated contact,,
