player,team,opponent,batting_order,pitcher,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,public_attention,odds
Cole Young,SEA,BAL,1,Trey Gibson,R,L,5.4,0.103,87.5,98.756715217,.406,.137,.329,71.6,22.9,45.9,25.9,36.8,4,14,44.2,92.9,.551,.248,23.3,2,2,2,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Julio Rodríguez,SEA,BAL,2,Trey Gibson,R,R,9.2,0.199,90.3,102.80619767,.463,.201,.338,76.7,67.7,37.9,25.7,43.7,13,14,44.2,92.9,.551,.248,23.3,2,2,2,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Josh Naylor,SEA,BAL,3,Trey Gibson,R,L,5.3,0.104,87.8,99.057865294,.409,.134,.327,70.1,7.2,45.6,20.9,38.3,6,14,44.2,92.9,.551,.248,23.3,2,2,2,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Randy Arozarena,SEA,BAL,4,Trey Gibson,R,R,7.7,0.157,91.5,100.432418022,.425,.158,.353,71,23.1,35.2,20.3,42.3,6,14,44.2,92.9,.551,.248,23.3,2,2,2,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Luke Raley,SEA,BAL,5,Trey Gibson,R,L,19.1,0.276,90.1,102.610464528,.554,.289,.374,75.3,57.6,48.2,30.9,46.4,13,14,44.2,92.9,.551,.248,23.3,2,2,2,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Dominic Canzone,SEA,BAL,6,Trey Gibson,R,L,16.7,0.250,93.6,104.01008463,.530,.244,.377,74.5,44.8,43.5,27.8,50,8,14,44.2,92.9,.551,.248,23.3,2,2,2,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Patrick Wisdom,SEA,BAL,7,Trey Gibson,R,R,20,0.143,92.5,103.3594425,.355,.174,.243,76.7,71.9,33.3,20,53.3,1,14,44.2,92.9,.551,.248,23.3,2,2,2,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Jhonny Pereda,SEA,BAL,8,Trey Gibson,R,R,4.9,0.125,90.6,100.429606667,.465,.130,.380,71.2,7,31.7,19.5,48.8,2,14,44.2,92.9,.551,.248,23.3,2,2,2,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Ryan Bliss,SEA,BAL,9,Trey Gibson,R,R,,0.000,,,.000,.000,.000,54.5,0,,,,0,14,44.2,92.9,.551,.248,23.3,2,2,2,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Taylor Ward,BAL,SEA,1,Emerson Hancock,R,R,5.1,0.105,89.4,99.14372382,.371,.119,.349,68.1,3.2,29.8,27,40.4,3,10.5,43.7,90,.441,.192,27.9,10,10,10,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Gunnar Henderson,BAL,SEA,2,Emerson Hancock,R,L,9,0.196,89.1,100.4306576,.399,.164,.303,74.4,44.3,43.7,26.6,45.2,13,10.5,43.7,90,.441,.192,27.9,10,10,10,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Pete Alonso,BAL,SEA,3,Emerson Hancock,R,R,12.2,0.203,95,103.441057684,.514,.242,.370,74.5,44.7,34.4,31.7,56.1,13,10.5,43.7,90,.441,.192,27.9,10,10,10,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Colton Cowser,BAL,SEA,4,Emerson Hancock,R,L,12.5,0.165,85.7,99.180888837,.428,.216,.315,75,49.4,36.4,29.5,30.7,6,10.5,43.7,90,.441,.192,27.9,10,10,10,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Leody Taveras,BAL,SEA,5,Emerson Hancock,R,S,3.9,0.110,86.4,97.519914068,.343,.102,.307,72.7,26.6,33.1,20.5,26.8,2,10.5,43.7,90,.441,.192,27.9,10,10,10,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Jackson Holliday,BAL,SEA,6,Emerson Hancock,R,L,8.8,0.184,89.3,99.687136471,.407,.172,.338,70.5,7.7,38.2,35.3,41.2,2,10.5,43.7,90,.441,.192,27.9,10,10,10,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Coby Mayo,BAL,SEA,7,Emerson Hancock,R,R,10.3,0.185,91.7,104.111479444,.383,.165,.294,75.6,56.7,52.3,33.6,48.6,8,10.5,43.7,90,.441,.192,27.9,10,10,10,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Blaze Alexander,BAL,SEA,8,Emerson Hancock,R,R,4.9,0.117,92.3,100.526021429,.431,.135,.338,72.6,28.2,28.4,19.6,46.1,2,10.5,43.7,90,.441,.192,27.9,10,10,10,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Sam Huff,BAL,SEA,9,Emerson Hancock,R,R,25,0.111,100.2,104.51436,.209,.103,.132,71.8,35,75,50,75,0,10.5,43.7,90,.441,.192,27.9,10,10,10,Oriole Park at Camden Yards,108,74,6,In From RF,Yes,,
Jarren Duran,BOS,TB,1,Ian Seymour,L,L,11.7,0.182,90.6,102.212875802,.395,.163,.302,75.3,54.1,43.6,21.2,40.6,10,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Ceddanne Rafaela,BOS,TB,2,Ian Seymour,L,R,6.8,0.146,87.1,97.835995062,.363,.118,.301,69.8,5.8,35.2,24.8,37,5,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Wilyer Abreu,BOS,TB,3,Ian Seymour,L,L,11.5,0.145,89.8,100.591269583,.472,.200,.348,73.6,37.3,33.7,36.8,43,7,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Willson Contreras,BOS,TB,4,Ian Seymour,L,R,15.7,0.242,90.6,103.369992468,.537,.258,.399,76.4,67.6,51.6,25.2,44.5,13,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Mickey Gasper,BOS,TB,5,Ian Seymour,L,S,6,0.076,92.6,100.1095184,.358,.115,.292,71.7,10.5,46,30,48,0,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Caleb Durbin,BOS,TB,6,Ian Seymour,L,R,1.9,0.099,85.3,96.394070789,.295,.065,.268,68.2,1.8,41,16,30.1,1,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Isiah Kiner-Falefa,BOS,TB,7,Ian Seymour,L,R,4,0.066,83.4,95.621609167,.347,.082,.301,68.2,2,39.5,17.1,27.6,1,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Marcelo Mayer,BOS,TB,8,Ian Seymour,L,L,6,0.073,86.8,98.155320149,.292,.091,.257,74.8,51.7,37,26.7,37,2,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Carlos Narváez,BOS,TB,9,Ian Seymour,L,R,6.7,0.099,91.5,99.399918108,.334,.111,.284,71.5,17.6,28,28,37.3,2,9.4,36.5,88.5,.412,.186,32.9,4,4,4,Tropicana Field,100,72,0,None,Yes,,
Yandy Díaz,TB,BOS,1,Connelly Early,L,R,8.8,0.201,90.9,102.51661134,.485,.186,.374,73.6,38.1,18.9,21.4,46.4,11,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Austin Slater,TB,BOS,2,Connelly Early,L,R,3.4,0.024,85.7,93.282175333,.246,.065,.233,71.4,12.2,31,27.6,13.8,0,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Junior Caminero,TB,BOS,3,Connelly Early,L,R,11.9,0.221,92.3,105.075111134,.484,.206,.373,79.9,88.4,41.2,21.1,48.2,14,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
Ryan Vilade,TB,BOS,4,Connelly Early,L,R,4.1,0.165,89.8,100.165311667,.379,.134,.307,76,58.8,33.8,28.4,37.8,3,12.4,43.5,90.7,.452,.204,32.8,11,11,11,Tropicana Field,100,72,0,None,Yes,,
