player,team,opponent,batting_order,pitcher,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,public_attention,odds
Jeremy Peña,HOU,LAA,1,Grayson Rodriguez,R,R,5.1,0.139,86,97.9821558,.480,.153,.375,72.2,11.7,44.4,29.3,32.3,3,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
Yordan Alvarez,HOU,LAA,2,Grayson Rodriguez,R,L,18.6,0.334,94.9,105.879464574,.737,.390,.493,76,60.1,44.7,38.4,54.2,22,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Christian Walker,HOU,LAA,3,Grayson Rodriguez,R,R,12.2,0.248,90.2,101.733583684,.429,.190,.321,74.1,41.3,42.3,28,45,16,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
Isaac Paredes,HOU,LAA,4,Grayson Rodriguez,R,R,6.7,0.174,87.1,97.151275889,.374,.134,.317,67.6,6.1,56.1,32.8,30.6,9,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,,
Jose Altuve,HOU,LAA,5,Grayson Rodriguez,R,R,6.1,0.147,86.3,98.318256563,.367,.119,.310,69,9.1,43.6,18,36.8,5,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,,
LaMonte Wade Jr.,HOU,LAA,6,Grayson Rodriguez,R,L,14.3,0.400,82.8,98.0185275,.465,.253,.283,73.3,31.6,42.9,28.6,42.9,1,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,,
Cam Smith,HOU,LAA,7,Grayson Rodriguez,R,R,12.8,0.130,89,102.107343467,.440,.197,.337,77,72.4,32,25.3,44,6,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,,
Taylor Trammell,HOU,LAA,8,Grayson Rodriguez,R,L,4.9,0.094,89.2,99.746698,.304,.096,.262,73.4,37.3,56.1,26.8,31.7,0,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,,
Collin Price,HOU,LAA,9,Grayson Rodriguez,R,R,0,0.000,96.8,97.8586,.333,.233,.283,76.1,55.6,0,100,100,0,10.3,50,91.3,.567,.262,32.8,4,4,4,Angel Stadium,101,74,9,Out To LF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,,
Zach Neto,LAA,HOU,1,Spencer Arrighetti,R,R,11.8,0.210,89.8,98.887466125,.409,.198,.322,70.5,8.7,49.1,37.3,37.3,12,5.9,29.6,87.3,.387,.144,30.4,3,3,3,Angel Stadium,101,74,9,Out To LF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
Mike Trout,LAA,HOU,2,Spencer Arrighetti,R,R,20.9,0.226,91.7,103.713028354,.565,.307,.416,75.1,52.4,40.9,36.5,51.6,14,5.9,29.6,87.3,.387,.144,30.4,3,3,3,Angel Stadium,101,74,9,Out To LF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Wade Meckler,LAA,HOU,3,Spencer Arrighetti,R,L,10.3,0.213,85.1,96.667174737,.497,.221,.360,69.8,4.4,38.5,28.2,28.2,2,5.9,29.6,87.3,.387,.144,30.4,3,3,3,Angel Stadium,101,74,9,Out To LF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
Jo Adell,LAA,HOU,4,Spencer Arrighetti,R,R,8.9,0.149,90.9,102.487336979,.461,.191,.334,77.3,70.2,38.3,26.9,45.6,10,5.9,29.6,87.3,.387,.144,30.4,3,3,3,Angel Stadium,101,74,9,Out To LF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,,
Denzer Guzman,LAA,HOU,5,Spencer Arrighetti,R,R,,,,,,,,,,,,,,5.9,29.6,87.3,.387,.144,30.4,3,3,3,Angel Stadium,101,74,9,Out To LF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,,
Nick Madrigal,LAA,HOU,6,Spencer Arrighetti,R,R,0,0.043,88.2,96.788345455,.339,.063,.332,65.5,0,38.1,23.8,28.6,0,5.9,29.6,87.3,.387,.144,30.4,3,3,3,Angel Stadium,101,74,9,Out To LF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,,
Trey Mancini,LAA,HOU,7,Spencer Arrighetti,R,R,,,,,,,,,,,,,,5.9,29.6,87.3,.387,.144,30.4,3,3,3,Angel Stadium,101,74,9,Out To LF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,,
Donovan Walton,LAA,HOU,8,Spencer Arrighetti,R,L,8.3,0.068,86.5,97.949197222,.391,.143,.292,67.1,0,44.4,27.8,36.1,0,5.9,29.6,87.3,.387,.144,30.4,3,3,3,Angel Stadium,101,74,9,Out To LF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,,
Logan O'Hoppe,LAA,HOU,9,Spencer Arrighetti,R,R,11.5,0.077,86.5,98.814861667,.326,.137,.276,72.1,24.1,44.8,31.3,36.5,2,5.9,29.6,87.3,.387,.144,30.4,3,3,3,Angel Stadium,101,74,9,Out To LF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,,
Blake Dunn,CIN,SD,1,Walker Buehler,R,R,4.4,0.133,88.3,99.581967742,.326,.086,.274,71.2,18,24.3,18.6,30,2,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
JJ Bleday,CIN,SD,2,Walker Buehler,R,L,12.4,0.296,90.5,101.744823396,.521,.237,.389,74.1,40.9,50.9,29.2,50,10,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Sal Stewart,CIN,SD,3,Walker Buehler,R,R,15.2,0.203,90.7,100.949244157,.475,.217,.359,72.2,26.4,29.2,27.6,41.1,12,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
Nathaniel Lowe,CIN,SD,4,Walker Buehler,R,L,14.3,0.257,89.4,102.028181837,.525,.249,.377,74.2,40.2,42.7,24.3,43.7,9,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,,
Eugenio Suárez,CIN,SD,5,Walker Buehler,R,R,8.3,0.127,86.1,97.914840238,.341,.134,.280,71.3,15.1,44.3,23.9,25,4,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,,
Noelvi Marte,CIN,SD,6,Walker Buehler,R,R,0,0.000,86.5,97.375054615,.207,.028,.222,71.4,14.7,56,8,28,0,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,,
Matt McLain,CIN,SD,7,Walker Buehler,R,R,8.6,0.162,88.1,98.556530811,.390,.163,.317,71.6,11.8,33.3,34.6,37.3,8,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,,
Tyler Stephenson,CIN,SD,8,Walker Buehler,R,R,11.8,0.139,90.3,99.779703455,.425,.198,.328,71,10.9,32.7,35.4,42.5,5,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,,
Edwin Arroyo,CIN,SD,9,Walker Buehler,R,S,0,0.000,90.9,95.902345,.254,.042,.265,69.5,8.1,62.5,0,25,0,8.1,40.7,90.4,.425,.150,20.3,4,4,4,Petco Park,91,67,8,Out To RF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,,
Fernando Tatis Jr.,SD,CIN,1,Andrew Abbott,L,R,10.3,0.055,90.5,103.937815543,.415,.132,.349,75.4,58.7,27.7,19,51.1,1,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
Jackson Merrill,SD,CIN,2,Andrew Abbott,L,L,10.3,0.127,89.8,100.624989506,.433,.190,.322,73.5,32.2,38,25.9,46.4,6,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Ty France,SD,CIN,3,Andrew Abbott,L,R,12.1,0.220,91.3,102.132592174,.450,.200,.323,71.7,17.6,35.9,20.7,48.9,6,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
Manny Machado,SD,CIN,4,Andrew Abbott,L,R,8.2,0.173,89.8,100.889494588,.392,.168,.306,74.4,40.6,42.9,23.5,42.9,11,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,,
Xander Bogaerts,SD,CIN,5,Andrew Abbott,L,R,6.8,0.122,88,99.34702875,.397,.146,.319,71.7,23.5,49.7,25.4,36.7,8,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,,
Gavin Sheets,SD,CIN,6,Andrew Abbott,L,L,9,0.224,89.4,100.139612687,.427,.184,.336,74.7,47.6,39.8,24.8,45.1,10,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,,
Jase Bowen,SD,CIN,7,Andrew Abbott,L,R,16.7,0.000,85.7,92.60359,.230,.101,.152,73.1,23.5,33.3,50,16.7,0,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,,
Samad Taylor,SD,CIN,8,Andrew Abbott,L,R,0,0.000,84.5,89.664495,.151,.053,.304,69.7,16.7,66.7,0,33.3,0,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,,
Freddy Fermin,SD,CIN,9,Andrew Abbott,L,R,2.4,0.101,86.3,96.001480976,.273,.083,.257,70,7.3,42.4,28.2,25.9,2,7.6,38.4,89.7,.438,.166,25.1,9,9,9,Petco Park,91,67,8,Out To RF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,,
James Wood,WSH,SF,1,Logan Webb,R,L,25.5,0.265,96,106.689598462,.621,.344,.433,76.3,63.9,28,31.8,58.6,17,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
Luis García Jr.,WSH,SF,2,Logan Webb,R,L,7.2,0.186,92.1,102.189380238,.442,.153,.328,73.2,34,39.4,18.2,47.1,7,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Curtis Mead,WSH,SF,3,Logan Webb,R,R,10.7,0.240,89.5,100.71406377,.481,.211,.375,72.8,30.1,47.5,34.4,45.9,9,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
CJ Abrams,WSH,SF,4,Logan Webb,R,L,10.9,0.248,90,100.390299239,.464,.197,.363,72.8,25.8,45.4,28.6,41.6,14,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,,
Dylan Crews,WSH,SF,5,Logan Webb,R,R,10.2,0.114,91.3,101.777654,.454,.200,.326,73.9,37.5,34.7,24.5,46.9,2,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,,
Daylen Lile,WSH,SF,6,Logan Webb,R,L,7.6,0.158,87.8,98.354755755,.421,.164,.320,70.7,8.1,42,34.9,37,8,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,,
Keibert Ruiz,WSH,SF,7,Logan Webb,R,S,6.4,0.228,90,98.847178182,.359,.140,.264,67.4,0,63.6,34.5,40.9,5,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,,
Jorbit Vivas,WSH,SF,8,Logan Webb,R,L,3,0.086,83.1,94.6994632,.298,.069,.282,69.5,3.3,38.6,21.8,23.8,1,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,,
Nasim Nuñez,WSH,SF,9,Logan Webb,R,S,0,0.022,84.6,94.510542769,.270,.047,.272,68.1,2.7,34,18.1,20.1,0,5.7,45.5,90.1,.381,.124,14.8,4,4,4,Oracle Park,85,61,13,Out To CF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,,
Casey Schmitt,SF,WSH,1,Richard Lovelady,L,R,13.6,0.256,89.8,100.725919674,.508,.231,.348,72.3,27.3,42.2,35.1,44.3,15,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
Rafael Devers,SF,WSH,2,Richard Lovelady,L,L,9.9,0.179,91.9,102.661756512,.400,.182,.290,71.8,20.3,31.8,31.8,49.7,8,5.3,29.5,86.6,.408,.138,20.5,3,3,3,Oracle Park,85,61,13,Out To CF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
