player,team,opponent,batting_order,pitcher,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,public_attention,odds
Victor Robles,SEA,BAL,1,Trevor Rogers,L,R,4.3,0.069,83.9,94.563430833,.346,.090,.260,68.7,0,52.2,8.7,21.7,0,7.2,38.7,89.3,.424,.160,22.1,8,8,8,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
Julio Rodríguez,SEA,BAL,2,Trevor Rogers,L,R,9.1,0.196,90.4,102.785025619,.465,.202,.340,76.7,67.9,37.8,25.4,44,13,7.2,38.7,89.3,.424,.160,22.1,8,8,8,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Randy Arozarena,SEA,BAL,3,Trevor Rogers,L,R,7.5,0.154,91.5,100.41659086,.425,.156,.352,70.9,23.1,34.4,19.9,42.5,6,7.2,38.7,89.3,.424,.160,22.1,8,8,8,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
Josh Naylor,SEA,BAL,4,Trevor Rogers,L,L,5.2,0.115,87.6,98.920120673,.409,.133,.326,70.1,7.4,46.2,21,37.6,7,7.2,38.7,89.3,.424,.160,22.1,8,8,8,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,,
Rob Refsnyder,SEA,BAL,5,Trevor Rogers,L,R,8.6,0.108,86.8,98.155396552,.308,.142,.257,72.1,18.6,46.6,32.8,34.5,3,7.2,38.7,89.3,.424,.160,22.1,8,8,8,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,,
Patrick Wisdom,SEA,BAL,6,Trevor Rogers,L,R,22.2,0.125,92.6,103.265643333,.384,.207,.251,76.6,70.3,33.3,33.3,50,1,7.2,38.7,89.3,.424,.160,22.1,8,8,8,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,,
Mitch Garver,SEA,BAL,7,Trevor Rogers,L,R,5.9,0.101,90.6,101.120288077,.310,.132,.291,72.9,21.4,56.9,41.2,52.9,2,7.2,38.7,89.3,.424,.160,22.1,8,8,8,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,,
Cole Young,SEA,BAL,8,Trevor Rogers,L,L,5.3,0.101,87.6,98.879951702,.406,.135,.329,71.7,23,46.6,25.4,37,4,7.2,38.7,89.3,.424,.160,22.1,8,8,8,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,,
Ryan Bliss,SEA,BAL,9,Trevor Rogers,L,R,0,0.000,85.8,94.16098,.089,.046,.202,69.9,14.3,0,33.3,33.3,0,7.2,38.7,89.3,.424,.160,22.1,8,8,8,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,,
Taylor Ward,BAL,SEA,1,Logan Gilbert,R,R,5,0.104,89.6,99.370719011,.375,.120,.354,68.1,3.4,29.8,27.1,41.4,3,11,46,90.7,.426,.176,31,13,13,13,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
Gunnar Henderson,BAL,SEA,2,Logan Gilbert,R,L,9,0.195,89.2,100.478377426,.399,.163,.307,74.4,44.6,43.8,26.4,45.3,13,11,46,90.7,.426,.176,31,13,13,13,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Pete Alonso,BAL,SEA,3,Logan Gilbert,R,R,12,0.200,94.9,103.378709479,.510,.241,.366,74.6,45.7,33.9,32.8,55.7,13,11,46,90.7,.426,.176,31,13,13,13,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
Colton Cowser,BAL,SEA,4,Logan Gilbert,R,L,12,0.159,86.2,99.387856889,.436,.222,.316,74.9,49.4,38,31.5,31.5,6,11,46,90.7,.426,.176,31,13,13,13,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,,
Leody Taveras,BAL,SEA,5,Logan Gilbert,R,S,4.6,0.108,86.6,97.72494918,.353,.107,.312,72.7,26.7,34.4,20.6,28.2,2,11,46,90.7,.426,.176,31,13,13,13,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,,
Coby Mayo,BAL,SEA,6,Logan Gilbert,R,R,10.1,0.182,91.7,103.919475455,.379,.164,.293,75.6,56.7,51.4,33.9,47.7,8,11,46,90.7,.426,.176,31,13,13,13,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,,
Jackson Holliday,BAL,SEA,7,Logan Gilbert,R,L,11.1,0.173,89,99.665380556,.411,.182,.339,70.5,7.4,38.9,36.1,41.7,2,11,46,90.7,.426,.176,31,13,13,13,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,,
Tyler O'Neill,BAL,SEA,8,Logan Gilbert,R,R,4,0.067,87.3,98.161837105,.292,.117,.263,71.6,12.9,46.7,40,36,2,11,46,90.7,.426,.176,31,13,13,13,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,,
Sam Huff,BAL,SEA,9,Logan Gilbert,R,R,16.7,0.083,91.2,102.458856667,.190,.082,.126,73.2,32,66.7,50,50,0,11,46,90.7,.426,.176,31,13,13,13,Oriole Park at Camden Yards,108,80,15,Out To LF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,,
Shohei Ohtani,LAD,PIT,1,Paul Skenes,R,L,15.3,0.220,93.5,102.970393882,.540,.245,.409,74.6,48.5,53.2,31.6,52,11,3.9,33.1,87,.298,.105,20.2,6,6,6,PNC Park,94,82,11,R To L,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
Andy Pages,LAD,PIT,2,Paul Skenes,R,R,10.1,0.239,90.1,101.0900734,.478,.201,.347,72.9,26.5,35.7,27.6,47.2,14,3.9,33.1,87,.298,.105,20.2,6,6,6,PNC Park,94,82,11,R To L,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Freddie Freeman,LAD,PIT,3,Paul Skenes,R,L,11.2,0.197,91,101.168895204,.491,.215,.370,70.2,7.5,33.7,28.1,46.4,10,3.9,33.1,87,.298,.105,20.2,6,6,6,PNC Park,94,82,11,R To L,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
Mookie Betts,LAD,PIT,4,Paul Skenes,R,R,8.6,0.175,89.9,98.32457566,.430,.167,.331,69.4,8.7,38.1,39,35.2,6,3.9,33.1,87,.298,.105,20.2,6,6,6,PNC Park,94,82,11,R To L,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,,
Max Muncy,LAD,PIT,5,Paul Skenes,R,L,17,0.247,90.8,102.300018451,.537,.271,.381,71.6,11.7,53.2,31.9,48.2,14,3.9,33.1,87,.298,.105,20.2,6,6,6,PNC Park,94,82,11,R To L,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,,
Kyle Tucker,LAD,PIT,6,Paul Skenes,R,L,5.6,0.148,88.9,98.584207333,.381,.129,.327,71.4,23.1,44.4,30,38.9,5,3.9,33.1,87,.298,.105,20.2,6,6,6,PNC Park,94,82,11,R To L,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,,
Ryan Ward,LAD,PIT,7,Paul Skenes,R,L,12.5,0.363,88.5,100.38479375,.567,.268,.380,72.2,11.4,31.3,18.8,37.5,2,3.9,33.1,87,.298,.105,20.2,6,6,6,PNC Park,94,82,11,R To L,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,,
Dalton Rushing,LAD,PIT,8,Paul Skenes,R,L,10.8,0.277,88.3,101.075981892,.486,.210,.366,72.5,16.6,41.9,27,40.5,8,3.9,33.1,87,.298,.105,20.2,6,6,6,PNC Park,94,82,11,R To L,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,,
Alex Freeland,LAD,PIT,9,Paul Skenes,R,S,8,0.114,88.8,98.914415,.358,.134,.297,70.5,8.7,31.8,27.3,36.4,3,3.9,33.1,87,.298,.105,20.2,6,6,6,PNC Park,94,82,11,R To L,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,,
Nick Gonzales,PIT,LAD,1,Eric Lauer,L,R,3.3,0.077,85.7,98.519396593,.411,.107,.339,70.6,10.8,43.4,17,39,2,11.7,39.6,88.8,.507,.232,39,13,13,13,PNC Park,94,82,11,R To L,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,,
Brandon Lowe,PIT,LAD,2,Eric Lauer,L,L,12.7,0.270,90.1,101.605195422,.492,.238,.359,73.3,37.5,44.6,31.9,45.8,15,11.7,39.6,88.8,.507,.232,39,13,13,13,PNC Park,94,82,11,R To L,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,,
Bryan Reynolds,PIT,LAD,3,Eric Lauer,L,S,8.6,0.151,90.5,101.830018851,.425,.170,.363,72.8,29.9,42,23,43.1,6,11.7,39.6,88.8,.507,.232,39,13,13,13,PNC Park,94,82,11,R To L,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,,
