hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
682818,Yohendrick Piñango,TOR,WSH,2026-07-29T17:05:00Z,In Progress,1,Zack Littell,641793,R,L,8.3,0.14,90.8,101.8249,0.402,0.139,0.312,75.7,57.8,28.1,22.3,45.5,5.0,10.74,43.7,91.25,0.507,0.2285,32.21,28.3,28.3,28.3,Nationals Park,101,81,4,In From LF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,19,0,"Last 7 games: 4/19, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 28.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
664702,Myles Straw,TOR,WSH,2026-07-29T17:05:00Z,In Progress,2,Zack Littell,641793,R,R,3.97,0.0973,86.43,95.9437,0.3643,0.1032,0.2992,68.29,4.82,36.29,26.97,25.84,3.3,10.74,43.7,91.25,0.507,0.2285,32.21,28.3,28.3,28.3,Nationals Park,101,81,4,In From LF,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,0,"Last 7 games: 2/13, 0 HR","same-side matchup; pitcher baseline 10.7% barrel, 28.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
664770,Nathan Lukes,TOR,WSH,2026-07-29T17:05:00Z,In Progress,3,Zack Littell,641793,R,L,2.14,0.1233,86.85,96.8417,0.3521,0.0938,0.2968,67.44,4.07,32.82,20.6,30.98,7.1,10.74,43.7,91.25,0.507,0.2285,32.21,28.3,28.3,28.3,Nationals Park,101,81,4,In From LF,Yes,Yes,2,Yes,Yes,MLB Stats API; RotoWire,order MLB 3 vs RotoWire 2,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,0,"Last 7 games: 5/21, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 28.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
672960,Kazuma Okamoto,TOR,WSH,2026-07-29T17:05:00Z,In Progress,4,Zack Littell,641793,R,R,14.0,0.223,90.9,102.063,0.428,0.218,0.315,73.3,36.4,50.8,33.2,46.4,24.0,10.74,43.7,91.25,0.507,0.2285,32.21,28.3,28.3,28.3,Nationals Park,101,81,4,In From LF,Yes,Yes,3,Yes,Yes,MLB Stats API; RotoWire,order MLB 4 vs RotoWire 3,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 28.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
543807,George Springer,TOR,WSH,2026-07-29T17:05:00Z,In Progress,5,Zack Littell,641793,R,R,10.46,0.195,89.02,100.3368,0.4422,0.1911,0.3396,73.21,34.81,42.56,27.07,42.21,18.0,10.74,43.7,91.25,0.507,0.2285,32.21,28.3,28.3,28.3,Nationals Park,101,81,4,In From LF,Yes,Yes,4,Yes,Yes,MLB Stats API; RotoWire,order MLB 5 vs RotoWire 4,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 28.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
672386,Alejandro Kirk,TOR,WSH,2026-07-29T17:05:00Z,In Progress,6,Zack Littell,641793,R,R,5.13,0.1201,88.72,100.4962,0.389,0.1344,0.3149,71.59,18.66,27.33,23.02,42.54,6.6,10.74,43.7,91.25,0.507,0.2285,32.21,28.3,28.3,28.3,Nationals Park,101,81,4,In From LF,Yes,Yes,5,Yes,Yes,MLB Stats API; RotoWire,order MLB 6 vs RotoWire 5,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 28.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
662139,Daulton Varsho,TOR,WSH,2026-07-29T17:05:00Z,In Progress,7,Zack Littell,641793,R,L,9.46,0.1868,87.31,99.4676,0.4051,0.1676,0.3046,73.71,36.25,41.71,28.96,37.85,10.9,10.74,43.7,91.25,0.507,0.2285,32.21,28.3,28.3,28.3,Nationals Park,101,81,4,In From LF,Yes,Yes,6,Yes,Yes,MLB Stats API; RotoWire,order MLB 7 vs RotoWire 6,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,0,Contact streak: 9/24 over last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 28.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
676391,Ernie Clement,TOR,WSH,2026-07-29T17:05:00Z,In Progress,8,Zack Littell,641793,R,R,2.47,0.1259,85.55,95.0038,0.3457,0.0895,0.2778,67.53,2.68,43.25,28.53,23.41,8.3,10.74,43.7,91.25,0.507,0.2285,32.21,28.3,28.3,28.3,Nationals Park,101,81,4,In From LF,Yes,Yes,7,Yes,Yes,MLB Stats API; RotoWire,order MLB 8 vs RotoWire 7,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,0,"Last 7 games: 8/30, 0 HR","same-side matchup; pitcher baseline 10.7% barrel, 28.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
665926,Andrés Giménez,TOR,WSH,2026-07-29T17:05:00Z,In Progress,9,Zack Littell,641793,R,L,3.63,0.117,86.09,95.8786,0.3351,0.0964,0.28,68.39,4.58,38.17,22.74,24.69,7.0,10.74,43.7,91.25,0.507,0.2285,32.21,28.3,28.3,28.3,Nationals Park,101,81,4,In From LF,Yes,Yes,8,Yes,Yes,MLB Stats API; RotoWire,order MLB 9 vs RotoWire 8,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,16,0,"Last 7 games: 5/16, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 28.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
695578,James Wood,WSH,TOR,2026-07-29T17:05:00Z,In Progress,1,Trey Yesavage,702056,R,L,20.18,0.2624,94.93,106.3718,0.5665,0.2953,0.4044,76.63,66.83,30.89,26.55,57.98,30.3,6.72,43.37,90.29,0.3389,0.1254,24.62,7.0,7.0,7.0,Nationals Park,101,81,4,In From LF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 7.0 HR allowed",EV profile; pitcher fly-ball pressure modest,,
