hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
685133,Wade Meckler,LAA,BAL,2026-08-06T16:35:00Z,Pre-Game,1,Brandon Young,687064,R,L,4.3,0.118,86.1,96.4491,0.376,0.115,0.317,68.6,2.1,33.9,20.0,31.3,3.0,7.54,41.71,89.4,0.4159,0.163,27.71,11.3,11.3,11.3,Oriole Park at Camden Yards,108,88,8,Out To CF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,15,1,Contact streak: 6/15 over last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
545361,Mike Trout,LAA,BAL,2026-08-06T16:35:00Z,Pre-Game,2,Brandon Young,687064,R,R,16.64,0.2049,90.48,103.2477,0.5006,0.2502,0.3804,74.77,49.1,38.61,32.82,48.32,20.4,7.54,41.71,89.4,0.4159,0.163,27.71,11.3,11.3,11.3,Oriole Park at Camden Yards,108,88,8,Out To CF,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
694384,Nolan Schanuel,LAA,BAL,2026-08-06T16:35:00Z,Pre-Game,3,Brandon Young,687064,R,L,3.03,0.1159,87.36,97.0453,0.3838,0.1078,0.3277,67.89,5.9,40.87,21.15,31.59,7.8,7.54,41.71,89.4,0.4159,0.163,27.71,11.3,11.3,11.3,Oriole Park at Camden Yards,108,88,8,Out To CF,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
687263,Zach Neto,LAA,BAL,2026-08-06T16:35:00Z,Pre-Game,4,Brandon Young,687064,R,R,12.67,0.1988,89.88,100.2312,0.425,0.209,0.3153,71.19,13.27,47.13,35.38,41.98,21.1,7.54,41.71,89.4,0.4159,0.163,27.71,11.3,11.3,11.3,Oriole Park at Camden Yards,108,88,8,Out To CF,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,30,0,"Last 7 games: 4/30, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 11.3 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,,
687093,Vaughn Grissom,LAA,BAL,2026-08-06T16:35:00Z,Pre-Game,5,Brandon Young,687064,R,R,6.7,0.145,88.9,99.6907,0.41,0.147,0.329,71.7,20.2,40.4,26.4,40.9,7.0,7.54,41.71,89.4,0.4159,0.163,27.71,11.3,11.3,11.3,Oriole Park at Camden Yards,108,88,8,Out To CF,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
694208,Moisés Ballesteros,LAA,BAL,2026-08-06T16:35:00Z,Pre-Game,6,Brandon Young,687064,R,L,8.1,0.1557,89.73,100.8644,0.3874,0.1429,0.3137,72.92,36.3,35.69,18.9,42.54,4.8,7.54,41.71,89.4,0.4159,0.163,27.71,11.3,11.3,11.3,Oriole Park at Camden Yards,108,88,8,Out To CF,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,20,0,"Last 7 games: 3/20, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
642350,Jose Siri,LAA,BAL,2026-08-06T16:35:00Z,Pre-Game,7,Brandon Young,687064,R,R,13.98,0.1607,86.72,99.2925,0.3746,0.1861,0.2792,73.22,35.43,31.76,41.92,37.43,4.2,7.54,41.71,89.4,0.4159,0.163,27.71,11.3,11.3,11.3,Oriole Park at Camden Yards,108,88,8,Out To CF,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,1,"Last 7 games: 2/13, 1 HR","same-side matchup; pitcher baseline 7.5% barrel, 11.3 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,,
666139,Josh Lowe,LAA,BAL,2026-08-06T16:35:00Z,Pre-Game,8,Brandon Young,687064,R,L,8.14,0.1467,89.02,99.3849,0.3945,0.1681,0.2938,73.66,36.57,37.18,31.57,38.83,8.9,7.54,41.71,89.4,0.4159,0.163,27.71,11.3,11.3,11.3,Oriole Park at Camden Yards,108,88,8,Out To CF,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,0,"Last 7 games: 2/13, 0 HR","platoon edge; pitcher baseline 7.5% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
672724,Oswald Peraza,LAA,BAL,2026-08-06T16:35:00Z,Pre-Game,9,Brandon Young,687064,R,R,7.26,0.1175,87.24,99.9339,0.3361,0.119,0.2669,72.83,29.23,37.11,21.08,38.1,6.4,7.54,41.71,89.4,0.4159,0.163,27.71,11.3,11.3,11.3,Oriole Park at Camden Yards,108,88,8,Out To CF,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,8,0,"Last 7 games: 1/8, 0 HR","same-side matchup; pitcher baseline 7.5% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
687637,Dylan Beavers,BAL,LAA,2026-08-06T16:35:00Z,Pre-Game,1,Ryan Johnson,696270,R,L,6.57,0.1233,88.8,99.2186,0.3835,0.1502,0.3209,72.27,20.21,40.18,30.2,35.63,2.6,9.27,35.93,87.33,0.4472,0.1868,32.34,9.6,9.6,9.6,Oriole Park at Camden Yards,108,88,8,Out To CF,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","platoon edge; pitcher baseline 9.3% barrel, 9.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,,
