hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hitter_hand,barrel_pct,iso,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,public_attention,odds
592626,Joc Pederson,TEX,LAA,2026-08-14T02:07:00Z,Pre-Game,1,Walbert Ureña,700712,R,L,10.9,0.2254,91.83,102.0363,0.4441,0.1985,0.3451,72.46,24.5,41.99,29.47,48.72,18.1,4.7,33.3,86.9,0.299,0.097,22.1,6.0,6.0,6.0,Angel Stadium,101,84,9,Varies,Yes,No,1,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,16,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
694671,Wyatt Langford,TEX,LAA,2026-08-14T02:07:00Z,Pre-Game,2,Walbert Ureña,700712,R,R,9.8,0.2054,89.93,100.7005,0.4088,0.1757,0.3152,72.75,25.75,42.19,29.41,40.98,15.7,4.7,33.3,86.9,0.299,0.097,22.1,6.0,6.0,6.0,Angel Stadium,101,84,9,Varies,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,19,0,"Last 7 games: 2/19, 0 HR","same-side matchup; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
608369,Corey Seager,TEX,LAA,2026-08-14T02:07:00Z,Pre-Game,3,Walbert Ureña,700712,R,L,15.23,0.1999,91.85,102.5498,0.492,0.2434,0.3566,71.94,15.93,42.25,32.18,48.49,14.7,4.7,33.3,86.9,0.299,0.097,22.1,6.0,6.0,6.0,Angel Stadium,101,84,9,Varies,Yes,No,3,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
607043,Brandon Nimmo,TEX,LAA,2026-08-14T02:07:00Z,Pre-Game,4,Walbert Ureña,700712,R,L,10.34,0.1698,92.11,102.1801,0.475,0.1957,0.3553,72.2,27.18,32.26,25.84,51.11,16.6,4.7,33.3,86.9,0.299,0.097,22.1,6.0,6.0,6.0,Angel Stadium,101,84,9,Varies,Yes,No,4,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 4.7% barrel, 6.0 HR allowed",EV profile; pitcher fly-ball pressure modest,,
677649,Ezequiel Duran,TEX,LAA,2026-08-14T02:07:00Z,Pre-Game,5,Walbert Ureña,700712,R,R,5.19,0.1418,87.61,98.6961,0.3517,0.1146,0.2855,72.34,24.38,35.24,21.23,34.54,9.1,4.7,33.3,86.9,0.299,0.097,22.1,6.0,6.0,6.0,Angel Stadium,101,84,9,Varies,Yes,No,7,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 5 vs RotoWire 7,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","same-side matchup; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
694497,Evan Carter,TEX,LAA,2026-08-14T02:07:00Z,Pre-Game,6,Walbert Ureña,700712,R,L,5.69,0.1345,87.33,98.6944,0.3348,0.1225,0.2947,71.02,17.86,38.98,27.98,35.86,7.1,4.7,33.3,86.9,0.299,0.097,22.1,6.0,6.0,6.0,Angel Stadium,101,84,9,Varies,Yes,No,5,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 6 vs RotoWire 5,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,17,0,"Last 7 games: 1/17, 0 HR","platoon edge; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
670032,Nicky Lopez,TEX,LAA,2026-08-14T02:07:00Z,Pre-Game,7,Walbert Ureña,700712,R,L,0.0,0.0301,84.52,95.2048,0.2599,0.0398,0.2519,66.65,0.75,33.94,11.09,27.19,0.7,4.7,33.3,86.9,0.299,0.097,22.1,6.0,6.0,6.0,Angel Stadium,101,84,9,Varies,Yes,No,9,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed; order MLB 7 vs RotoWire 9,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,16,0,"Last 7 games: 3/16, 0 HR","platoon edge; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
642851,Austin Wynns,TEX,LAA,2026-08-14T02:07:00Z,Pre-Game,8,Walbert Ureña,700712,R,R,5.4,0.1039,86.15,97.7986,0.3339,0.1247,0.2544,70.76,14.66,36.03,28.56,33.09,2.5,4.7,33.3,86.9,0.299,0.097,22.1,6.0,6.0,6.0,Angel Stadium,101,84,9,Varies,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,14,0,"Last 7 games: 4/14, 0 HR","same-side matchup; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
679822,Justin Foscue,TEX,LAA,2026-08-14T02:07:00Z,Pre-Game,9,Walbert Ureña,700712,R,R,6.93,0.1803,90.2,99.449,0.3763,0.1614,0.2786,70.96,8.68,45.52,33.69,49.13,4.9,4.7,33.3,86.9,0.299,0.097,22.1,6.0,6.0,6.0,Angel Stadium,101,84,9,Varies,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,14,0,"Last 7 games: 4/14, 0 HR","same-side matchup; pitcher baseline 4.7% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
685133,Wade Meckler,LAA,TEX,2026-08-14T02:07:00Z,Pre-Game,1,Jacob deGrom,594798,R,L,3.6,0.105,85.9,96.0427,0.36,0.104,0.307,68.8,2.1,34.5,19.4,29.5,3.0,9.09,44.42,90.52,0.3966,0.1679,29.88,19.7,19.7,19.7,Angel Stadium,101,84,9,Varies,Yes,No,1,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","platoon edge; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,,
