rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,695578,James Wood,WSH,PIT,2026-07-05T17:00:00Z,Pre-Game,1,Bubba Chandler,696149,R,72.2,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",84.9,37.5,68.7,93.2,80.0,92.6,Yes,No,1,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 6.9 HR allowed",EV profile; pitcher fly-ball pressure modest,20.95,59.24,95.07,106.4696,0.5721,0.3002,0.4058,76.42,65.15,29.28,26.76,25.4,0.254,7.65,38.11,89.64,0.3863,0.1581,27.14,Out To CF,93,Nationals Park,
2,660271,Shohei Ohtani,LAD,SD,2026-07-05T23:20:00Z,Scheduled,1,JP Sears,676664,L,67.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",79.4,76.1,27.6,88.7,50.0,35.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,1,"Last 7 games: 7/30, 1 HR","same-side matchup; pitcher baseline 12.8% barrel, 11.8 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.18,54.29,93.99,104.1907,0.5846,0.3001,0.4138,75.03,52.8,49.99,31.99,29.1,0.2672,12.83,44.86,90.46,0.5489,0.2582,44.02,,,UNIQLO Field at Dodger Stadium,
3,624413,Pete Alonso,BAL,CIN,2026-07-05T17:05:00Z,Pre-Game,4,Nick Lodolo,666157,L,67.2,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",68.5,44.5,76.8,94.9,78.0,42.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,1,"Last 7 games: 7/25, 1 HR","platoon edge; pitcher baseline 8.0% barrel, 12.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.28,54.19,93.85,103.8471,0.5314,0.2598,0.3797,74.95,49.83,38.18,30.46,24.7,0.2282,7.99,39.17,89.78,0.4447,0.1757,26.75,Out To LF,83,Great American Ball Park,
4,701762,Nick Kurtz,ATH,MIA,2026-07-05T20:30:00Z,Scheduled,2,Eury Pérez,691587,R,67.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.3,59.6,30.9,95.5,80.0,37.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,1,"Last 7 games: 6/24, 1 HR","platoon edge; pitcher baseline 13.1% barrel, 12.7 HR allowed",EV profile; pitcher allows elevated contact,18.78,56.77,93.96,105.7849,0.5188,0.2654,0.3846,77.97,79.0,34.18,30.84,24.8,0.2674,13.06,41.88,89.1,0.4185,0.2043,31.43,,,Sutter Health Park,
5,621439,Byron Buxton,MIN,NYY,2026-07-05T17:35:00Z,Pre-Game,2,Ryan Weathers,677960,L,67.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",70.3,55.1,53.7,100.0,78.0,31.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,1,"Last 7 games: 6/29, 1 HR","platoon edge; pitcher baseline 10.7% barrel, 13.3 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,18.47,49.25,91.24,102.5088,0.5161,0.2674,0.3507,74.44,43.57,48.38,36.03,28.0,0.2996,10.72,42.62,89.74,0.446,0.196,28.21,In From RF,85,Yankee Stadium,
6,699013,Esmerlyn Valdez,PIT,WSH,2026-07-05T17:00:00Z,Pre-Game,4,Cade Cavalli,676917,R,66.4,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",82.0,30.1,68.7,94.9,50.0,81.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.3% barrel, 7.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,27.9,51.2,90.6,103.9924,0.609,0.345,0.389,75.0,51.3,20.9,39.5,6.0,0.379,6.32,40.12,88.68,0.3832,0.1326,20.7,Out To CF,93,Nationals Park,
7,670541,Yordan Alvarez,HOU,TB,2026-07-05T19:30:00Z,Scheduled,2,,,,66.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",86.7,41.2,27.6,95.5,60.0,97.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,4,Hot streak: 4 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.79,53.88,94.77,105.2511,0.6736,0.3497,0.4553,76.03,60.76,40.74,37.22,22.1,0.2718,,,,,,,,,Daikin Park,
8,665742,Juan Soto,NYM,ATL,2026-07-05T16:30:00Z,Pre-Game,2,Martín Pérez,527048,L,65.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",72.6,41.6,71.9,100.0,50.0,48.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,22,1,"Last 7 games: 7/22, 1 HR","same-side matchup; pitcher baseline 9.3% barrel, 8.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.75,51.73,93.1,103.327,0.601,0.3021,0.4248,72.41,29.56,39.25,31.56,25.5,0.2634,9.26,37.58,87.99,0.4255,0.1737,25.18,Out To LF,84,Truist Park,
9,646240,Rafael Devers,SF,COL,2026-07-05T20:00:00Z,Scheduled,4,Tanner Gordon,685299,R,65.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.0,66.5,38.7,90.4,80.0,93.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 12.4% barrel, 9.7 HR allowed",EV profile; pitcher allows elevated contact,12.85,52.25,92.45,102.9421,0.4597,0.2273,0.3327,71.6,20.01,33.35,32.83,21.7,0.2207,12.41,43.93,91.15,0.4901,0.2188,33.53,,,Coors Field,
10,700250,Ben Rice,NYY,MIN,2026-07-05T17:35:00Z,Pre-Game,2,Joe Ryan,657746,R,63.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",61.3,51.2,53.7,100.0,80.0,36.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.0% barrel, 14.8 HR allowed",EV profile; pitcher fly-ball pressure modest,14.56,48.75,92.18,102.266,0.5131,0.2443,0.3756,72.7,26.59,46.78,29.27,24.6,0.2811,11.01,42.74,89.92,0.376,0.1635,29.61,In From RF,85,Yankee Stadium,
11,805811,Bryce Eldridge,SF,COL,2026-07-05T20:00:00Z,Scheduled,7,Tanner Gordon,685299,R,63.5,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",72.7,66.5,38.7,59.8,80.0,43.2,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,1,"Last 7 games: 8/28, 1 HR","platoon edge; pitcher baseline 12.4% barrel, 9.7 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.32,58.86,93.15,103.4524,0.5093,0.2666,0.3713,73.04,28.02,41.28,36.77,4.9,0.1644,12.41,43.93,91.15,0.4901,0.2188,33.53,,,Coors Field,
