rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,CIN,2026-07-09T23:10:00Z,Pre-Game,2,Brady Singer,663903,R,77.4,Tier 2,Best Overall,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",83.0,58.6,79.8,100.0,80.0,54.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 19.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.1,55.68,93.74,104.8092,0.5481,0.3001,0.3891,77.16,76.12,55.33,34.65,39.2,0.3216,10.73,40.77,90.86,0.4608,0.1982,28.96,Out To LF,87,Great American Ball Park,
2,621566,Matt Olson,ATL,PIT,2026-07-09T16:35:00Z,Game Over,3,Mitch Keller,656605,R,66.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",66.0,43.5,63.3,96.6,80.0,78.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 14.7 HR allowed",EV profile; pitcher fly-ball pressure modest,14.12,52.18,93.02,104.0424,0.5095,0.258,0.36,74.67,48.51,36.6,32.78,25.5,0.2519,7.45,42.54,89.47,0.4461,0.164,24.26,Out To LF,82,PNC Park,
3,547180,Bryce Harper,PHI,CIN,2026-07-09T23:10:00Z,Pre-Game,3,Brady Singer,663903,R,64.9,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",54.9,58.6,79.8,96.6,80.0,0.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","platoon edge; pitcher baseline 10.7% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.02,46.59,90.46,102.1397,0.5186,0.2401,0.3897,74.34,47.24,38.26,27.38,22.1,0.2393,10.73,40.77,90.86,0.4608,0.1982,28.96,Out To LF,87,Great American Ball Park,
4,701762,Nick Kurtz,ATH,DET,2026-07-09T22:40:00Z,Pre-Game,2,Framber Valdez,664285,L,64.0,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",76.6,38.0,66.1,100.0,50.0,24.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","same-side matchup; pitcher baseline 6.8% barrel, 12.2 HR allowed",EV profile; pitcher fly-ball pressure modest,18.36,56.56,93.68,105.694,0.5097,0.2605,0.379,77.97,78.93,34.18,30.91,24.8,0.2618,6.84,43.36,90.17,0.3952,0.1444,20.84,Out To LF,77,Comerica Park,
5,699013,Esmerlyn Valdez,PIT,ATL,2026-07-09T16:35:00Z,Game Over,4,Bryce Elder,693821,R,62.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",74.4,35.4,63.3,94.9,50.0,41.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,1,"Last 7 games: 8/29, 1 HR","same-side matchup; pitcher baseline 5.6% barrel, 15.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,25.5,48.9,90.6,103.4526,0.524,0.293,0.349,74.8,48.6,23.4,38.3,6.0,0.32,5.63,40.65,90.0,0.3927,0.1428,25.94,Out To LF,82,PNC Park,
6,545361,Mike Trout,LAA,TEX,2026-07-10T00:05:00Z,Pre-Game,2,Nathan Eovaldi,543135,R,62.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",74.2,39.3,41.1,95.5,50.0,85.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.9% barrel, 16.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,19.58,50.35,91.11,103.7172,0.5398,0.2873,0.3972,74.77,48.99,39.31,34.08,20.4,0.2343,7.89,38.99,88.6,0.3958,0.1586,25.18,None,72,Globe Life Field,
7,701398,Sal Stewart,CIN,PHI,2026-07-09T23:10:00Z,Pre-Game,2,Jesús Luzardo,666200,L,62.1,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",62.9,19.4,79.8,100.0,78.0,74.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 5.9% barrel, 11.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.87,44.52,92.18,101.7902,0.5196,0.2572,0.3665,72.38,28.12,38.71,31.81,14.8,0.2445,5.86,32.13,87.03,0.3284,0.1088,21.66,Out To LF,87,Great American Ball Park,
8,686948,Drake Baldwin,ATL,PIT,2026-07-09T16:35:00Z,Game Over,4,Mitch Keller,656605,R,61.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",59.1,43.5,63.3,94.9,80.0,40.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 14.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.08,50.09,91.42,102.4486,0.4989,0.2283,0.367,75.09,53.67,31.8,24.34,16.2,0.1929,7.45,42.54,89.47,0.4461,0.164,24.26,Out To LF,82,PNC Park,
9,671739,Michael Harris II,ATL,PIT,2026-07-09T16:35:00Z,Game Over,1,Mitch Keller,656605,R,61.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",52.4,43.5,63.3,93.2,80.0,78.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,35,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 14.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.04,48.16,91.11,103.8858,0.4947,0.2019,0.3521,74.65,45.95,33.77,23.54,17.2,0.1894,7.45,42.54,89.47,0.4461,0.164,24.26,Out To LF,82,PNC Park,
10,669016,Brandon Marsh,PHI,CIN,2026-07-09T23:10:00Z,Pre-Game,4,Brady Singer,663903,R,61.3,Tier 3,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",41.2,58.6,79.8,94.9,80.0,24.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","platoon edge; pitcher baseline 10.7% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.31,46.12,90.19,100.4288,0.4411,0.1711,0.3265,71.47,14.84,37.28,26.17,13.8,0.1868,10.73,40.77,90.86,0.4608,0.1982,28.96,Out To LF,87,Great American Ball Park,
11,804668,Rafael Flores Jr.,PIT,ATL,2026-07-09T16:35:00Z,Game Over,8,Bryce Elder,693821,R,61.2,Tier 3,Watch List,"Elite Power, Strong Barrel",85.4,35.4,63.3,52.4,50.0,63.3,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,3,3,7,1,Contact streak: 3/7 over last 3 games,"same-side matchup; pitcher baseline 5.6% barrel, 15.6 HR allowed",EV profile; pitcher fly-ball pressure modest,27.06,42.06,93.05,102.3098,1.1972,0.7883,0.6403,74.38,50.8,7.5,57.94,0.7,0.973,5.63,40.65,90.0,0.3927,0.1428,25.94,Out To LF,82,PNC Park,
