rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,AL,NL,2026-07-15T00:00:00Z,Pre-Game,2,Cristopher Sánchez,650911,L,68.1,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",85.2,35.9,67.3,100.0,50.0,56.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.9% barrel, 12.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.23,53.11,94.7,105.1405,0.6638,0.3441,0.4497,76.1,61.53,40.95,37.57,23.5,0.2676,7.87,42.6,89.28,0.3611,0.1312,18.09,Varies,89,Citizens Bank Park,
2,545361,Mike Trout,AL,NL,2026-07-15T00:00:00Z,Pre-Game,1,Cristopher Sánchez,650911,L,66.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",70.9,35.9,67.3,93.2,78.0,88.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.9% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,18.74,49.09,90.76,103.4522,0.5321,0.2782,0.3937,74.77,49.41,39.87,33.38,20.4,0.2273,7.87,42.6,89.28,0.3611,0.1312,18.09,Varies,89,Citizens Bank Park,
3,656941,Kyle Schwarber,NL,AL,2026-07-15T00:00:00Z,Pre-Game,1,Dylan Cease,656302,R,64.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.6,18.2,67.3,93.2,80.0,57.6,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.7% barrel, 9.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.82,55.05,93.67,104.6608,0.5404,0.2931,0.3849,77.16,76.05,54.28,34.3,39.2,0.3111,5.66,34.35,86.66,0.3058,0.1051,23.37,Varies,89,Citizens Bank Park,
4,665742,Juan Soto,NL,AL,2026-07-15T00:00:00Z,Pre-Game,2,Dylan Cease,656302,R,63.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",73.6,18.2,67.3,100.0,80.0,64.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 5.7% barrel, 9.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.96,50.54,92.96,103.24,0.6129,0.3119,0.4304,72.48,29.84,39.67,32.68,27.6,0.269,5.66,34.35,86.66,0.3058,0.1051,23.37,Varies,89,Citizens Bank Park,
5,691406,Junior Caminero,AL,NL,2026-07-15T00:00:00Z,Pre-Game,4,Cristopher Sánchez,650911,L,62.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",64.3,35.9,67.3,94.9,78.0,42.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.9% barrel, 12.0 HR allowed",EV profile; pitcher fly-ball pressure modest,13.72,51.68,92.96,105.4285,0.5038,0.2369,0.3642,79.48,86.07,46.22,23.56,33.1,0.2745,7.87,42.6,89.28,0.3611,0.1312,18.09,Varies,89,Citizens Bank Park,
6,669127,Shea Langeliers,AL,NL,2026-07-15T00:00:00Z,Pre-Game,3,Cristopher Sánchez,650911,L,59.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",57.8,35.9,67.3,96.6,78.0,20.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,1,"Last 7 games: 3/22, 1 HR","platoon edge; pitcher baseline 7.9% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.68,44.76,91.53,102.486,0.4959,0.233,0.3504,74.78,49.26,39.67,31.1,24.0,0.2359,7.87,42.6,89.28,0.3611,0.1312,18.09,Varies,89,Citizens Bank Park,
7,677951,Bobby Witt Jr.,AL,NL,2026-07-15T00:00:00Z,Pre-Game,5,Cristopher Sánchez,650911,L,59.0,Longshot,Watch List,"Strong Barrel, Platoon Edge",58.4,35.9,67.3,86.4,78.0,37.8,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,32,1,"Last 7 games: 8/32, 1 HR","platoon edge; pitcher baseline 7.9% barrel, 12.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.22,51.44,93.23,103.739,0.5171,0.2143,0.3818,73.88,41.7,29.89,26.5,16.0,0.1843,7.87,42.6,89.28,0.3611,0.1312,18.09,Varies,89,Citizens Bank Park,
8,700250,Ben Rice,AL,NL,2026-07-15T00:00:00Z,Pre-Game,7,Cristopher Sánchez,650911,L,58.6,Longshot,Watch List,"Strong Barrel, Hot Hitter/Streak",64.8,35.9,67.3,64.3,50.0,100.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,5,Hot streak: 5 HR in last 7 games,"same-side matchup; pitcher baseline 7.9% barrel, 12.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.33,50.15,92.46,102.4808,0.5292,0.2548,0.384,72.84,27.15,46.92,29.41,28.1,0.2972,7.87,42.6,89.28,0.3611,0.1312,18.09,Varies,89,Citizens Bank Park,
9,682985,Riley Greene,AL,NL,2026-07-15T00:00:00Z,Pre-Game,8,Cristopher Sánchez,650911,L,52.8,Longshot,Watch List,Strong Barrel,60.4,35.9,67.3,52.4,50.0,46.0,Yes,Yes,8,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","same-side matchup; pitcher baseline 7.9% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.79,48.51,90.95,102.8306,0.4833,0.2291,0.3544,75.67,58.53,39.47,32.68,19.9,0.1923,7.87,42.6,89.28,0.3611,0.1312,18.09,Varies,89,Citizens Bank Park,
10,571970,Max Muncy,NL,AL,2026-07-15T00:00:00Z,Pre-Game,5,Dylan Cease,656302,R,52.5,Longshot,Watch List,"Strong Barrel, Platoon Edge",56.3,18.2,67.3,86.4,80.0,3.4,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","platoon edge; pitcher baseline 5.7% barrel, 9.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.6,46.53,90.46,101.4165,0.49,0.2422,0.3642,71.41,13.66,52.41,34.53,17.6,0.2284,5.66,34.35,86.66,0.3058,0.1051,23.37,Varies,89,Citizens Bank Park,
