rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,650559,Bryan De La Cruz,PHI,NYY,2026-07-25T22:05:00Z,Pre-Game,6,Ryan Weathers,677960,L,72.5,Tier 2,Watch List,"Elite Power, Strong Barrel, Platoon Edge",96.3,52.1,48.8,76.2,78.0,63.3,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,1,1,2,1,Contact streak: 1/2 over last 1 games,"platoon edge; pitcher baseline 10.0% barrel, 14.0 HR allowed",EV profile; pitcher fly-ball pressure modest,72.07,85.51,101.51,104.4564,1.0283,0.73,0.5565,73.55,47.46,11.37,80.35,0.7,1.0566,10.02,42.27,89.74,0.4383,0.1883,26.95,In From RF,81,Citizens Bank Park,
2,670541,Yordan Alvarez,HOU,CWS,2026-07-25T23:10:00Z,Pre-Game,2,Sean Burke,680732,R,71.8,Tier 2,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",85.5,41.8,53.1,95.5,80.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,27,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 16.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,17.44,53.18,94.63,105.1877,0.6673,0.3462,0.4511,76.1,62.09,41.86,37.15,25.6,0.2746,8.33,37.59,88.97,0.3926,0.1613,30.63,R To L,78,Rate Field,
3,701762,Nick Kurtz,ATH,MIN,2026-07-25T23:10:00Z,Pre-Game,2,Mike Paredes,702474,R,69.0,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",75.5,48.7,71.1,95.5,80.0,23.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,1,"Last 7 games: 4/26, 1 HR","platoon edge; pitcher baseline 6.8% barrel, 6.0 HR allowed",EV profile; pitcher fly-ball pressure modest,18.22,56.14,93.33,105.6398,0.5062,0.2584,0.3769,77.97,78.65,33.9,30.7,24.8,0.2604,6.8,50.8,91.5,0.446,0.167,29.7,Out To RF,94,Target Field,
4,621439,Byron Buxton,MIN,ATH,2026-07-25T23:10:00Z,Pre-Game,2,Brady Basso,669620,L,66.8,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",69.7,45.7,71.1,100.0,78.0,22.9,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,0,"Last 7 games: 6/22, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 0.7 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,17.98,49.81,91.38,102.4552,0.5175,0.2653,0.3521,74.44,43.57,48.31,35.19,28.0,0.2898,9.53,48.72,90.71,0.4089,0.1343,22.12,Out To RF,94,Target Field,
5,699013,Esmerlyn Valdez,PIT,CHC,2026-07-25T22:40:00Z,Scheduled,4,Shota Imanaga,684007,L,66.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.9,52.4,24.3,90.4,78.0,63.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 24.7 HR allowed",EV profile; pitcher allows elevated contact,28.4,55.2,93.1,104.5504,0.541,0.321,0.363,75.0,51.8,31.3,43.3,13.0,0.41,10.41,38.53,88.81,0.4235,0.1905,32.99,,,PNC Park,
6,656941,Kyle Schwarber,PHI,NYY,2026-07-25T22:05:00Z,Pre-Game,2,Ryan Weathers,677960,L,65.8,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",79.6,52.1,48.8,100.0,50.0,24.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,1,"Last 7 games: 4/25, 1 HR","same-side matchup; pitcher baseline 10.0% barrel, 14.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.26,54.49,93.6,104.5373,0.5264,0.2861,0.3779,77.16,75.7,54.56,34.58,39.9,0.3062,10.02,42.27,89.74,0.4383,0.1883,26.95,In From RF,81,Citizens Bank Park,
7,805811,Bryce Eldridge,SF,LAA,2026-07-25T20:05:00Z,Warmup,3,Ryan Johnson,696270,R,63.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",74.0,39.4,42.8,96.6,80.0,53.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 8.2 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.74,59.35,93.5,103.6185,0.5023,0.2652,0.3685,73.11,29.49,41.21,38.03,7.0,0.1658,8.08,35.86,87.26,0.4248,0.1784,33.46,Varies,66,Oracle Park,
8,687952,Christian Encarnacion-Strand,BAL,ATL,2026-07-25T23:05:00Z,Pre-Game,5,Bryce Elder,693821,R,63.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Hot Hitter/Streak",78.2,40.6,43.1,86.4,50.0,97.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,8,20,3,Hot streak: 3 HR in last 5 games,"same-side matchup; pitcher baseline 6.5% barrel, 19.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,19.15,46.17,91.05,102.4943,0.6306,0.3711,0.3751,73.74,36.97,38.81,33.71,3.9,0.4007,6.54,41.07,90.0,0.4081,0.1561,26.36,In From RF,82,Oriole Park at Camden Yards,
9,695578,James Wood,WSH,AZ,2026-07-25T20:05:00Z,Warmup,1,Mitch Bratt,683352,L,63.3,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",83.6,50.5,38.2,93.2,50.0,6.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,31,0,"Last 7 games: 5/31, 0 HR","same-side matchup; pitcher baseline 10.8% barrel, 3.0 HR allowed",EV profile; pitcher allows elevated contact,20.25,58.05,94.86,106.3337,0.5665,0.2946,0.4044,76.63,66.69,30.75,26.34,28.9,0.2596,10.8,37.8,87.9,0.451,0.206,35.1,In From RF,82,Nationals Park,
10,545361,Mike Trout,LAA,SF,2026-07-25T20:05:00Z,Warmup,2,Robbie Ray,592662,L,62.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",68.1,50.7,42.8,100.0,78.0,9.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","platoon edge; pitcher baseline 9.4% barrel, 17.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,18.11,48.81,90.69,103.4348,0.5153,0.2649,0.3881,74.77,49.69,39.66,32.4,20.4,0.2182,9.39,40.29,89.74,0.4116,0.1786,35.48,Varies,66,Oracle Park,
11,669127,Shea Langeliers,ATH,MIN,2026-07-25T23:10:00Z,Pre-Game,4,Mike Paredes,702474,R,62.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",58.3,48.7,71.1,90.4,50.0,70.6,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.8% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.82,45.39,91.53,102.5647,0.498,0.2351,0.3525,74.78,49.54,40.44,30.61,25.4,0.2415,6.8,50.8,91.5,0.446,0.167,29.7,Out To RF,94,Target Field,
12,669065,Kyle Stowers,MIA,SD,2026-07-25T20:10:00Z,Pre-Game,2,Randy Vásquez,681190,R,62.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",58.3,68.2,35.0,100.0,80.0,2.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,29,0,"Last 7 games: 4/29, 0 HR","platoon edge; pitcher baseline 11.9% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.5,53.54,91.45,103.1276,0.4502,0.2118,0.3344,75.14,53.17,46.76,30.03,15.9,0.2161,11.88,44.76,91.06,0.5258,0.2322,29.37,None,72,loanDepot park,
13,681715,Heriberto Hernández,MIA,SD,2026-07-25T20:10:00Z,Pre-Game,3,Randy Vásquez,681190,R,61.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",59.4,68.2,35.0,96.6,50.0,52.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,1,Contact streak: 10/29 over last 7 games,"same-side matchup; pitcher baseline 11.9% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.89,49.88,91.81,102.0925,0.4945,0.2362,0.3571,74.45,48.18,45.14,32.16,12.8,0.2203,11.88,44.76,91.06,0.5258,0.2322,29.37,None,72,loanDepot park,
14,808959,Munetaka Murakami,CWS,HOU,2026-07-25T23:10:00Z,Pre-Game,2,Hunter Brown,686613,R,61.4,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.0,20.0,53.1,100.0,80.0,14.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,0,"Last 7 games: 5/23, 0 HR","platoon edge; pitcher baseline 5.9% barrel, 8.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.4,58.3,93.9,104.658,0.498,0.285,0.368,75.3,55.7,43.9,40.3,20.0,0.29,5.9,36.4,85.61,0.3306,0.1248,21.41,R To L,78,Rate Field,
15,686948,Drake Baldwin,ATL,BAL,2026-07-25T23:05:00Z,Pre-Game,1,Brandon Young,687064,R,61.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.9,40.7,43.1,93.2,80.0,95.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,28,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 9.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.01,50.16,91.56,102.4375,0.5108,0.2332,0.3761,75.02,53.39,32.22,24.97,19.7,0.2076,7.33,42.2,89.4,0.4117,0.1609,27.29,In From RF,82,Oriole Park at Camden Yards,
16,691016,Tyler Soderstrom,ATH,MIN,2026-07-25T23:10:00Z,Pre-Game,3,Mike Paredes,702474,R,60.7,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",45.1,48.7,71.1,92.1,80.0,68.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.42,45.88,90.55,101.95,0.4353,0.1778,0.3403,74.28,42.87,36.35,25.88,18.7,0.2162,6.8,50.8,91.5,0.446,0.167,29.7,Out To RF,94,Target Field,
17,665052,Griffin Conine,MIA,SD,2026-07-25T20:10:00Z,Pre-Game,7,Randy Vásquez,681190,R,60.6,Tier 3,Watch List,"Strong Barrel, Platoon Edge",59.6,68.2,35.0,64.3,80.0,61.5,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.9% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.13,52.58,90.55,103.9646,0.4852,0.2173,0.3587,74.12,44.53,48.2,20.96,5.5,0.2315,11.88,44.76,91.06,0.5258,0.2322,29.37,None,72,loanDepot park,
18,696100,Hunter Goodman,COL,MIL,2026-07-25T23:10:00Z,Pre-Game,4,Robert Gasser,688107,L,60.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.6,37.5,41.1,94.9,78.0,91.0,Yes,No,4,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 8.4% barrel, 8.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,16.05,46.34,90.94,102.9537,0.4814,0.2399,0.3366,75.1,50.89,48.7,31.57,31.0,0.2854,8.37,34.95,88.34,0.3911,0.1677,28.78,None,72,American Family Field,
19,621566,Matt Olson,ATL,BAL,2026-07-25T23:05:00Z,Pre-Game,3,Brandon Young,687064,R,60.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",64.6,40.7,43.1,96.6,80.0,37.8,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","platoon edge; pitcher baseline 7.3% barrel, 9.9 HR allowed",EV profile; pitcher fly-ball pressure modest,14.05,51.2,92.81,103.8512,0.5032,0.2545,0.3586,74.6,48.23,37.02,32.36,27.6,0.2477,7.33,42.2,89.4,0.4117,0.1609,27.29,In From RF,82,Oriole Park at Camden Yards,
20,665953,Andrés Chaparro,WSH,AZ,2026-07-25T20:05:00Z,Warmup,3,Mitch Bratt,683352,L,60.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",51.3,50.5,38.2,96.6,78.0,95.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,18,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.13,46.34,89.5,101.41,0.4482,0.2114,0.3448,74.21,42.58,49.01,28.4,3.1,0.1852,10.8,37.8,87.9,0.451,0.206,35.1,In From RF,82,Nationals Park,
21,665019,Kody Clemens,MIN,ATH,2026-07-25T23:10:00Z,Pre-Game,3,Brady Basso,669620,L,59.6,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",53.1,45.7,71.1,96.6,50.0,49.7,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.5% barrel, 0.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,12.35,46.97,92.34,101.6295,0.451,0.2034,0.3282,72.06,14.45,44.68,32.76,18.3,0.2343,9.53,48.72,90.71,0.4089,0.1343,22.12,Out To RF,94,Target Field,
22,660271,Shohei Ohtani,LAD,NYM,2026-07-25T23:15:00Z,Pre-Game,1,Nolan McLean,690997,R,59.4,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.5,26.5,38.8,88.7,80.0,13.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 8.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.81,55.06,93.92,104.3645,0.5944,0.3078,0.4145,75.03,53.08,47.82,32.83,31.9,0.2707,6.95,37.52,88.1,0.3367,0.1208,20.3,In From RF,76,Citi Field,
23,624413,Pete Alonso,BAL,ATL,2026-07-25T23:05:00Z,Pre-Game,2,Bryce Elder,693821,R,58.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",68.6,40.6,43.1,100.0,50.0,14.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 6.5% barrel, 19.1 HR allowed",EV profile; pitcher fly-ball pressure modest,14.42,54.82,93.78,104.0247,0.5286,0.2563,0.3804,74.88,49.34,36.78,30.74,26.1,0.2254,6.54,41.07,90.0,0.4081,0.1561,26.36,In From RF,82,Oriole Park at Camden Yards,
24,646240,Rafael Devers,SF,LAA,2026-07-25T20:05:00Z,Warmup,4,Ryan Johnson,696270,R,57.9,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",58.3,39.4,42.8,94.9,80.0,45.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 8.2 HR allowed",EV profile; pitcher allows elevated contact,12.78,52.32,92.66,103.0206,0.4597,0.2259,0.3341,71.81,21.48,33.7,33.32,25.2,0.2305,8.08,35.86,87.26,0.4248,0.1784,33.46,Varies,66,Oracle Park,
25,691406,Junior Caminero,TB,CLE,2026-07-25T22:10:00Z,Pre-Game,3,Tanner Bibee,676440,R,57.8,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",63.3,45.8,41.1,96.6,50.0,33.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,0,Contact streak: 10/29 over last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 22.1 HR allowed",EV profile; pitcher fly-ball pressure modest,13.44,51.54,92.89,105.4084,0.5052,0.2327,0.3663,79.48,86.28,46.64,22.79,33.8,0.2647,8.59,39.33,89.27,0.4186,0.1702,27.76,None,72,Tropicana Field,
