rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,HOU,TOR,2026-08-05T18:10:00Z,Warmup,2,Jameson Taillon,592791,R,75.0,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.8,69.6,41.6,100.0,80.0,63.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,1,Contact streak: 11/26 over last 7 games,"platoon edge; pitcher baseline 13.4% barrel, 24.7 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.81,53.46,94.49,105.0697,0.6589,0.3378,0.449,76.1,61.59,41.44,36.45,26.3,0.2676,13.42,38.72,88.72,0.5045,0.253,37.8,None,73,Daikin Park,
2,660271,Shohei Ohtani,LAD,CHC,2026-08-05T18:20:00Z,Warmup,1,Shota Imanaga,684007,L,71.1,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",80.8,51.5,69.8,93.2,50.0,81.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.1% barrel, 26.1 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.46,54.5,93.92,104.4332,0.5979,0.3071,0.4152,74.96,52.38,47.26,32.97,33.3,0.2742,10.13,37.62,88.88,0.4235,0.1905,33.48,Out To CF,80,Wrigley Field,
3,691406,Junior Caminero,TB,COL,2026-08-05T19:10:00Z,Pre-Game,3,Tomoyuki Sugano,608372,R,70.4,Tier 2,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Hot Hitter/Streak",64.6,74.6,61.7,96.6,50.0,77.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 13.3% barrel, 24.6 HR allowed",EV profile; pitcher fly-ball pressure modest,13.86,51.05,92.89,105.3616,0.5115,0.2411,0.3663,79.41,85.95,45.73,23.77,35.9,0.2696,13.27,43.16,90.7,0.5576,0.2497,29.86,Varies,77,Coors Field,
4,694673,Abimelec Ortiz,WSH,PHI,2026-08-05T22:40:00Z,Scheduled,2,Andrew Painter,691725,R,69.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",92.6,46.5,34.3,95.5,80.0,50.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,3,2,6,1,Contact streak: 2/6 over last 3 games,"platoon edge; pitcher baseline 9.4% barrel, 15.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.7,66.7,98.7,104.2248,0.873,0.545,0.499,75.5,63.6,50.0,66.7,1.0,0.667,9.4,36.5,87.4,0.465,0.194,28.3,,,Citizens Bank Park,
5,656941,Kyle Schwarber,PHI,WSH,2026-08-05T22:40:00Z,Scheduled,3,Jake Irvin,663623,R,67.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",77.2,68.5,34.3,92.1,80.0,0.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,20,0,"Last 7 games: 2/20, 0 HR","platoon edge; pitcher baseline 12.8% barrel, 17.7 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.42,54.49,93.6,104.6005,0.518,0.277,0.3772,77.09,75.07,54.49,33.6,39.9,0.295,12.84,46.26,89.84,0.4875,0.2288,30.84,,,Citizens Bank Park,
6,666018,Jonathan Aranda,TB,COL,2026-08-05T19:10:00Z,Pre-Game,2,Tomoyuki Sugano,608372,R,66.1,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",49.1,74.6,61.7,100.0,80.0,30.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,31,0,Contact streak: 10/31 over last 7 games,"platoon edge; pitcher baseline 13.3% barrel, 24.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.94,48.41,91.6,101.4177,0.4723,0.1988,0.3652,70.15,12.2,31.45,29.22,14.0,0.1562,13.27,43.16,90.7,0.5576,0.2497,29.86,Varies,77,Coors Field,
7,678545,Osleivis Basabe,SF,TEX,2026-08-05T18:35:00Z,Pre-Game,5,Cody Bradford,674003,L,65.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Platoon Edge, Hot Hitter/Streak",80.4,41.2,42.1,86.4,78.0,81.1,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,5,17,3,Hot streak: 3 HR in last 6 games,"platoon edge; pitcher baseline 0.0% barrel, 0.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,25.0,43.8,90.0,102.936,0.645,0.34,0.396,74.3,35.5,37.5,50.0,3.0,0.588,,,,,,,None,74,Globe Life Field,
8,808959,Munetaka Murakami,CWS,BOS,2026-08-05T23:10:00Z,Scheduled,2,Sonny Gray,543243,R,64.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.1,37.6,28.7,95.5,80.0,60.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 15.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.1,59.8,94.2,104.7714,0.51,0.288,0.369,75.0,52.4,43.3,39.6,24.0,0.298,7.7,39.16,89.25,0.3936,0.1404,22.22,,,Fenway Park,
9,673548,Seiya Suzuki,CHC,LAD,2026-08-05T18:20:00Z,Warmup,2,Eric Lauer,641778,L,62.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",46.8,54.1,69.8,100.0,78.0,56.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,1,Contact streak: 9/24 over last 7 games,"platoon edge; pitcher baseline 10.3% barrel, 18.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.98,42.47,89.69,101.3027,0.4447,0.1963,0.3415,73.37,37.18,42.81,30.15,22.9,0.2155,10.27,37.07,88.85,0.4477,0.2028,36.69,Out To CF,80,Wrigley Field,
10,547180,Bryce Harper,PHI,WSH,2026-08-05T22:40:00Z,Scheduled,4,Jake Irvin,663623,R,62.2,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",53.8,68.5,34.3,90.4,80.0,60.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.8% barrel, 17.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.95,45.82,90.6,102.1173,0.5074,0.2331,0.3827,74.24,46.48,38.33,27.52,24.9,0.24,12.84,46.26,89.84,0.4875,0.2288,30.84,,,Citizens Bank Park,
11,621566,Matt Olson,ATL,MIA,2026-08-05T23:15:00Z,Scheduled,3,Eury Pérez,691587,R,62.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",66.0,46.2,30.9,92.1,80.0,88.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 12.7 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.61,51.34,92.81,103.8489,0.5088,0.2594,0.3614,74.53,47.33,38.0,32.5,30.4,0.2561,9.91,41.39,88.75,0.3751,0.1672,31.36,,,Truist Park,
