rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,624413,Pete Alonso,BAL,COL,2026-09-02T19:10:00Z,Pre-Game,2,Tomoyuki Sugano,608372,R,72.4,Tier 2,Watch List,"Strong Barrel, Pitcher Vulnerable, Good Environment, Premium Lineup Spot",72.2,71.5,80.2,100.0,50.0,18.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","same-side matchup; pitcher baseline 12.4% barrel, 28.8 HR allowed",EV profile; pitcher fly-ball pressure modest,15.26,56.01,93.92,104.2535,0.5517,0.271,0.3895,74.78,48.72,36.01,30.39,33.8,0.2366,12.43,42.46,90.77,0.5506,0.2441,29.79,Out To LF,85,Coors Field,
2,691002,Yohandy Morales,WSH,ATL,2026-09-02T17:05:00Z,Delayed,7,Grant Holmes,656550,R,67.4,Tier 3,Watch List,"Elite Power, Strong Barrel",96.1,50.4,46.2,64.3,50.0,63.3,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,2,3,6,1,Contact streak: 3/6 over last 2 games,"same-side matchup; pitcher baseline 9.0% barrel, 18.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,66.7,100.0,103.0,104.0627,1.021,0.651,0.578,73.1,22.2,66.7,66.7,1.0,0.8,8.98,42.81,90.8,0.4224,0.1726,26.55,In From RF,88,Nationals Park,
3,665487,Fernando Tatis Jr.,SD,CIN,2026-09-02T16:40:00Z,In Progress,1,Brandon Williamson,682227,L,66.9,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",56.8,53.7,83.3,93.2,78.0,53.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.5% barrel, 4.0 HR allowed",EV profile; pitcher allows elevated contact,12.19,53.27,92.95,104.5167,0.4866,0.1981,0.3728,75.58,57.91,35.36,21.94,20.8,0.1703,10.5,41.9,88.1,0.486,0.211,32.6,Out To LF,94,Great American Ball Park,
4,695578,James Wood,WSH,ATL,2026-09-02T17:05:00Z,Delayed,1,Grant Holmes,656550,R,66.6,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.5,50.4,46.2,93.2,80.0,9.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,0,"Last 7 games: 4/22, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 18.1 HR allowed",EV profile; pitcher fly-ball pressure modest,19.48,57.21,94.86,106.1766,0.5574,0.2862,0.4016,76.7,67.34,31.73,25.85,30.3,0.2547,8.98,42.81,90.8,0.4224,0.1726,26.55,In From RF,88,Nationals Park,
5,683002,Gunnar Henderson,BAL,COL,2026-09-02T19:10:00Z,Pre-Game,3,Tomoyuki Sugano,608372,R,65.4,Tier 3,Watch List,"Pitcher Vulnerable, Good Environment, Premium Lineup Spot, Platoon Edge",37.4,71.5,80.2,96.6,80.0,62.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.4% barrel, 28.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.55,45.42,90.35,101.3092,0.4061,0.1525,0.3249,74.67,47.03,41.01,23.17,20.5,0.1766,12.43,42.46,90.77,0.5506,0.2441,29.79,Out To LF,85,Coors Field,
6,701398,Sal Stewart,CIN,SD,2026-09-02T16:40:00Z,In Progress,3,Casey Mize,663554,R,65.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",60.5,42.2,83.3,96.6,50.0,87.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.4% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.82,42.77,91.69,101.2927,0.5271,0.2596,0.366,72.17,26.72,38.15,32.93,23.2,0.2417,8.43,38.93,89.3,0.3875,0.156,31.02,Out To LF,94,Great American Ball Park,
7,694212,Samuel Basallo,BAL,COL,2026-09-02T19:10:00Z,Pre-Game,5,Tomoyuki Sugano,608372,R,64.0,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Good Environment, Platoon Edge",47.2,71.5,80.2,86.4,80.0,0.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,0,"Last 7 games: 3/25, 0 HR","platoon edge; pitcher baseline 12.4% barrel, 28.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.7,43.42,90.01,102.0894,0.4233,0.1966,0.3092,74.8,48.93,42.32,28.84,13.1,0.1881,12.43,42.46,90.77,0.5506,0.2441,29.79,Out To LF,85,Coors Field,
8,691723,Coby Mayo,BAL,COL,2026-09-02T19:10:00Z,Pre-Game,6,Tomoyuki Sugano,608372,R,64.0,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Good Environment",50.5,71.5,80.2,76.2,50.0,59.1,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 12.4% barrel, 28.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.06,44.96,90.38,102.6706,0.4211,0.2013,0.3094,75.4,54.67,49.41,34.04,16.6,0.2102,12.43,42.46,90.77,0.5506,0.2441,29.79,Out To LF,85,Coors Field,
9,682829,Elly De La Cruz,CIN,SD,2026-09-02T16:40:00Z,In Progress,2,Casey Mize,663554,R,63.4,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",55.0,40.7,83.3,100.0,75.0,45.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,25,0,Contact streak: 11/25 over last 7 games,"switch hitter; pitcher baseline 8.4% barrel, 14.0 HR allowed",EV profile; pitcher allows elevated contact,12.82,48.89,93.03,103.9877,0.4569,0.1905,0.3493,75.38,54.12,34.47,24.96,21.3,0.1963,8.43,38.93,89.3,0.3875,0.156,31.02,Out To LF,94,Great American Ball Park,
10,664034,Ty France,SD,CIN,2026-09-02T16:40:00Z,In Progress,4,Brandon Williamson,682227,L,63.2,Tier 3,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",42.1,53.7,83.3,94.9,78.0,72.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.5% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.03,46.86,91.18,101.08,0.4257,0.173,0.3294,71.77,19.74,34.89,25.46,15.4,0.1814,10.5,41.9,88.1,0.486,0.211,32.6,Out To LF,94,Great American Ball Park,
11,670541,Yordan Alvarez,HOU,CWS,2026-09-03T00:10:00Z,Scheduled,2,Davis Martin,663436,R,63.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",79.9,45.0,27.6,95.5,80.0,26.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 7.7% barrel, 14.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.83,53.32,94.56,104.9793,0.6253,0.3133,0.4336,76.17,61.87,40.95,36.45,27.7,0.2487,7.7,44.46,90.28,0.4307,0.1601,23.48,,,Daikin Park,
12,696100,Hunter Goodman,COL,BAL,2026-09-02T19:10:00Z,Pre-Game,3,Trevor Rogers,669432,L,63.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",58.5,37.7,80.2,96.6,78.0,40.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 7.3% barrel, 13.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.21,45.92,90.45,102.7029,0.4637,0.2315,0.3248,74.93,49.3,48.14,32.62,34.5,0.2728,7.32,41.12,88.93,0.3907,0.151,24.46,Out To LF,85,Coors Field,
13,701538,Jackson Merrill,SD,CIN,2026-09-02T16:40:00Z,In Progress,3,Brandon Williamson,682227,L,62.8,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",50.8,53.7,83.3,96.6,50.0,52.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,1,Contact streak: 9/26 over last 7 games,"same-side matchup; pitcher baseline 10.5% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.81,45.63,90.47,100.7522,0.4746,0.2144,0.3379,72.88,27.26,37.42,29.99,20.2,0.1825,10.5,41.9,88.1,0.486,0.211,32.6,Out To LF,94,Great American Ball Park,
