rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,665742,Juan Soto,NYM,SF,2026-09-05T20:10:00Z,Pre-Game,2,Anthony Molina,683627,R,66.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",71.8,47.0,52.3,100.0,80.0,47.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.0% barrel, 5.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.54,50.68,92.96,103.0278,0.5933,0.3014,0.422,72.69,32.12,39.11,32.82,29.0,0.2592,8.02,39.51,87.49,0.4975,0.2112,35.39,L To R,80,Citi Field,
2,695491,Joshua Baez,STL,COL,2026-09-06T00:10:00Z,Scheduled,5,Mason Adams,690279,R,63.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel",66.6,69.3,38.7,81.9,50.0,68.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 13.0% barrel, 2.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.3,52.4,93.2,102.6574,0.454,0.251,0.308,77.5,73.6,45.2,35.7,6.0,0.333,13.0,47.8,91.3,0.462,0.232,39.1,,,Coors Field,
3,670541,Yordan Alvarez,HOU,AZ,2026-09-05T23:15:00Z,Scheduled,2,Brandon Pfaadt,694297,R,63.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",79.0,42.5,27.6,95.5,80.0,46.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 16.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.55,53.18,94.49,104.8952,0.6225,0.3098,0.4329,76.17,61.8,40.88,36.52,27.7,0.2459,8.66,37.33,88.98,0.4205,0.1666,23.76,,,Daikin Park,
4,699013,Esmerlyn Valdez,PIT,LAA,2026-09-05T22:40:00Z,Scheduled,2,Yusei Kikuchi,579328,L,61.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",68.7,54.4,24.3,95.5,78.0,40.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 12.1 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,19.8,48.4,91.6,102.6161,0.433,0.236,0.328,74.8,51.3,37.3,40.5,16.0,0.279,9.75,44.72,91.14,0.4532,0.1906,24.31,,,PNC Park,
5,808959,Munetaka Murakami,CWS,MIN,2026-09-05T23:10:00Z,Scheduled,2,Taj Bradley,671737,R,61.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",77.1,47.9,27.6,95.5,80.0,0.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,24,0,"Last 7 games: 1/24, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 20.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.3,57.0,93.9,104.4132,0.469,0.262,0.352,74.8,51.3,44.8,38.6,29.0,0.265,8.8,43.33,90.32,0.3864,0.1578,29.19,,,Rate Field,
6,646240,Rafael Devers,SF,NYM,2026-09-05T20:10:00Z,Pre-Game,2,Zac Thornton,804267,L,60.7,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",60.6,42.0,52.3,95.5,50.0,98.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,27,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 8.2% barrel, 7.0 HR allowed",EV profile; pitcher fly-ball pressure modest,13.2,52.74,93.15,103.2812,0.4702,0.2322,0.346,71.81,20.44,34.05,34.02,33.6,0.2445,8.2,38.6,88.7,0.444,0.175,27.7,L To R,80,Citi Field,
7,691023,Jordan Walker,STL,COL,2026-09-06T00:10:00Z,Scheduled,4,Mason Adams,690279,R,60.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",55.9,69.3,38.7,90.4,50.0,50.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,1,Contact streak: 10/30 over last 7 games,"same-side matchup; pitcher baseline 13.0% barrel, 2.0 HR allowed",EV profile; pitcher allows elevated contact,12.65,49.23,92.51,104.6014,0.447,0.1928,0.3291,78.87,83.05,37.89,24.12,21.4,0.1778,13.0,47.8,91.3,0.462,0.232,39.1,,,Coors Field,
8,805811,Bryce Eldridge,SF,NYM,2026-09-05T20:10:00Z,Pre-Game,3,Zac Thornton,804267,L,59.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",68.8,42.0,52.3,92.1,50.0,36.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,0,Contact streak: 9/25 over last 7 games,"same-side matchup; pitcher baseline 8.2% barrel, 7.0 HR allowed",EV profile; pitcher fly-ball pressure modest,15.69,57.25,93.43,103.294,0.4785,0.2449,0.3594,72.86,28.08,37.99,36.49,10.5,0.1518,8.2,38.6,88.7,0.444,0.175,27.7,L To R,80,Citi Field,
9,676475,Alec Burleson,STL,COL,2026-09-06T00:10:00Z,Scheduled,3,Mason Adams,690279,R,59.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",51.6,69.3,38.7,92.1,80.0,0.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,27,0,"Last 7 games: 2/27, 0 HR","platoon edge; pitcher baseline 13.0% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.34,47.48,91.63,101.9038,0.5025,0.2179,0.3639,73.21,34.14,43.75,27.33,20.1,0.1788,13.0,47.8,91.3,0.462,0.232,39.1,,,Coors Field,
10,691718,Pete Crow-Armstrong,CHC,MIA,2026-09-05T20:10:00Z,Pre-Game,1,Ryan Gusto,687473,R,59.2,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",56.4,45.0,35.0,93.2,80.0,85.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,31,6,Hot streak: 6 HR in last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 10.7 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.03,46.57,90.06,101.6732,0.4897,0.2365,0.3546,74.24,44.67,49.88,35.64,36.6,0.2732,8.31,44.02,89.83,0.4246,0.162,25.21,None,72,loanDepot park,
11,669065,Kyle Stowers,MIA,CHC,2026-09-05T20:10:00Z,Pre-Game,1,Javier Assad,665871,R,59.2,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",63.2,39.2,35.0,93.2,80.0,68.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.0% barrel, 11.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.55,54.73,92.01,103.4053,0.4698,0.2272,0.3442,75.28,54.67,45.57,31.99,20.1,0.2336,6.02,43.97,89.62,0.4253,0.1565,26.5,None,72,loanDepot park,
