rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,ATL,2026-09-07T17:05:00Z,In Progress,1,Grant Holmes,656550,R,66.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",75.7,50.7,47.8,93.2,80.0,45.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 18.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.14,52.88,92.9,104.1586,0.525,0.2826,0.3772,77.16,75.63,54.7,32.97,46.2,0.295,8.98,43.09,90.8,0.4238,0.174,26.55,In From LF,77,Citizens Bank Park,
2,695600,Carter Jensen,KC,AZ,2026-09-07T18:10:00Z,Warmup,1,Derek Law,571882,R,64.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.9,49.5,56.7,93.2,80.0,87.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.1% barrel, 0.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.08,48.99,92.6,103.0122,0.4636,0.2151,0.3469,74.1,38.8,40.58,31.33,16.3,0.222,7.1,42.9,90.2,0.605,0.199,21.4,R To L,90,Kauffman Stadium,
3,682985,Riley Greene,DET,MIN,2026-09-07T19:10:00Z,Pre-Game,4,Joe Ryan,657746,R,62.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.0,53.2,41.1,94.9,80.0,59.1,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.77,47.39,90.32,102.6218,0.4952,0.241,0.3579,75.6,57.59,38.77,33.52,23.4,0.2042,10.8,42.11,89.92,0.3921,0.1726,30.1,In From LF,77,Comerica Park,
4,665742,Juan Soto,NYM,MIA,2026-09-07T17:10:00Z,In Progress,2,Eury Pérez,691587,R,62.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",70.5,48.1,35.0,100.0,80.0,27.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","platoon edge; pitcher baseline 9.8% barrel, 15.5 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.33,50.05,92.75,102.9879,0.5891,0.2979,0.4199,72.69,31.91,39.18,32.47,29.0,0.255,9.84,41.39,89.24,0.3814,0.17,31.71,None,72,loanDepot park,
5,624413,Pete Alonso,BAL,CLE,2026-09-07T17:35:00Z,In Progress,2,Joey Cantillo,676282,L,62.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",72.6,35.9,45.1,100.0,78.0,36.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,21,1,"Last 7 games: 5/21, 1 HR","platoon edge; pitcher baseline 7.5% barrel, 14.2 HR allowed",EV profile; pitcher fly-ball pressure modest,15.47,56.43,94.06,104.2754,0.5503,0.2696,0.3902,74.78,48.86,36.36,30.18,34.5,0.2352,7.55,40.12,88.59,0.3672,0.1368,26.18,In From LF,78,Oriole Park at Camden Yards,
6,701350,Roman Anthony,BOS,LAA,2026-09-07T17:35:00Z,In Progress,1,Grayson Rodriguez,680570,R,61.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",54.9,55.0,49.7,93.2,80.0,56.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 12.0 HR allowed",EV profile; pitcher fly-ball pressure modest,12.45,53.09,93.1,102.9401,0.4455,0.1805,0.3608,75.42,53.86,37.97,23.0,4.5,0.1486,9.3,46.4,90.8,0.46,0.19,28.3,L To R,77,Fenway Park,
7,646240,Rafael Devers,SF,STL,2026-09-08T00:10:00Z,Scheduled,2,Michael McGreevy,700241,R,61.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.4,54.2,19.3,95.5,80.0,94.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,6,Hot streak: 6 HR in last 7 games,"platoon edge; pitcher baseline 9.6% barrel, 17.6 HR allowed",EV profile; pitcher fly-ball pressure modest,13.48,53.02,93.22,103.2923,0.473,0.2336,0.3474,71.81,20.72,34.12,33.88,35.0,0.2494,9.57,41.57,90.15,0.4731,0.1942,26.62,,,Oracle Park,
8,669065,Kyle Stowers,MIA,NYM,2026-09-07T17:10:00Z,In Progress,1,Jonah Tong,804636,R,60.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",63.8,39.8,35.0,93.2,80.0,87.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 1.6 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.62,54.94,92.08,103.4836,0.474,0.2307,0.3477,75.28,54.67,45.29,31.92,20.8,0.2364,8.56,34.08,89.72,0.3898,0.1673,35.62,None,72,loanDepot park,
9,677800,Wilyer Abreu,BOS,LAA,2026-09-07T17:35:00Z,In Progress,4,Grayson Rodriguez,680570,R,59.7,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",52.6,55.0,49.7,94.9,80.0,24.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,0,"Last 7 games: 8/28, 0 HR","platoon edge; pitcher baseline 9.3% barrel, 12.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.23,44.13,90.1,101.3446,0.4708,0.2208,0.3434,73.89,38.66,38.18,36.89,22.7,0.2122,9.3,46.4,90.8,0.46,0.19,28.3,L To R,77,Fenway Park,
10,805811,Bryce Eldridge,SF,STL,2026-09-08T00:10:00Z,Scheduled,3,Michael McGreevy,700241,R,59.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",67.8,54.2,19.3,92.1,80.0,24.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,0,"Last 7 games: 7/25, 0 HR","platoon edge; pitcher baseline 9.6% barrel, 17.6 HR allowed",EV profile; pitcher fly-ball pressure modest,15.48,56.76,93.29,103.2064,0.4757,0.2428,0.3587,72.86,28.08,37.99,36.35,10.5,0.1511,9.57,41.57,90.15,0.4731,0.1942,26.62,,,Oracle Park,
11,660271,Shohei Ohtani,LAD,CIN,2026-09-08T01:10:00Z,Scheduled,1,Chase Burns,695505,R,59.6,Longshot,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.6,40.3,27.6,88.7,80.0,3.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,0,"Last 7 games: 4/28, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 12.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.11,53.8,93.71,104.4581,0.5853,0.3001,0.4082,74.96,52.94,46.63,31.78,37.5,0.2742,8.45,40.45,89.64,0.3581,0.1467,28.94,,,UNIQLO Field at Dodger Stadium,
