rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,682829,Elly De La Cruz,CIN,LAD,2026-09-17T16:40:00Z,Warmup,2,Justin Wrobleski,680736,L,69.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.7,46.4,81.8,100.0,75.0,88.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,3,Hot streak: 3 HR in last 7 games,"switch hitter; pitcher baseline 8.1% barrel, 16.5 HR allowed",EV profile; pitcher fly-ball pressure modest,14.64,51.06,93.66,104.6035,0.4849,0.2101,0.3612,75.59,55.45,34.89,24.89,26.2,0.2173,8.07,44.79,90.6,0.4234,0.1612,28.35,Out To LF,89,Great American Ball Park,
2,701538,Jackson Merrill,SD,COL,2026-09-17T19:10:00Z,Pre-Game,5,Tanner Gordon,685299,R,68.2,Tier 3,Watch List,"Strong Barrel, Good Environment, Platoon Edge, Hot Hitter/Streak",54.8,61.7,73.2,86.4,80.0,100.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,17,32,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.72,47.38,90.96,101.2076,0.4928,0.2242,0.3484,72.95,27.96,37.14,30.34,22.3,0.1881,10.73,42.32,90.59,0.4838,0.2111,33.46,Out To LF,77,Coors Field,
3,800543,Josue De Paula,LAD,CIN,2026-09-17T16:40:00Z,Warmup,6,Brady Singer,663903,R,67.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Platoon Edge",70.7,54.3,81.8,76.2,80.0,21.8,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,2,14,1,"Last 6 games: 2/14, 1 HR","platoon edge; pitcher baseline 9.8% barrel, 26.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.7,58.3,93.2,100.7081,0.459,0.262,0.402,73.1,38.5,41.7,33.3,1.0,0.286,9.82,42.1,90.79,0.4454,0.18,26.86,Out To LF,89,Great American Ball Park,
4,665487,Fernando Tatis Jr.,SD,COL,2026-09-17T19:10:00Z,Pre-Game,1,Tanner Gordon,685299,R,66.9,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",57.5,61.7,73.2,93.2,50.0,92.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,30,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 17.4 HR allowed",EV profile; pitcher allows elevated contact,12.12,53.2,93.09,104.4543,0.4922,0.2044,0.3742,75.65,58.12,35.01,22.29,23.6,0.1766,10.73,42.32,90.59,0.4838,0.2111,33.46,Out To LF,77,Coors Field,
5,701398,Sal Stewart,CIN,LAD,2026-09-17T16:40:00Z,Warmup,3,Justin Wrobleski,680736,L,65.7,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",59.0,48.2,81.8,96.6,78.0,37.6,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,0,Contact streak: 10/27 over last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 16.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.19,43.82,91.76,101.52,0.5194,0.2512,0.3625,72.1,26.51,37.87,31.95,23.2,0.2291,8.07,44.79,90.6,0.4234,0.1612,28.35,Out To LF,89,Great American Ball Park,
6,670541,Yordan Alvarez,HOU,KC,2026-09-17T23:15:00Z,Scheduled,2,Seth Lugo,607625,R,65.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.1,52.8,27.6,95.5,80.0,48.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 21.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.55,53.11,94.42,104.8373,0.6127,0.3042,0.428,76.17,62.08,41.02,36.1,29.1,0.2459,8.72,43.38,90.0,0.459,0.1883,28.76,,,Daikin Park,
7,571970,Max Muncy,LAD,CIN,2026-09-17T16:40:00Z,Warmup,5,Brady Singer,663903,R,65.4,Tier 3,Watch List,"Strong Barrel, Good Environment, Platoon Edge",55.8,54.3,81.8,86.4,80.0,47.5,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 26.7 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.18,48.14,90.6,101.3137,0.4725,0.2352,0.3537,71.31,14.34,51.01,35.86,25.3,0.2354,9.82,42.1,90.79,0.4454,0.18,26.86,Out To LF,89,Great American Ball Park,
8,665833,Oneil Cruz,PIT,MIL,2026-09-17T16:35:00Z,Warmup,2,Kyle Harrison,690986,L,63.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",70.2,41.5,57.8,100.0,50.0,66.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.1% barrel, 15.2 HR allowed",EV profile; pitcher fly-ball pressure modest,16.95,55.34,95.1,106.6305,0.4628,0.2224,0.3457,78.24,75.89,40.09,23.03,19.3,0.199,8.06,39.55,89.58,0.3943,0.1511,28.09,Out To LF,75,PNC Park,
9,804668,Rafael Flores Jr.,PIT,MIL,2026-09-17T16:35:00Z,Warmup,4,Kyle Harrison,690986,L,62.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.9,41.5,57.8,94.9,78.0,60.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,1,Contact streak: 10/25 over last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 15.2 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.55,52.14,91.79,102.3772,0.4979,0.2458,0.3491,73.75,38.83,39.21,38.13,6.3,0.2149,8.06,39.55,89.58,0.3943,0.1511,28.09,Out To LF,75,PNC Park,
10,592518,Manny Machado,SD,COL,2026-09-17T19:10:00Z,Pre-Game,3,Tanner Gordon,685299,R,61.8,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",48.6,61.7,73.2,96.6,50.0,39.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.8,46.25,91.08,101.8354,0.4474,0.1925,0.34,74.64,44.65,39.38,28.57,27.7,0.1906,10.73,42.32,90.59,0.4838,0.2111,33.46,Out To LF,77,Coors Field,
11,663656,Kyle Tucker,LAD,CIN,2026-09-17T16:40:00Z,Warmup,3,Brady Singer,663903,R,61.7,Tier 3,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",34.2,54.3,81.8,96.6,80.0,87.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 26.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,7.72,37.88,89.19,98.8116,0.4172,0.1598,0.3426,71.58,20.66,43.38,33.82,17.1,0.1623,9.82,42.1,90.79,0.4454,0.18,26.86,Out To LF,89,Great American Ball Park,
