rank,player,team,opponent,batting_order,pitcher,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,Hunter Goodman,COL,CHC,4,Colin Rea,R,69.7,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",58.9,64.6,91.7,94.9,50.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,15.5,46.9,91,102.858606197,.442,.217,.319,75.3,54,53.1,34.3,17,0.273,12.4,45.3,91.3,.489,.211,26.4,Out To RF,88,Coors Field,
2,Lars Nootbaar,STL,NYM,5,Freddy Peralta,R,69.4,Tier 3,Watch List,"Elite Power, Strong Barrel, Platoon Edge",87.6,30.3,67.8,86.4,80.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,28.6,42.9,93.9,101.751245,.769,.516,.465,75.7,50,28.6,57.1,1,0.400,5.9,40.9,88.4,.370,.133,25.6,Out To LF,72,Citi Field,
3,Pete Alonso,BAL,SEA,3,Logan Gilbert,R,68.4,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",65.4,57.3,78.1,96.6,50.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,12,55.7,94.9,103.378709479,.510,.241,.366,74.6,45.7,33.9,32.8,13,0.200,11,46,90.7,.426,.176,31,Out To LF,80,Oriole Park at Camden Yards,
4,Juan Soto,NYM,STL,3,Dustin May,R,67.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",73.7,37.0,67.8,96.6,80.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,16.2,49,92.9,102.58991027,.596,.312,.404,72.7,30.6,37.6,36.9,13,0.253,6.7,49,90.4,.375,.129,21.1,Out To LF,72,Citi Field,
5,Ben Rice,NYY,CLE,2,Slade Cecconi,R,65.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",65.8,36.0,70.1,100.0,80.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,16.4,50.3,92.3,102.39020075,.543,.255,.400,72.3,20.3,46.5,27,18,0.337,7.9,34,87.5,.435,.167,25.6,Out To CF,83,Progressive Field,
6,Miguel Vargas,CWS,ATL,2,Grant Holmes,R,65.3,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",60.1,56.1,68.6,100.0,50.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,14.1,45.7,89.8,101.049332174,.523,.264,.392,74,43.9,40.8,35.3,15,0.247,10.4,46.2,90.8,.437,.191,26.6,Out To RF,84,Rate Field,
7,Jacob Gonzalez,CWS,ATL,4,Grant Holmes,R,64.5,Tier 3,Watch List,"Premium Lineup Spot, Platoon Edge",51.3,56.1,68.6,94.9,80.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,7.7,53.8,91.2,102.909217143,.476,.242,.353,72.7,23.8,46.2,30.8,1,0.150,10.4,46.2,90.8,.437,.191,26.6,Out To RF,84,Rate Field,
8,Jared Young,NYM,STL,4,Dustin May,R,64.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",64.4,37.0,67.8,94.9,80.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,17.5,52.5,91.9,104.296587,.514,.230,.398,73.3,33.6,55,20,3,0.218,6.7,49,90.4,.375,.129,21.1,Out To LF,72,Citi Field,
9,Jac Caglianone,KC,TEX,6,Nathan Eovaldi,R,64.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Platoon Edge",65.4,43.2,72.7,76.2,80.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,15.3,59.5,93.9,106.58337,.458,.196,.347,76.7,69.4,38.9,24.4,6,0.153,8.3,40.1,88.7,.430,.175,24.9,Out To LF,89,Kauffman Stadium,
10,Patrick Wisdom,SEA,BAL,6,Trevor Rogers,L,63.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Platoon Edge",67.0,37.1,78.1,76.2,78.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,22.2,50,92.6,103.265643333,.384,.207,.251,76.6,70.3,33.3,33.3,1,0.125,7.2,38.7,89.3,.424,.160,22.1,Out To LF,80,Oriole Park at Camden Yards,
11,Bobby Witt Jr.,KC,TEX,2,Nathan Eovaldi,R,63.2,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",61.3,43.2,72.7,100.0,50.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,13.7,51.9,93.2,103.711062157,.519,.218,.385,73.6,39.7,27.9,28.8,9,0.176,8.3,40.1,88.7,.430,.175,24.9,Out To LF,89,Kauffman Stadium,
