rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,665742,Juan Soto,NYM,STL,2026-06-11T17:10:00Z,Pre-Game,3,Hunter Dobbins,690928,R,70.0,Tier 2,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",74.9,58.3,70.3,96.6,80.0,0.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,0,"Last 7 games: 3/26, 0 HR","platoon edge; pitcher baseline 13.0% barrel, 2.5 HR allowed",EV profile; pitcher fly-ball pressure modest,16.8,50.47,93.03,103.0396,0.5996,0.3133,0.4129,72.83,32.99,37.85,33.52,22.0,0.2494,12.96,47.51,90.49,0.4416,0.1859,16.86,Out To RF,91,Citi Field,
2,695506,Jac Caglianone,KC,TEX,2026-06-11T18:10:00Z,Pre-Game,4,Kumar Rocker,677958,R,68.2,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.9,48.0,78.2,94.9,80.0,81.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 7.5 HR allowed",EV profile; pitcher fly-ball pressure modest,14.73,53.81,92.55,105.4675,0.4744,0.2115,0.3511,76.91,71.19,39.52,23.31,7.7,0.1681,9.28,43.79,90.08,0.4423,0.1766,22.44,Out To CF,88,Kauffman Stadium,
3,676724,Jared Young,NYM,STL,2026-06-11T17:10:00Z,Pre-Game,4,Hunter Dobbins,690928,R,65.4,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",56.4,58.3,70.3,94.9,80.0,34.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","platoon edge; pitcher baseline 13.0% barrel, 2.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.72,47.56,89.64,102.3738,0.4826,0.2361,0.3534,73.51,34.23,49.03,27.09,3.3,0.2376,12.96,47.51,90.49,0.4416,0.1859,16.86,Out To RF,91,Citi Field,
4,621439,Byron Buxton,MIN,DET,2026-06-11T17:10:00Z,Pre-Game,2,Keider Montero,672456,R,64.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",68.4,47.7,56.6,100.0,50.0,75.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.1% barrel, 10.4 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,18.26,48.62,91.03,102.2365,0.5007,0.2604,0.3423,74.3,42.52,48.38,36.24,24.5,0.3003,9.11,40.59,89.87,0.425,0.1825,28.57,R To L,77,Comerica Park,
5,695731,Braden Montgomery,CWS,ATL,2026-06-11T23:40:00Z,Scheduled,6,Martín Pérez,527048,L,64.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",89.6,44.4,27.6,71.7,75.0,63.3,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,2,4,9,1,Contact streak: 4/9 over last 2 games,"switch hitter; pitcher baseline 9.9% barrel, 6.0 HR allowed",EV profile; pitcher fly-ball pressure modest,28.6,85.7,93.3,101.9195,0.758,0.369,0.484,71.9,21.4,28.6,42.9,1.0,0.556,9.89,39.61,88.76,0.4199,0.1737,27.07,,,Rate Field,
6,701807,Carson Benge,NYM,STL,2026-06-11T17:10:00Z,Pre-Game,1,Hunter Dobbins,690928,R,63.1,Tier 3,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",41.9,58.3,70.3,93.2,80.0,88.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 13.0% barrel, 2.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.6,44.6,90.0,100.752,0.469,0.182,0.353,71.2,18.2,29.4,24.9,7.0,0.138,12.96,47.51,90.49,0.4416,0.1859,16.86,Out To RF,91,Citi Field,
7,682985,Riley Greene,DET,MIN,2026-06-11T17:10:00Z,Pre-Game,4,Zebby Matthews,805673,R,63.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",58.3,50.4,56.6,94.9,80.0,53.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.1% barrel, 7.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.3,49.49,90.88,102.7842,0.4735,0.2186,0.3551,75.46,56.92,38.07,29.95,15.7,0.1755,11.09,38.52,89.48,0.4127,0.1809,32.0,R To L,77,Comerica Park,
8,665019,Kody Clemens,MIN,DET,2026-06-11T17:10:00Z,Pre-Game,3,Keider Montero,672456,R,62.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",53.9,47.7,56.6,96.6,80.0,88.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 10.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,13.26,45.64,92.27,101.7802,0.4552,0.2076,0.3345,71.85,13.68,42.09,32.13,12.0,0.2301,9.11,40.59,89.87,0.425,0.1825,28.57,R To L,77,Comerica Park,
9,669065,Kyle Stowers,MIA,AZ,2026-06-11T17:10:00Z,Pre-Game,3,Merrill Kelly,518876,R,62.7,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",52.2,75.3,35.0,96.6,80.0,28.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,1,"Last 7 games: 5/27, 1 HR","platoon edge; pitcher baseline 14.3% barrel, 16.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.89,50.6,90.82,102.4184,0.4418,0.2013,0.3295,74.79,48.69,46.97,28.07,11.0,0.1937,14.34,44.41,90.48,0.5486,0.2552,28.67,None,72,loanDepot park,
10,695600,Carter Jensen,KC,TEX,2026-06-11T18:10:00Z,Pre-Game,1,Kumar Rocker,677958,R,62.3,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",53.5,48.0,78.2,93.2,80.0,23.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,26,1,"Last 7 games: 4/26, 1 HR","platoon edge; pitcher baseline 9.3% barrel, 7.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.45,46.12,91.9,102.7456,0.4279,0.1927,0.3231,74.48,42.88,40.58,31.61,6.5,0.1933,9.28,43.79,90.08,0.4423,0.1766,22.44,Out To CF,88,Kauffman Stadium,
11,677951,Bobby Witt Jr.,KC,TEX,2026-06-11T18:10:00Z,Pre-Game,2,Kumar Rocker,677958,R,62.3,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot",59.6,48.0,78.2,100.0,50.0,18.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,0,"Last 7 games: 7/29, 0 HR","same-side matchup; pitcher baseline 9.3% barrel, 7.5 HR allowed",EV profile; pitcher fly-ball pressure modest,13.06,50.67,93.3,103.6868,0.5129,0.2164,0.3783,73.81,41.35,29.05,27.9,13.2,0.1815,9.28,43.79,90.08,0.4423,0.1766,22.44,Out To CF,88,Kauffman Stadium,
