rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,700250,Ben Rice,NYY,LAD,2026-07-17T23:05:00Z,Pre-Game,2,Roki Sasaki,808963,R,74.0,Tier 2,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",64.8,62.3,76.2,100.0,80.0,100.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 12.3% barrel, 15.1 HR allowed",EV profile; pitcher fly-ball pressure modest,15.33,50.15,92.46,102.4808,0.5292,0.2548,0.384,72.84,27.15,46.92,29.41,28.1,0.2972,12.29,45.05,90.39,0.4447,0.2013,29.47,Out To LF,84,Yankee Stadium,
2,660271,Shohei Ohtani,LAD,NYY,2026-07-17T23:05:00Z,Pre-Game,1,Gerrit Cole,543037,R,73.3,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",82.2,42.0,76.2,93.2,80.0,88.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 9.2% barrel, 8.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,19.02,54.29,93.99,104.3157,0.6,0.3134,0.4187,75.03,53.5,47.96,32.9,31.9,0.2812,9.2,40.3,89.5,0.379,0.14,30.8,Out To LF,84,Yankee Stadium,
3,699013,Esmerlyn Valdez,PIT,CLE,2026-07-17T23:10:00Z,Pre-Game,4,Gavin Williams,668909,R,73.2,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",83.7,58.2,67.6,94.9,50.0,74.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 11.0% barrel, 18.8 HR allowed",EV profile; pitcher fly-ball pressure modest,29.8,52.6,92.1,103.9855,0.58,0.34,0.374,74.9,49.2,26.3,42.1,10.0,0.404,11.03,47.31,90.75,0.4246,0.1845,24.39,Out To LF,88,Progressive Field,
4,670541,Yordan Alvarez,HOU,BAL,2026-07-18T00:10:00Z,Pre-Game,2,Dean Kremer,665152,R,72.2,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",85.2,57.9,41.1,100.0,80.0,56.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.1% barrel, 12.9 HR allowed",lift-pull EV profile; pitcher allows elevated contact,17.23,53.11,94.7,105.1405,0.6638,0.3441,0.4497,76.1,61.53,40.95,37.57,23.5,0.2676,11.08,34.89,88.38,0.4781,0.2443,38.69,None,72,Daikin Park,
5,621566,Matt Olson,ATL,TEX,2026-07-17T23:15:00Z,Pre-Game,3,Cal Quantrill,615698,R,68.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",65.4,50.9,70.9,96.6,80.0,69.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 10.8 HR allowed",EV profile; pitcher allows elevated contact,14.05,52.11,93.02,104.0027,0.506,0.2552,0.3586,74.67,48.51,36.67,32.43,26.2,0.2505,10.4,37.09,88.09,0.4659,0.2073,30.69,Out To LF,84,Truist Park,
6,663757,Trent Grisham,NYY,LAD,2026-07-17T23:05:00Z,Pre-Game,1,Roki Sasaki,808963,R,65.2,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",51.0,62.3,76.2,93.2,80.0,34.9,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","platoon edge; pitcher baseline 12.3% barrel, 15.1 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.89,47.1,91.1,101.1158,0.4693,0.2129,0.3602,70.44,8.56,44.86,31.96,17.2,0.1982,12.29,45.05,90.39,0.4447,0.2013,29.47,Out To LF,84,Yankee Stadium,
7,664040,Brandon Lowe,PIT,CLE,2026-07-17T23:10:00Z,Pre-Game,2,Gavin Williams,668909,R,65.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",53.7,58.2,67.6,100.0,80.0,43.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,31,1,"Last 7 games: 9/31, 1 HR","platoon edge; pitcher baseline 11.0% barrel, 18.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.65,45.97,90.96,101.6145,0.464,0.2156,0.3378,73.76,40.61,45.67,33.27,24.0,0.235,11.03,47.31,90.75,0.4246,0.1845,24.39,Out To LF,88,Progressive Field,
8,686948,Drake Baldwin,ATL,TEX,2026-07-17T23:15:00Z,Pre-Game,1,Cal Quantrill,615698,R,64.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",59.4,50.9,70.9,93.2,80.0,25.8,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,0,"Last 7 games: 7/24, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 10.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.01,50.72,91.49,102.423,0.5024,0.2283,0.3712,75.09,54.02,32.71,24.55,16.2,0.1866,10.4,37.09,88.09,0.4659,0.2073,30.69,Out To LF,84,Truist Park,
9,691718,Pete Crow-Armstrong,CHC,MIN,2026-07-18T00:05:00Z,Pre-Game,1,Bailey Ober,641927,R,63.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",52.0,51.6,73.3,88.7,80.0,64.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 18.1 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.42,46.5,89.99,101.7403,0.4743,0.2197,0.3511,74.17,44.25,49.53,34.45,24.0,0.2382,10.06,35.18,88.62,0.4536,0.2091,32.11,Out To LF,87,Wrigley Field,
10,680664,Eduardo Valencia,DET,LAA,2026-07-18T01:38:00Z,Scheduled,6,Reid Detmers,672282,L,62.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge, Hot Hitter/Streak",86.4,37.7,28.2,71.7,78.0,81.7,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,5,10,2,Hot streak: 2 HR in last 4 games,"platoon edge; pitcher baseline 8.1% barrel, 10.2 HR allowed",EV profile; pitcher fly-ball pressure modest,28.6,71.4,92.7,102.418,0.77,0.441,0.486,72.7,17.4,0.0,28.6,2.0,0.6,8.06,39.51,89.89,0.3595,0.1362,27.36,,,Angel Stadium,
11,665019,Kody Clemens,MIN,CHC,2026-07-18T00:05:00Z,Pre-Game,4,Colin Rea,607067,R,62.7,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",53.3,54.9,73.3,94.9,80.0,9.8,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,0,"Last 7 games: 5/27, 0 HR","platoon edge; pitcher baseline 10.4% barrel, 15.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,12.49,46.76,92.27,101.684,0.4566,0.2055,0.3345,71.99,14.31,43.77,32.27,16.9,0.2336,10.44,41.07,89.87,0.4695,0.1959,25.7,Out To LF,87,Wrigley Field,
