rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,699013,Esmerlyn Valdez,PIT,NYY,2026-07-20T23:05:00Z,Pre-Game,4,Ryan Weathers,677960,L,74.2,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",83.7,50.8,65.2,94.9,78.0,87.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,6,Hot streak: 6 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 13.3 HR allowed",EV profile; pitcher fly-ball pressure modest,27.4,54.8,92.9,104.5093,0.54,0.32,0.354,74.9,49.2,27.4,45.2,12.0,0.428,9.95,41.71,89.6,0.4327,0.1848,27.16,R To L,81,Yankee Stadium,
2,656941,Kyle Schwarber,PHI,LAD,2026-07-20T23:10:00Z,Pre-Game,2,Emmet Sheehan,686218,R,71.8,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",81.6,45.6,73.3,100.0,80.0,34.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,1,"Last 7 games: 6/26, 1 HR","platoon edge; pitcher baseline 9.8% barrel, 12.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.68,55.19,93.74,104.6639,0.5376,0.2931,0.3842,77.16,76.26,54.7,34.79,39.9,0.3125,9.82,40.06,89.37,0.3831,0.1612,29.1,Out To LF,82,Citizens Bank Park,
3,695578,James Wood,WSH,COL,2026-07-21T00:40:00Z,Scheduled,1,Kyle Freeland,607536,L,69.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",84.9,61.8,38.7,88.7,50.0,79.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 10.5% barrel, 19.2 HR allowed",EV profile; pitcher fly-ball pressure modest,20.6,59.31,94.93,106.4514,0.5728,0.3016,0.4079,76.56,66.48,30.26,26.62,28.9,0.2645,10.52,44.78,90.96,0.4898,0.1994,29.5,,,Coors Field,
4,805811,Bryce Eldridge,SF,KC,2026-07-20T23:40:00Z,Pre-Game,2,Michael Wacha,608379,R,68.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",74.0,35.1,68.7,100.0,80.0,85.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 14.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.74,59.07,93.43,103.7781,0.51,0.268,0.372,73.11,28.65,42.33,36.91,7.0,0.1721,6.63,35.86,88.13,0.413,0.1605,27.48,Out To CF,96,Kauffman Stadium,
5,660271,Shohei Ohtani,LAD,PHI,2026-07-20T23:10:00Z,Pre-Game,1,Cristopher Sánchez,650911,L,67.1,Tier 3,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot",82.3,35.9,73.3,93.2,50.0,56.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.9% barrel, 12.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.09,54.64,93.85,104.2859,0.5993,0.3127,0.4166,75.1,53.71,47.54,33.04,31.9,0.277,7.87,42.6,89.28,0.3611,0.1312,18.09,Out To LF,82,Citizens Bank Park,
6,670541,Yordan Alvarez,HOU,MIA,2026-07-21T00:10:00Z,Scheduled,2,Janson Junk,676083,R,66.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",84.4,41.0,27.6,95.5,80.0,78.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.2% barrel, 8.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.09,52.9,94.56,105.033,0.6603,0.3406,0.4483,76.1,61.95,40.81,37.43,23.5,0.2669,7.24,42.96,90.27,0.418,0.1599,23.57,,,Daikin Park,
7,808959,Munetaka Murakami,CWS,TEX,2026-07-21T00:05:00Z,Pre-Game,2,Jacob deGrom,594798,R,66.1,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.8,49.8,41.1,100.0,80.0,1.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,23,0,"Last 7 games: 3/23, 0 HR","platoon edge; pitcher baseline 9.0% barrel, 19.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,19.1,58.8,93.9,104.7807,0.497,0.286,0.365,75.3,55.6,44.3,40.5,20.0,0.298,9.02,43.37,90.52,0.3945,0.1665,30.09,None,72,Globe Life Field,
8,700250,Ben Rice,NYY,PIT,2026-07-20T23:05:00Z,Pre-Game,2,Braxton Ashcraft,677952,R,64.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",66.0,30.1,65.2,100.0,80.0,94.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 5.6% barrel, 10.7 HR allowed",EV profile; pitcher fly-ball pressure modest,15.47,50.5,92.6,102.5398,0.5369,0.2597,0.3868,72.91,27.85,46.43,29.69,28.1,0.2937,5.61,40.25,89.61,0.3542,0.1255,25.53,R To L,81,Yankee Stadium,
9,686948,Drake Baldwin,ATL,SD,2026-07-20T23:15:00Z,Pre-Game,1,JP Sears,676664,L,63.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",61.0,55.2,47.4,93.2,50.0,100.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 11.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.29,50.65,91.63,102.4548,0.5185,0.2353,0.3796,75.09,53.81,31.94,24.41,18.3,0.202,8.63,45.07,90.6,0.4621,0.1966,36.25,In From RF,89,Truist Park,
10,621566,Matt Olson,ATL,SD,2026-07-20T23:15:00Z,Pre-Game,3,JP Sears,676664,L,63.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",66.0,55.2,47.4,96.6,50.0,57.6,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.6% barrel, 11.8 HR allowed",EV profile; pitcher allows elevated contact,14.33,52.11,92.95,104.0698,0.5095,0.258,0.3614,74.6,48.16,37.16,32.15,26.9,0.2519,8.63,45.07,90.6,0.4621,0.1966,36.25,In From RF,89,Truist Park,
11,677800,Wilyer Abreu,BOS,BAL,2026-07-20T23:10:00Z,Pre-Game,3,Shane Baz,669358,R,62.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",54.3,41.5,66.2,96.6,80.0,85.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 8.0% barrel, 14.1 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.93,43.29,90.38,101.3185,0.4806,0.2243,0.3469,73.89,38.45,37.48,37.87,17.1,0.2024,8.03,40.8,89.91,0.4,0.1504,24.8,Out To LF,79,Fenway Park,
