rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,695578,James Wood,WSH,ATL,2026-07-31T23:15:00Z,Pre-Game,1,Bryce Elder,693821,R,71.0,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.2,41.5,69.4,93.2,80.0,59.1,Yes,No,1,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 19.8 HR allowed",EV profile; pitcher fly-ball pressure modest,19.83,57.84,94.93,106.3294,0.5658,0.2932,0.4058,76.63,66.78,31.17,26.13,30.3,0.2617,6.68,41.49,90.07,0.4102,0.1568,26.22,Out To LF,89,Truist Park,
2,808959,Munetaka Murakami,CWS,TB,2026-07-31T23:10:00Z,Pre-Game,2,Nick Martinez,607259,R,67.1,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",83.5,32.9,41.1,100.0,80.0,85.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.9% barrel, 14.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.0,59.4,94.1,104.6074,0.516,0.293,0.375,75.0,53.0,43.2,40.0,23.0,0.303,6.86,32.68,87.32,0.4205,0.153,28.4,None,72,Tropicana Field,
3,656941,Kyle Schwarber,PHI,BAL,2026-07-31T23:05:00Z,Pre-Game,2,Brandon Young,687064,R,65.6,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.5,39.1,55.1,100.0,80.0,18.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","platoon edge; pitcher baseline 7.0% barrel, 9.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.77,54.42,93.6,104.5073,0.5243,0.2826,0.3779,77.16,75.28,54.77,34.3,39.9,0.302,7.05,41.92,89.4,0.4061,0.156,26.73,R To L,85,Oriole Park at Camden Yards,
4,670541,Yordan Alvarez,HOU,TEX,2026-08-01T00:15:00Z,Scheduled,2,Nathan Eovaldi,543135,R,65.4,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",85.1,41.0,27.6,95.5,80.0,56.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.2% barrel, 18.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.16,53.46,94.63,105.1563,0.6645,0.3441,0.4504,76.1,61.52,41.72,37.08,26.3,0.2711,8.17,39.69,88.74,0.393,0.1579,25.32,,,Daikin Park,
5,695506,Jac Caglianone,KC,COL,2026-08-01T00:40:00Z,Scheduled,3,Tomoyuki Sugano,608372,R,64.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",59.3,75.6,38.7,92.1,80.0,26.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","platoon edge; pitcher baseline 13.5% barrel, 23.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.96,51.36,91.85,104.8594,0.473,0.215,0.342,77.4,75.46,43.23,22.89,14.0,0.1821,13.48,43.37,90.56,0.5597,0.2532,30.7,,,Coors Field,
6,699013,Esmerlyn Valdez,PIT,CIN,2026-07-31T22:10:00Z,Pre-Game,4,Hunter Greene,668881,R,64.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",79.7,42.5,57.8,94.9,50.0,31.6,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,1,"Last 7 games: 5/24, 1 HR","same-side matchup; pitcher baseline 6.6% barrel, 6.6 HR allowed",EV profile; pitcher fly-ball pressure modest,25.6,51.2,92.4,103.8952,0.534,0.306,0.367,74.7,49.2,34.1,42.7,14.0,0.387,6.62,46.12,90.19,0.4203,0.171,27.7,Calm,80,Great American Ball Park,
7,700250,Ben Rice,NYY,CHC,2026-07-31T18:20:00Z,In Progress,2,Shota Imanaga,684007,L,62.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",66.4,50.9,56.8,100.0,50.0,32.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,1,"Last 7 games: 6/28, 1 HR","same-side matchup; pitcher baseline 10.1% barrel, 24.7 HR allowed",EV profile; pitcher allows elevated contact,15.75,50.99,92.53,102.673,0.5348,0.2597,0.3847,72.84,28.15,46.22,29.55,29.5,0.2853,10.06,38.04,88.88,0.4179,0.187,33.13,R To L,77,Wrigley Field,
8,671277,Luis García Jr.,WSH,ATL,2026-07-31T23:15:00Z,Pre-Game,2,Bryce Elder,693821,R,61.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",50.7,41.5,69.4,100.0,80.0,72.2,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 19.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.45,45.87,91.18,101.7844,0.5015,0.2135,0.3523,73.45,36.26,40.87,22.19,20.9,0.244,6.68,41.49,90.07,0.4102,0.1568,26.22,Out To LF,89,Truist Park,
9,621566,Matt Olson,ATL,WSH,2026-07-31T23:15:00Z,Pre-Game,3,Foster Griffin,656492,L,61.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",65.0,40.2,69.4,96.6,50.0,45.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.2% barrel, 17.0 HR allowed",EV profile; pitcher fly-ball pressure modest,14.33,51.13,92.88,103.8772,0.4997,0.2538,0.3565,74.6,47.89,37.51,32.5,28.3,0.2449,9.2,36.9,87.7,0.401,0.155,24.6,Out To LF,89,Truist Park,
10,660670,Ronald Acuña Jr.,ATL,WSH,2026-07-31T23:15:00Z,Pre-Game,1,Foster Griffin,656492,L,61.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",61.6,40.2,69.4,93.2,78.0,25.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,1,"Last 7 games: 4/24, 1 HR","platoon edge; pitcher baseline 9.2% barrel, 17.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.72,46.69,91.09,102.8826,0.5063,0.2496,0.3844,76.05,63.44,36.16,29.84,11.9,0.1888,9.2,36.9,87.7,0.401,0.155,24.6,Out To LF,89,Truist Park,
11,695600,Carter Jensen,KC,COL,2026-08-01T00:40:00Z,Scheduled,1,Tomoyuki Sugano,608372,R,61.7,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",53.9,75.6,38.7,88.7,80.0,6.0,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,0,"Last 7 games: 4/25, 0 HR","platoon edge; pitcher baseline 13.5% barrel, 23.9 HR allowed",EV profile; pitcher allows elevated contact,12.89,47.87,92.18,102.8101,0.4419,0.1976,0.3322,74.17,39.64,39.74,29.65,10.7,0.2038,13.48,43.37,90.56,0.5597,0.2532,30.7,,,Coors Field,
