rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,808959,Munetaka Murakami,CWS,TB,2026-08-01T20:10:00Z,Pre-Game,2,Drew Rasmussen,656876,R,71.8,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",84.4,29.2,74.6,100.0,80.0,90.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,28,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 6.5% barrel, 13.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.1,60.4,94.3,104.6299,0.521,0.295,0.377,75.0,52.8,42.1,40.9,24.0,0.309,6.51,35.95,88.43,0.3603,0.1292,23.38,Out To RF,84,Tropicana Field,
2,670541,Yordan Alvarez,HOU,TEX,2026-08-01T23:10:00Z,Scheduled,2,Jacob deGrom,594798,R,66.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",84.8,51.1,27.6,95.5,80.0,39.5,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,1,"Last 7 games: 6/23, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 19.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.09,53.46,94.7,105.1645,0.6638,0.342,0.4511,76.1,61.59,41.51,36.87,26.3,0.269,9.09,44.7,90.66,0.398,0.1679,29.95,,,Daikin Park,
3,681715,Heriberto Hernández,MIA,NYM,2026-08-01T20:10:00Z,Pre-Game,2,Zac Thornton,804267,L,65.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",56.7,56.4,69.8,100.0,78.0,36.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.47,49.18,91.6,101.8349,0.4749,0.2278,0.3445,74.28,46.65,44.93,31.39,14.2,0.2189,11.1,44.4,91.3,0.445,0.18,32.1,Out To LF,82,Citi Field,
4,608369,Corey Seager,TEX,HOU,2026-08-01T23:10:00Z,Scheduled,3,Ronel Blanco,669854,R,64.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",61.1,74.5,27.6,92.1,80.0,52.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 17.7% barrel, 4.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.72,47.93,91.71,102.6183,0.4892,0.2427,0.3573,72.01,15.65,42.11,30.22,13.3,0.2013,17.71,42.61,89.82,0.501,0.274,46.17,,,Daikin Park,
5,695578,James Wood,WSH,ATL,2026-08-01T23:15:00Z,Scheduled,1,Reynaldo López,625643,R,64.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",82.6,41.4,30.9,88.7,80.0,57.6,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 7.3 HR allowed",EV profile; pitcher fly-ball pressure modest,19.69,57.63,94.93,106.2524,0.563,0.2911,0.4037,76.63,66.92,31.66,25.92,30.3,0.2596,6.74,40.48,88.57,0.4824,0.1769,28.28,,,Truist Park,
6,669065,Kyle Stowers,MIA,NYM,2026-08-01T20:10:00Z,Pre-Game,6,Zac Thornton,804267,L,64.0,Tier 3,Watch List,"Strong Barrel, Hot Hitter/Streak",62.2,56.4,69.8,76.2,50.0,87.0,Yes,Yes,6,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 11.1% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.48,53.61,91.73,103.3165,0.4712,0.2286,0.3449,75.21,53.83,46.9,30.94,18.7,0.2378,11.1,44.4,91.3,0.445,0.18,32.1,Out To LF,82,Citi Field,
7,656555,Rhys Hoskins,CLE,AZ,2026-08-01T23:15:00Z,Pre-Game,4,Kohl Drake,684442,L,63.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",40.4,87.0,51.6,90.4,78.0,43.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,18,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 17.2% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.98,41.92,89.22,99.7906,0.3512,0.1655,0.3007,71.63,16.57,55.32,31.96,11.3,0.1895,17.2,51.7,90.7,0.622,0.328,48.3,R To L,81,Progressive Field,
8,699013,Esmerlyn Valdez,PIT,CIN,2026-08-01T22:40:00Z,Scheduled,4,Andrew Abbott,671096,L,63.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",79.3,41.1,39.3,90.4,78.0,32.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,23,1,"Last 7 games: 5/23, 1 HR","platoon edge; pitcher baseline 7.7% barrel, 17.6 HR allowed",EV profile; pitcher fly-ball pressure modest,24.7,50.6,92.4,103.5633,0.525,0.302,0.361,74.7,49.3,32.9,44.7,14.0,0.379,7.72,37.41,89.2,0.4116,0.1611,28.0,,,Great American Ball Park,
9,686527,Dominic Canzone,SEA,MIN,2026-08-01T20:10:00Z,Pre-Game,3,Connor Prielipp,687570,L,63.1,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",62.6,43.9,65.4,96.6,50.0,81.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 8.9% barrel, 8.0 HR allowed",EV profile; pitcher fly-ball pressure modest,14.57,48.79,92.37,103.1427,0.5281,0.2458,0.3753,74.22,44.37,41.79,27.07,15.9,0.2391,8.9,40.7,90.3,0.395,0.164,26.5,Out To CF,70,T-Mobile Park,
10,621566,Matt Olson,ATL,WSH,2026-08-01T23:15:00Z,Scheduled,3,Miles Mikolas,571945,R,62.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",65.6,59.1,30.9,92.1,80.0,46.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 24.8 HR allowed",EV profile; pitcher fly-ball pressure modest,14.47,51.34,92.88,103.9131,0.5032,0.2566,0.3579,74.6,47.89,37.79,32.78,29.0,0.2498,10.11,42.01,89.72,0.4997,0.2193,28.07,,,Truist Park,
11,592626,Joc Pederson,TEX,HOU,2026-08-01T23:10:00Z,Scheduled,1,Ronel Blanco,669854,R,62.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",49.3,74.5,27.6,88.7,80.0,94.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,21,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 17.7% barrel, 4.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.97,47.95,91.76,101.9544,0.4434,0.1957,0.3458,72.32,23.38,41.29,28.7,16.7,0.2275,17.71,42.61,89.82,0.501,0.274,46.17,,,Daikin Park,
