rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,621566,Matt Olson,ATL,NYY,2026-08-08T19:05:00Z,Pre-Game,3,Gerrit Cole,543037,R,71.7,Tier 2,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",67.3,46.3,85.7,96.6,80.0,97.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 11.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.17,51.34,92.81,103.9134,0.5137,0.2636,0.3635,74.53,47.47,38.21,32.5,31.8,0.2624,9.5,42.6,90.1,0.376,0.144,32.8,Out To LF,91,Yankee Stadium,
2,808959,Munetaka Murakami,CWS,CLE,2026-08-08T23:15:00Z,Scheduled,2,Gavin Williams,668909,R,67.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",81.5,56.6,27.6,95.5,80.0,48.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 21.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.9,59.1,94.0,104.6544,0.499,0.281,0.362,74.8,50.9,42.7,39.8,25.0,0.295,10.75,47.52,90.54,0.4071,0.1768,25.79,,,Rate Field,
3,660670,Ronald Acuña Jr.,ATL,NYY,2026-08-08T19:05:00Z,Pre-Game,2,Gerrit Cole,543037,R,66.5,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",61.2,46.3,85.7,100.0,50.0,77.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,30,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.5% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.58,47.81,90.95,102.8497,0.507,0.2475,0.3823,75.98,62.95,36.79,28.65,14.0,0.2,9.5,42.6,90.1,0.376,0.144,32.8,Out To LF,91,Yankee Stadium,
4,660271,Shohei Ohtani,LAD,AZ,2026-08-09T00:10:00Z,Scheduled,1,Brandon Pfaadt,694297,R,65.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",81.2,43.9,28.2,88.7,80.0,94.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 13.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.74,54.57,93.85,104.4492,0.6,0.3078,0.4166,74.96,52.59,46.91,32.55,34.7,0.2812,9.01,39.29,89.54,0.4198,0.1666,22.29,,,Chase Field,
5,686948,Drake Baldwin,ATL,NYY,2026-08-08T19:05:00Z,Pre-Game,1,Gerrit Cole,543037,R,63.9,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",57.8,46.3,85.7,93.2,80.0,13.0,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,0,"Last 7 games: 6/29, 0 HR","platoon edge; pitcher baseline 9.5% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.17,50.65,91.63,102.3373,0.501,0.2227,0.3719,75.09,54.06,31.1,24.2,19.7,0.1887,9.5,42.6,90.1,0.376,0.144,32.8,Out To LF,91,Yankee Stadium,
6,670541,Yordan Alvarez,HOU,SD,2026-08-08T23:15:00Z,Scheduled,2,Michael King,650633,R,63.7,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",83.4,41.4,22.6,95.5,80.0,45.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,0,Contact streak: 11/26 over last 7 games,"platoon edge; pitcher baseline 9.4% barrel, 13.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.81,53.39,94.49,105.0853,0.654,0.3336,0.4476,76.1,61.73,42.14,36.17,26.3,0.2634,9.44,34.74,87.59,0.4144,0.1737,27.33,,,Petco Park,
7,699013,Esmerlyn Valdez,PIT,NYM,2026-08-08T22:40:00Z,Scheduled,4,Robert Stock,476594,R,63.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",74.9,75.2,24.3,90.4,50.0,0.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,18,0,"Last 7 games: 0/18, 0 HR","same-side matchup; pitcher baseline 13.0% barrel, 1.0 HR allowed",fly-ball profile; pitcher allows elevated contact,23.6,49.4,91.7,103.1819,0.48,0.275,0.352,74.7,49.5,32.6,46.1,14.0,0.342,13.01,45.03,89.33,0.6059,0.2936,36.99,,,PNC Park,
8,656941,Kyle Schwarber,PHI,TOR,2026-08-08T22:05:00Z,Scheduled,1,Max Scherzer,453286,R,63.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",76.1,55.5,34.3,88.7,80.0,0.8,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","platoon edge; pitcher baseline 11.3% barrel, 12.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.14,54.35,93.53,104.5506,0.5124,0.2728,0.3751,77.09,75.07,54.56,33.11,39.9,0.2915,11.35,38.48,88.65,0.4722,0.2146,29.12,,,Citizens Bank Park,
9,671739,Michael Harris II,ATL,NYY,2026-08-08T19:05:00Z,Pre-Game,4,Gerrit Cole,543037,R,62.9,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",48.7,46.3,85.7,94.9,80.0,48.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,1,Contact streak: 8/25 over last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 11.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.85,47.74,90.76,103.4691,0.4786,0.1921,0.3416,74.79,48.1,35.66,22.77,20.0,0.1922,9.5,42.6,90.1,0.376,0.144,32.8,Out To LF,91,Yankee Stadium,
10,694673,Abimelec Ortiz,WSH,CIN,2026-08-08T22:45:00Z,Scheduled,2,Chase Burns,695505,R,62.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.2,39.5,28.2,95.5,80.0,30.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,6,3,15,1,"Last 6 games: 3/15, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 10.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,18.2,45.5,91.1,100.3236,0.602,0.337,0.383,75.9,63.3,54.5,54.5,1.0,0.267,8.73,39.54,89.43,0.3532,0.1432,29.29,,,Nationals Park,
11,575929,Willson Contreras,BOS,ATH,2026-08-08T20:10:00Z,Pre-Game,4,Gage Jump,695611,L,61.6,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",60.3,32.3,74.7,94.9,78.0,47.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,1,"Last 7 games: 6/19, 1 HR","platoon edge; pitcher baseline 5.5% barrel, 7.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.39,46.97,90.67,103.1386,0.5048,0.2408,0.3797,76.77,68.87,44.42,29.47,22.1,0.2334,5.5,42.0,90.0,0.383,0.131,26.0,Out To RF,88,Fenway Park,
