rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,691718,Pete Crow-Armstrong,CHC,WSH,2026-08-11T22:45:00Z,Pre-Game,1,Jake Irvin,663623,R,66.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",54.1,66.8,55.7,93.2,80.0,70.4,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 12.8% barrel, 18.4 HR allowed",fly-ball profile; pitcher allows elevated contact,12.54,47.06,90.06,101.6338,0.4729,0.2211,0.3518,74.1,43.13,49.67,35.29,27.5,0.2508,12.84,44.72,89.49,0.4798,0.2232,31.33,L To R,86,Nationals Park,
2,656941,Kyle Schwarber,PHI,STL,2026-08-11T23:45:00Z,Pre-Game,1,Andre Pallante,669467,R,65.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",77.9,27.0,67.6,93.2,80.0,66.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.8% barrel, 13.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.63,54.28,93.46,104.5536,0.525,0.2826,0.3814,77.16,75.14,54.77,33.53,41.3,0.2985,5.83,35.84,88.08,0.3796,0.1321,17.82,Out To CF,95,Busch Stadium,
3,545361,Mike Trout,LAA,TEX,2026-08-12T01:38:00Z,Pre-Game,2,Cody Bradford,674003,L,64.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",64.3,44.2,67.2,100.0,78.0,37.4,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.7% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,16.78,48.25,90.48,103.2314,0.5006,0.2509,0.3804,74.7,49.1,38.19,33.1,21.8,0.2098,7.7,46.2,92.1,0.332,0.126,46.2,Out To CF,80,Angel Stadium,
4,700250,Ben Rice,NYY,SEA,2026-08-11T23:05:00Z,Pre-Game,2,Bryan Woo,693433,R,64.7,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",65.1,41.2,75.2,100.0,80.0,18.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,25,1,"Last 7 games: 2/25, 1 HR","platoon edge; pitcher baseline 7.6% barrel, 16.9 HR allowed",EV profile; pitcher fly-ball pressure modest,15.54,50.29,92.39,102.5335,0.5243,0.2548,0.3791,72.91,28.15,46.36,29.97,30.2,0.2748,7.56,42.43,89.38,0.3828,0.1499,28.27,Out To LF,82,Yankee Stadium,
5,691406,Junior Caminero,TB,ATH,2026-08-12T01:40:00Z,Pre-Game,4,Mason Barnett,686930,R,64.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot",64.5,47.1,76.4,90.4,50.0,68.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 10.1% barrel, 6.5 HR allowed",EV profile; pitcher allows elevated contact,13.86,50.98,92.89,105.3473,0.5087,0.2411,0.3649,79.41,85.6,45.66,23.7,37.3,0.2717,10.1,39.56,89.2,0.4004,0.1726,33.23,Out To CF,91,Sutter Health Park,
6,808959,Munetaka Murakami,CWS,CIN,2026-08-11T23:40:00Z,Pre-Game,2,Nick Lodolo,666157,L,64.5,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",82.4,44.4,39.6,100.0,50.0,44.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.1% barrel, 12.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,20.6,58.9,94.1,104.714,0.505,0.287,0.365,74.8,50.6,42.3,40.0,26.0,0.302,8.13,38.96,89.92,0.4426,0.1708,25.91,In From LF,78,Rate Field,
7,687605,Andrew Pinckney,WSH,CHC,2026-08-11T22:45:00Z,Pre-Game,9,Shota Imanaga,684007,L,64.3,Tier 3,Watch List,"Elite Power, Strong Barrel, Platoon Edge",82.2,51.5,55.7,44.8,78.0,63.3,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,3,1,2,1,Contact streak: 1/2 over last 3 games,"platoon edge; pitcher baseline 10.0% barrel, 26.8 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,50.0,50.0,91.9,109.315,1.236,0.761,0.719,77.6,66.7,50.0,0.0,1.0,1.5,9.99,37.83,89.02,0.4249,0.1898,33.62,L To R,86,Nationals Park,
8,682998,Corbin Carroll,AZ,COL,2026-08-12T01:40:00Z,Pre-Game,2,Tomoyuki Sugano,608372,R,64.3,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",56.1,73.9,41.7,100.0,80.0,10.8,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","platoon edge; pitcher baseline 13.2% barrel, 25.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.61,49.13,91.75,102.4859,0.4653,0.2131,0.351,75.23,54.82,43.87,30.46,20.5,0.2421,13.2,42.67,90.56,0.5555,0.2497,30.21,None,72,Chase Field,
9,670541,Yordan Alvarez,HOU,SF,2026-08-12T01:45:00Z,Scheduled,2,Carson Whisenhunt,687931,L,64.0,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",83.1,62.9,19.3,95.5,50.0,14.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","same-side matchup; pitcher baseline 10.8% barrel, 4.6 HR allowed",lift-pull EV profile; pitcher allows elevated contact,16.81,53.53,94.56,105.1407,0.6463,0.3287,0.4427,76.1,61.52,41.86,36.24,26.3,0.2592,10.75,48.6,90.72,0.5044,0.2242,30.32,,,Oracle Park,
10,624413,Pete Alonso,BAL,MIN,2026-08-11T23:40:00Z,Pre-Game,2,Bailey Ober,641927,R,63.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",71.9,50.6,39.6,100.0,50.0,59.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.1% barrel, 18.8 HR allowed",EV profile; pitcher allows elevated contact,15.4,55.52,93.92,104.1686,0.5433,0.2682,0.3853,74.78,49.21,35.87,31.3,28.9,0.2282,10.06,34.9,88.62,0.4501,0.2,31.06,In From LF,85,Target Field,
11,621566,Matt Olson,ATL,NYM,2026-08-11T23:15:00Z,Pre-Game,3,Nolan McLean,690997,R,62.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",67.2,30.2,58.4,96.6,80.0,75.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.3% barrel, 11.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.24,51.41,92.88,103.9013,0.5088,0.2608,0.3607,74.53,47.47,38.21,32.57,32.5,0.2617,7.3,38.22,88.24,0.3514,0.1285,21.14,R To L,86,Truist Park,
12,660271,Shohei Ohtani,LAD,KC,2026-08-12T02:10:00Z,Scheduled,1,Michael Wacha,608379,R,62.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",80.6,37.1,27.6,88.7,80.0,66.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 16.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.67,54.22,93.85,104.3589,0.5944,0.305,0.4131,74.96,52.45,47.05,32.41,34.7,0.277,6.84,36.28,88.2,0.4158,0.164,28.46,,,UNIQLO Field at Dodger Stadium,
13,683737,Michael Busch,CHC,WSH,2026-08-11T22:45:00Z,Pre-Game,3,Jake Irvin,663623,R,62.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",44.8,66.8,55.7,96.6,80.0,52.1,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,1,Contact streak: 10/29 over last 7 games,"platoon edge; pitcher baseline 12.8% barrel, 18.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.64,41.77,89.4,99.6519,0.45,0.2062,0.3486,68.83,5.57,40.42,34.48,20.0,0.1815,12.84,44.72,89.49,0.4798,0.2232,31.33,L To R,86,Nationals Park,
14,608369,Corey Seager,TEX,LAA,2026-08-12T01:38:00Z,Pre-Game,3,Ryan Johnson,696270,R,62.5,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",58.9,46.8,67.2,92.1,80.0,33.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 10.0% barrel, 10.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.39,48.21,91.78,102.5152,0.4836,0.2364,0.3538,71.94,15.51,41.48,31.41,14.0,0.1922,9.97,36.07,87.26,0.4535,0.191,32.55,Out To CF,80,Angel Stadium,
15,666018,Jonathan Aranda,TB,ATH,2026-08-12T01:40:00Z,Pre-Game,2,Mason Barnett,686930,R,62.4,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",48.8,47.1,76.4,95.5,80.0,58.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,31,1,Contact streak: 12/31 over last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 6.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.8,48.06,91.53,101.3732,0.4709,0.1974,0.3638,70.15,12.2,31.38,30.34,14.7,0.1555,10.1,39.56,89.2,0.4004,0.1726,33.23,Out To CF,91,Sutter Health Park,
16,677594,Julio Rodríguez,SEA,NYY,2026-08-11T23:05:00Z,Pre-Game,3,Ryan Weathers,677960,L,62.1,Tier 3,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",46.3,47.3,75.2,96.6,78.0,72.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.0% barrel, 14.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.1,44.43,90.47,102.7754,0.4727,0.1971,0.3489,76.61,67.06,38.21,26.19,22.2,0.1783,8.97,42.2,89.74,0.4243,0.175,25.2,Out To LF,82,Yankee Stadium,
17,607043,Brandon Nimmo,TEX,LAA,2026-08-12T01:38:00Z,Pre-Game,4,Ryan Johnson,696270,R,61.7,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",50.9,46.8,67.2,90.4,80.0,74.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.0% barrel, 10.3 HR allowed",EV profile; pitcher allows elevated contact,10.48,51.32,92.04,102.2003,0.4785,0.1978,0.3574,72.2,27.04,32.19,26.19,16.6,0.1726,9.97,36.07,87.26,0.4535,0.191,32.55,Out To CF,80,Angel Stadium,
18,606466,Ketel Marte,AZ,COL,2026-08-12T01:40:00Z,Pre-Game,4,Tomoyuki Sugano,608372,R,61.3,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",49.5,72.6,41.7,94.9,75.0,26.4,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","switch hitter; pitcher baseline 13.2% barrel, 25.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.19,43.92,90.31,102.2635,0.4885,0.2084,0.3613,74.67,45.58,49.47,27.92,22.4,0.206,13.2,42.67,90.56,0.5555,0.2497,30.21,None,72,Chase Field,
19,641343,Jake Bauers,MIL,SD,2026-08-12T01:40:00Z,Pre-Game,3,Walker Buehler,621111,R,60.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",61.5,43.8,45.6,92.1,80.0,62.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 16.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,13.91,51.2,92.47,103.1955,0.4731,0.2216,0.3638,76.64,71.61,41.11,30.54,16.8,0.2137,8.8,39.83,89.23,0.4185,0.1617,23.37,L To R,75,Petco Park,
