rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,665833,Oneil Cruz,PIT,DET,2026-08-19T16:35:00Z,In Progress,5,Jackson Jobe,695549,R,73.2,Tier 2,Watch List,"Elite Power, Strong Barrel, Pitcher Vulnerable, Platoon Edge",75.2,70.1,62.8,86.4,80.0,56.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,16,1,Contact streak: 6/16 over last 7 games,"platoon edge; pitcher baseline 13.4% barrel, 3.5 HR allowed",EV profile; pitcher fly-ball pressure modest,17.44,58.63,96.01,107.1536,0.4775,0.2329,0.3499,78.52,77.22,40.09,24.92,16.5,0.2053,13.39,46.66,90.43,0.5304,0.2436,29.12,Out To LF,75,PNC Park,
2,695491,Joshua Baez,STL,CIN,2026-08-19T22:40:00Z,Pre-Game,5,Chase Burns,695505,R,68.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel",97.7,37.2,57.3,81.9,50.0,58.4,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,5,3,21,3,Hot streak: 3 HR in last 5 games,"same-side matchup; pitcher baseline 8.1% barrel, 10.6 HR allowed",EV profile; pitcher fly-ball pressure modest,26.7,60.0,96.8,104.0009,0.649,0.401,0.371,78.9,84.6,33.3,46.7,3.0,0.428,8.1,39.4,89.5,0.3462,0.1383,28.94,R To L,75,Great American Ball Park,
3,699013,Esmerlyn Valdez,PIT,DET,2026-08-19T16:35:00Z,In Progress,4,Jackson Jobe,695549,R,68.3,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot",70.6,70.1,62.8,94.9,50.0,19.5,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,0,"Last 7 games: 7/28, 0 HR","same-side matchup; pitcher baseline 13.4% barrel, 3.5 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,20.5,48.2,91.7,102.6232,0.448,0.244,0.339,74.8,51.8,36.6,42.9,14.0,0.292,13.39,46.66,90.43,0.5304,0.2436,29.12,Out To LF,75,PNC Park,
4,660271,Shohei Ohtani,LAD,COL,2026-08-20T00:40:00Z,Scheduled,1,Kyle Freeland,607536,L,68.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",81.8,59.0,38.7,88.7,50.0,88.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 10.2% barrel, 22.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.81,54.36,93.92,104.5062,0.6042,0.3134,0.4152,74.96,52.94,46.63,32.41,37.5,0.2868,10.24,44.08,90.47,0.4779,0.1952,28.52,,,Coors Field,
5,665052,Griffin Conine,MIA,PHI,2026-08-19T22:05:00Z,Pre-Game,4,Aaron Nola,605400,R,67.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",64.5,49.5,74.8,90.4,80.0,73.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,19,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.5% barrel, 26.4 HR allowed",EV profile; pitcher fly-ball pressure modest,16.34,52.58,92.09,103.9197,0.4992,0.2376,0.3643,74.33,44.6,41.76,24.25,10.4,0.2483,9.52,42.11,88.91,0.4212,0.1759,27.67,Out To RF,85,Citizens Bank Park,
6,656941,Kyle Schwarber,PHI,MIA,2026-08-19T22:05:00Z,Pre-Game,1,Sandy Alcantara,645261,R,67.6,Tier 3,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",77.2,34.1,74.8,93.2,80.0,48.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.4% barrel, 18.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.49,54.21,93.39,104.341,0.518,0.2798,0.3751,77.16,75.14,54.77,33.88,42.7,0.2957,6.36,38.35,89.09,0.3863,0.1358,23.96,Out To RF,85,Citizens Bank Park,
7,694673,Abimelec Ortiz,WSH,TEX,2026-08-20T00:05:00Z,Scheduled,2,Kumar Rocker,677958,R,66.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",80.8,47.5,27.6,95.5,80.0,79.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 14.5 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,18.2,48.5,91.9,101.6985,0.631,0.354,0.386,76.1,67.1,54.5,36.4,5.0,0.372,8.79,42.74,89.52,0.4413,0.178,23.56,,,Globe Life Field,
8,664040,Brandon Lowe,PIT,DET,2026-08-19T16:35:00Z,In Progress,2,Jackson Jobe,695549,R,66.7,Tier 3,Watch List,"Strong Barrel, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",52.5,70.1,62.8,100.0,80.0,37.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","platoon edge; pitcher baseline 13.4% barrel, 3.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.44,46.53,91.17,101.4802,0.45,0.2044,0.3294,73.66,40.02,46.65,32.92,27.5,0.2224,13.39,46.66,90.43,0.5304,0.2436,29.12,Out To LF,75,PNC Park,
9,808959,Munetaka Murakami,CWS,CHC,2026-08-19T18:20:00Z,In Progress,2,Clay Holmes,605280,R,66.0,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",84.1,30.5,42.3,100.0,80.0,67.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 5.5% barrel, 7.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,21.5,60.2,94.2,104.8227,0.517,0.298,0.373,74.8,50.4,40.8,39.8,29.0,0.311,5.47,43.28,89.84,0.3786,0.1269,20.02,In From CF,75,Wrigley Field,
10,814430,Brett Callahan,DET,PIT,2026-08-19T16:35:00Z,In Progress,5,Paul Skenes,694973,R,63.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Platoon Edge",75.9,30.9,62.8,86.4,80.0,54.9,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,4,4,11,1,Contact streak: 4/11 over last 4 games,"platoon edge; pitcher baseline 7.1% barrel, 13.1 HR allowed",EV profile; pitcher fly-ball pressure modest,14.3,57.1,93.0,102.5626,0.791,0.377,0.51,73.4,50.0,42.9,14.3,1.0,0.556,7.06,39.82,88.3,0.335,0.1267,24.13,Out To LF,75,PNC Park,
11,701398,Sal Stewart,CIN,STL,2026-08-19T22:40:00Z,Pre-Game,2,Matthew Liberatore,669461,L,63.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",59.2,51.8,57.3,100.0,78.0,44.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","platoon edge; pitcher baseline 9.1% barrel, 19.7 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.61,42.56,91.69,101.3205,0.5159,0.2526,0.3618,72.24,27.07,38.99,32.37,19.7,0.2361,9.13,41.38,90.32,0.4461,0.178,28.38,R To L,75,Great American Ball Park,
