rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,805811,Bryce Eldridge,SF,ATL,2026-08-31T22:05:00Z,Pre-Game,3,Bryce Elder,693821,R,67.5,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",69.7,40.9,72.4,96.6,80.0,61.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,27,1,Contact streak: 11/27 over last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 22.6 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.83,57.32,93.43,103.3383,0.4806,0.2491,0.3573,73.0,28.57,38.41,37.54,10.5,0.1546,6.68,40.93,89.93,0.4102,0.1547,26.22,Out To RF,91,Truist Park,
2,646240,Rafael Devers,SF,ATL,2026-08-31T22:05:00Z,Pre-Game,2,Bryce Elder,693821,R,66.2,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",58.4,40.9,72.4,100.0,80.0,100.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.7% barrel, 22.6 HR allowed",EV profile; pitcher fly-ball pressure modest,12.57,52.18,93.01,103.1508,0.4618,0.2252,0.3411,71.81,20.44,33.91,33.46,30.8,0.2319,6.68,40.93,89.93,0.4102,0.1547,26.22,Out To RF,91,Truist Park,
3,621566,Matt Olson,ATL,SF,2026-08-31T22:05:00Z,Pre-Game,3,Anthony Molina,683627,R,65.9,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",67.3,46.4,72.4,92.1,80.0,32.5,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,1,"Last 7 games: 6/28, 1 HR","platoon edge; pitcher baseline 8.0% barrel, 4.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.1,51.34,92.88,103.8581,0.513,0.2629,0.3614,74.53,47.89,38.49,33.27,34.6,0.2519,8.02,39.51,87.42,0.5199,0.2161,29.16,Out To RF,91,Truist Park,
4,624413,Pete Alonso,BAL,COL,2026-09-01T00:40:00Z,Scheduled,2,Tanner Gordon,685299,R,64.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",72.8,60.4,38.7,95.5,50.0,52.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.2% barrel, 16.7 HR allowed",EV profile; pitcher allows elevated contact,15.4,56.29,93.99,104.2624,0.5538,0.2724,0.3902,74.78,48.79,36.08,30.6,33.8,0.2387,10.24,42.25,90.8,0.4789,0.2097,33.88,,,Coors Field,
5,686948,Drake Baldwin,ATL,SF,2026-08-31T22:05:00Z,Pre-Game,1,Anthony Molina,683627,R,63.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",56.5,46.4,72.4,88.7,80.0,60.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,30,1,Contact streak: 12/30 over last 7 games,"platoon edge; pitcher baseline 8.0% barrel, 4.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.33,51.14,91.77,102.3639,0.4919,0.2164,0.3649,75.3,56.51,32.5,25.04,21.1,0.1817,8.02,39.51,87.42,0.5199,0.2161,29.16,Out To RF,91,Truist Park,
6,656941,Kyle Schwarber,PHI,AZ,2026-09-01T01:40:00Z,Scheduled,1,Brandon Pfaadt,694297,R,61.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",76.1,42.1,28.2,88.7,80.0,53.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,30,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 16.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.35,53.09,93.04,104.2437,0.5222,0.2805,0.3765,77.16,75.49,53.93,33.25,44.8,0.295,8.59,37.89,89.05,0.4177,0.1638,23.41,,,Chase Field,
7,660670,Ronald Acuna,ATL,SF,2026-08-31T22:05:00Z,Pre-Game,2,Anthony Molina,683627,R,60.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Premium Lineup Spot",58.3,46.4,72.4,95.5,50.0,30.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,0,Contact streak: 8/25 over last 7 games,"same-side matchup; pitcher baseline 8.0% barrel, 4.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.74,47.46,90.95,103.0299,0.4923,0.2342,0.3739,76.12,63.16,36.3,27.32,15.4,0.1874,8.02,39.51,87.42,0.5199,0.2161,29.16,Out To RF,91,Truist Park,
8,670541,Yordan Alvarez,HOU,CWS,2026-09-01T00:10:00Z,Scheduled,2,Anthony Kay,641743,L,60.5,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",80.3,41.2,27.6,95.5,50.0,42.3,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,1,"Last 7 games: 7/25, 1 HR","same-side matchup; pitcher baseline 8.6% barrel, 18.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.9,53.39,94.56,104.9952,0.6288,0.3154,0.435,76.17,61.87,40.81,36.66,27.7,0.2501,8.6,39.7,88.4,0.413,0.154,22.1,,,Daikin Park,
9,665019,Kody Clemens,MIN,DET,2026-08-31T23:40:00Z,Pre-Game,3,Jackson Jobe,695549,R,60.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",53.3,43.3,67.1,96.6,80.0,29.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","platoon edge; pitcher baseline 9.2% barrel, 3.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,11.93,47.18,92.13,101.5416,0.4615,0.2118,0.3331,72.06,14.56,46.01,33.46,21.1,0.2224,9.19,41.48,88.61,0.4394,0.1764,22.68,Out To RF,86,Target Field,
10,813841,Jonah Cox,SF,ATL,2026-08-31T22:05:00Z,Pre-Game,4,Bryce Elder,693821,R,59.0,Longshot,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",50.2,40.9,72.4,94.9,50.0,78.7,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,15,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.7% barrel, 22.6 HR allowed",EV profile; pitcher fly-ball pressure modest,12.9,45.2,92.0,100.4072,0.396,0.189,0.276,69.2,7.5,12.9,41.9,3.0,0.241,6.68,40.93,89.93,0.4102,0.1547,26.22,Out To RF,91,Truist Park,
11,671739,Michael Harris,ATL,SF,2026-08-31T22:05:00Z,Pre-Game,5,Anthony Molina,683627,R,58.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Good Environment, Platoon Edge",45.4,46.4,72.4,81.9,80.0,64.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.0% barrel, 4.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.08,46.83,90.34,103.2093,0.4646,0.1823,0.3339,74.72,47.26,36.64,22.14,21.4,0.1887,8.02,39.51,87.42,0.5199,0.2161,29.16,Out To RF,91,Truist Park,
