rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,HOU,CWS,2026-09-03T18:10:00Z,In Progress,2,Luis Castillo,622491,R,68.8,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",79.6,55.0,41.6,100.0,80.0,37.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,20,1,"Last 7 games: 5/20, 1 HR","platoon edge; pitcher baseline 9.8% barrel, 23.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.69,53.46,94.56,104.9569,0.6239,0.3119,0.4336,76.17,61.94,41.02,36.31,27.7,0.248,9.84,43.67,90.09,0.4474,0.1835,28.63,None,73,Daikin Park,
2,703155,Lazaro Montes,SEA,ATH,2026-09-04T01:40:00Z,Scheduled,7,Jack Perkins,678022,R,63.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Platoon Edge",93.7,40.3,25.4,59.8,80.0,63.3,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,1,2,4,1,Contact streak: 2/4 over last 1 games,"platoon edge; pitcher baseline 9.0% barrel, 13.8 HR allowed",EV profile; pitcher allows elevated contact,33.3,66.7,96.8,102.353,0.988,0.681,0.568,76.5,55.6,33.3,33.3,1.0,0.75,9.04,36.79,87.87,0.3741,0.1489,34.45,,,T-Mobile Park,
3,805811,Bryce Eldridge,SF,PIT,2026-09-03T16:35:00Z,In Progress,3,Lake Bachar,669199,R,62.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",69.1,44.7,36.8,96.6,80.0,55.9,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,1,Contact streak: 10/27 over last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 12.1 HR allowed",EV profile; pitcher allows elevated contact,15.76,57.11,93.43,103.3026,0.4813,0.2463,0.3594,72.93,28.15,37.71,36.77,10.5,0.1525,9.3,36.74,89.32,0.385,0.1773,32.9,In From CF,77,PNC Park,
4,646240,Rafael Devers,SF,PIT,2026-09-03T16:35:00Z,In Progress,2,Lake Bachar,669199,R,61.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.9,44.7,36.8,100.0,80.0,87.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 12.1 HR allowed",EV profile; pitcher allows elevated contact,12.92,52.39,93.08,103.2245,0.4709,0.2322,0.3467,71.81,20.44,33.98,33.88,32.9,0.241,9.3,36.74,89.32,0.385,0.1773,32.9,In From CF,77,PNC Park,
5,808959,Munetaka Murakami,CWS,HOU,2026-09-03T18:10:00Z,In Progress,2,Hunter Brown,686613,R,58.7,Longshot,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.2,22.3,41.6,100.0,80.0,2.5,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,22,0,"Last 7 games: 3/22, 0 HR","platoon edge; pitcher baseline 6.2% barrel, 12.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.6,57.1,93.9,104.4472,0.478,0.267,0.358,74.8,51.0,44.7,38.4,29.0,0.272,6.18,35.84,85.96,0.332,0.1255,22.6,None,73,Daikin Park,
6,665833,Oneil Cruz,PIT,SF,2026-09-03T16:35:00Z,In Progress,5,Blade Tidwell,694918,R,58.4,Longshot,Watch List,"Strong Barrel, Platoon Edge",72.5,32.5,36.8,86.4,80.0,37.6,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,0,Contact streak: 10/27 over last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 4.7 HR allowed",EV profile; pitcher fly-ball pressure modest,17.44,56.18,95.45,106.8444,0.4677,0.2273,0.345,78.31,76.38,39.67,24.5,17.9,0.2032,8.61,33.28,87.64,0.3877,0.1432,25.3,In From CF,77,PNC Park,
7,695491,Joshua Baez,STL,LAD,2026-09-04T02:10:00Z,Scheduled,5,Tarik Skubal,669373,L,57.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",73.3,28.7,27.6,81.9,78.0,66.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.8% barrel, 13.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,16.2,51.4,93.4,102.3025,0.484,0.278,0.316,77.9,76.6,43.2,40.5,6.0,0.373,7.75,35.17,86.87,0.3405,0.1205,25.9,,,UNIQLO Field at Dodger Stadium,
8,691406,Junior Caminero,TB,TEX,2026-09-04T00:05:00Z,Scheduled,3,Cal Quantrill,615698,R,56.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",61.7,48.0,27.6,92.1,50.0,66.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.1% barrel, 14.3 HR allowed",EV profile; pitcher fly-ball pressure modest,13.16,50.35,92.75,105.1956,0.4961,0.2285,0.3579,79.34,84.41,45.8,23.49,39.4,0.2563,9.14,38.28,89.28,0.4435,0.1877,28.8,,,Globe Life Field,
9,669065,Kyle Stowers,MIA,KC,2026-09-03T23:40:00Z,Scheduled,1,Michael Wacha,608379,R,56.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",63.2,38.0,23.2,88.7,80.0,68.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.0% barrel, 19.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.55,54.59,92.01,103.3796,0.4705,0.2279,0.3449,75.28,54.81,45.64,32.06,20.1,0.2329,6.98,36.07,88.13,0.4123,0.1633,29.09,,,Kauffman Stadium,
10,660821,Jesús Sánchez,TOR,CLE,2026-09-03T17:10:00Z,In Progress,4,Tanner Bibee,676440,R,56.2,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",46.5,43.3,59.1,94.9,80.0,22.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,11,0,"Last 7 games: 3/11, 0 HR","platoon edge; pitcher baseline 8.1% barrel, 26.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.17,45.22,90.95,102.0121,0.4354,0.1811,0.3272,74.26,47.96,34.17,25.07,9.8,0.1601,8.1,38.91,89.06,0.4088,0.1653,28.04,L To R,88,Progressive Field,
11,691718,Pete Crow-Armstrong,CHC,MIL,2026-09-03T23:15:00Z,Scheduled,1,Logan Henderson,701656,R,56.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",56.2,37.2,29.8,88.7,80.0,88.6,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,32,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 8.6% barrel, 8.6 HR allowed",fly-ball profile; pitcher allows elevated contact,13.03,46.57,89.99,101.6153,0.4876,0.2351,0.3532,74.24,44.32,49.88,35.64,35.9,0.2718,8.6,36.72,88.66,0.3569,0.1456,31.91,,,Wrigley Field,
