rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,695491,Joshua Baez,STL,COL,2026-09-06T00:10:00Z,Pre-Game,5,Mason Adams,690279,R,66.8,Tier 3,Watch List,"Projected Lineup, Strong Barrel",66.6,69.3,58.7,81.9,50.0,68.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,21,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 13.0% barrel, 2.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.3,52.4,93.2,102.6574,0.454,0.251,0.308,77.5,73.6,45.2,35.7,6.0,0.333,13.0,47.8,91.3,0.462,0.232,39.1,In From CF,90,Coors Field,
2,665742,Juan Soto,NYM,SF,2026-09-05T20:10:00Z,Pre-Game,2,Anthony Molina,683627,R,66.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",71.8,47.0,52.3,100.0,80.0,47.2,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.0% barrel, 5.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,15.54,50.68,92.96,103.0278,0.5933,0.3014,0.422,72.69,32.12,39.11,32.82,29.0,0.2592,8.02,39.51,87.49,0.4975,0.2112,35.39,L To R,80,Citi Field,
3,699013,Esmerlyn Valdez,PIT,LAA,2026-09-05T22:40:00Z,Pre-Game,2,Yusei Kikuchi,579328,L,65.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",68.7,54.4,47.3,100.0,78.0,40.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 12.1 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,19.8,48.4,91.6,102.6161,0.433,0.236,0.328,74.8,51.3,37.3,40.5,16.0,0.279,9.75,44.72,91.14,0.4532,0.1906,24.31,L To R,77,PNC Park,
4,808959,Munetaka Murakami,CWS,MIN,2026-09-05T23:10:00Z,Pre-Game,2,Taj Bradley,671737,R,65.9,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",77.1,47.9,55.6,95.5,80.0,0.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,24,0,"Last 7 games: 1/24, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 20.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.3,57.0,93.9,104.4132,0.469,0.262,0.352,74.8,51.3,44.8,38.6,29.0,0.265,8.8,43.33,90.32,0.3864,0.1578,29.19,L To R,75,Rate Field,
5,670541,Yordan Alvarez,HOU,AZ,2026-09-05T23:15:00Z,Pre-Game,2,Brandon Pfaadt,694297,R,65.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",79.0,42.5,41.1,95.5,80.0,46.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 16.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.55,53.18,94.49,104.8952,0.6225,0.3098,0.4329,76.17,61.8,40.88,36.52,27.7,0.2459,8.66,37.33,88.98,0.4205,0.1666,23.76,None,72,Daikin Park,
6,701398,Sal Stewart,CIN,MIL,2026-09-05T22:40:00Z,Pre-Game,3,Dustin May,669160,R,65.0,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Hot Hitter/Streak",60.1,42.5,83.3,96.6,50.0,88.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.7% barrel, 13.3 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.61,42.77,91.69,101.2825,0.5264,0.2589,0.3653,72.17,26.65,37.94,33.0,23.2,0.2389,7.73,44.43,90.04,0.3999,0.149,24.73,Out To RF,88,Great American Ball Park,
7,695600,Carter Jensen,KC,TOR,2026-09-05T23:10:00Z,Pre-Game,1,Max Scherzer,453286,R,63.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.3,47.6,55.2,93.2,80.0,88.7,Yes,No,1,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 14.1 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.15,49.34,92.67,103.0857,0.4643,0.2158,0.3469,74.1,38.87,40.79,31.12,16.3,0.2234,10.09,35.47,88.02,0.4249,0.189,33.53,R To L,98,Kauffman Stadium,
8,682829,Elly De La Cruz,CIN,MIL,2026-09-05T22:40:00Z,Pre-Game,2,Dustin May,669160,R,63.7,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",55.6,41.1,83.3,100.0,75.0,45.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,25,0,Contact streak: 12/25 over last 7 games,"switch hitter; pitcher baseline 7.7% barrel, 13.3 HR allowed",EV profile; pitcher fly-ball pressure modest,13.03,49.38,93.17,104.2074,0.4583,0.1898,0.35,75.45,54.4,34.19,24.54,21.3,0.1935,7.73,44.43,90.04,0.3999,0.149,24.73,Out To RF,88,Great American Ball Park,
9,665833,Oneil Cruz,PIT,LAA,2026-09-05T22:40:00Z,Pre-Game,4,Yusei Kikuchi,579328,L,63.6,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot",72.0,54.4,47.3,94.9,50.0,37.6,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,0,Contact streak: 10/27 over last 7 games,"same-side matchup; pitcher baseline 9.8% barrel, 12.1 HR allowed",EV profile; pitcher fly-ball pressure modest,17.37,55.97,95.45,106.7734,0.4635,0.2245,0.3457,78.31,75.89,39.88,24.36,17.9,0.2018,9.75,44.72,91.14,0.4532,0.1906,24.31,L To R,77,PNC Park,
10,691023,Jordan Walker,STL,COL,2026-09-06T00:10:00Z,Pre-Game,4,Mason Adams,690279,R,63.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",55.9,69.3,58.7,90.4,50.0,50.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,1,Contact streak: 10/30 over last 7 games,"same-side matchup; pitcher baseline 13.0% barrel, 2.0 HR allowed",EV profile; pitcher allows elevated contact,12.65,49.23,92.51,104.6014,0.447,0.1928,0.3291,78.87,83.05,37.89,24.12,21.4,0.1778,13.0,47.8,91.3,0.462,0.232,39.1,In From CF,90,Coors Field,
11,696100,Hunter Goodman,COL,STL,2026-09-06T00:10:00Z,Pre-Game,3,Matthew Liberatore,669461,L,62.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",57.9,55.9,58.7,96.6,78.0,15.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,0,"Last 7 games: 6/27, 0 HR","platoon edge; pitcher baseline 9.9% barrel, 23.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.0,45.71,90.45,102.6951,0.4623,0.2301,0.3241,74.93,48.81,47.93,32.34,34.5,0.2707,9.9,42.22,90.39,0.4566,0.1899,29.29,In From CF,90,Coors Field,
