rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,656941,Kyle Schwarber,PHI,HOU,2026-09-10T17:05:00Z,Pre-Game,1,Cristian Javier,664299,R,71.2,Tier 2,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",76.2,43.9,77.3,93.2,80.0,74.5,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 8.5% barrel, 7.2 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.21,52.67,92.97,104.1917,0.5292,0.2854,0.3786,77.16,75.49,54.84,33.11,47.6,0.2985,8.53,36.41,89.53,0.4124,0.1691,37.75,Out To RF,86,Citizens Bank Park,
2,670541,Yordan Alvarez,HOU,PHI,2026-09-10T17:05:00Z,Pre-Game,2,Zack Wheeler,554430,R,66.8,Tier 3,Watch List,"Elite Power, Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",77.8,26.8,77.3,100.0,80.0,37.8,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,28,1,"Last 7 games: 7/28, 1 HR","platoon edge; pitcher baseline 6.6% barrel, 19.7 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.34,52.9,94.35,104.8168,0.6162,0.3063,0.4294,76.17,62.08,40.88,35.96,28.4,0.2445,6.57,34.73,87.05,0.3242,0.1233,26.58,Out To RF,86,Citizens Bank Park,
3,592450,Aaron Judge,NYY,COL,2026-09-10T23:05:00Z,Scheduled,3,Ryan Feltner,663372,R,63.8,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",89.9,42.2,38.2,92.1,50.0,18.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,0,"Last 7 games: 6/25, 0 HR","same-side matchup; pitcher baseline 8.2% barrel, 14.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,22.21,57.43,94.42,105.6151,0.6261,0.3481,0.4247,76.34,66.65,41.34,34.41,27.8,0.3003,8.23,36.61,88.04,0.4323,0.1814,29.02,,,Yankee Stadium,
4,691406,Junior Caminero,TB,ATL,2026-09-10T16:15:00Z,In Progress,3,Martín Pérez,527048,L,61.7,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.3,40.2,52.9,96.6,78.0,60.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.3% barrel, 10.9 HR allowed",EV profile; pitcher fly-ball pressure modest,13.44,50.77,92.75,105.1953,0.4975,0.2292,0.3586,79.27,83.99,45.73,23.42,40.8,0.2577,8.28,38.49,88.27,0.4297,0.1681,23.92,L To R,83,Truist Park,
5,808959,Munetaka Murakami,CWS,PIT,2026-09-10T23:40:00Z,Scheduled,3,Jared Jones,683003,R,61.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",76.8,40.2,27.6,92.1,80.0,40.1,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 12.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.3,57.5,94.0,104.4749,0.457,0.256,0.345,74.8,50.8,45.2,39.0,31.0,0.27,8.1,39.3,89.7,0.38,0.159,26.5,,,Rate Field,
6,608369,Corey Seager,TEX,SEA,2026-09-10T20:10:00Z,Scheduled,2,Logan Gilbert,669302,R,61.0,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",63.1,49.4,25.4,95.5,80.0,78.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 24.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.37,50.17,91.99,102.5634,0.5116,0.2497,0.3685,71.73,15.02,40.78,31.41,18.2,0.2083,9.79,41.63,90.03,0.388,0.1624,28.82,,,T-Mobile Park,
7,547180,Bryce Harper,PHI,HOU,2026-09-10T17:05:00Z,Pre-Game,3,Cristian Javier,664299,R,60.5,Tier 3,Watch List,"Strong Barrel, Good Environment, Premium Lineup Spot, Platoon Edge",51.6,43.9,77.3,96.6,80.0,13.3,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,24,0,"Last 7 games: 5/24, 0 HR","platoon edge; pitcher baseline 8.5% barrel, 7.2 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,11.32,45.75,90.74,101.9139,0.4941,0.2205,0.3827,74.1,44.8,38.05,27.17,27.0,0.2246,8.53,36.41,89.53,0.4124,0.1691,37.75,Out To RF,86,Citizens Bank Park,
8,621566,Matt Olson,ATL,TB,2026-09-10T16:15:00Z,In Progress,3,Nick Martinez,607259,R,59.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",65.8,35.2,52.9,96.6,80.0,3.4,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","platoon edge; pitcher baseline 6.9% barrel, 19.9 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.68,51.62,92.81,103.7965,0.5018,0.2552,0.3551,74.53,47.54,38.35,33.06,34.6,0.2428,6.93,33.59,87.46,0.4198,0.153,28.61,L To R,83,Truist Park,
9,700250,Ben Rice,NYY,COL,2026-09-10T23:05:00Z,Scheduled,1,Ryan Feltner,663372,R,59.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",63.6,42.2,38.2,88.7,80.0,50.3,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,1,Contact streak: 9/27 over last 7 games,"platoon edge; pitcher baseline 8.2% barrel, 14.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.56,50.64,92.39,102.488,0.5208,0.2513,0.3791,72.91,27.87,45.03,30.67,33.0,0.2566,8.23,36.61,88.04,0.4323,0.1814,29.02,,,Yankee Stadium,
10,682987,Spencer Jones,NYY,COL,2026-09-10T23:05:00Z,Scheduled,5,Ryan Feltner,663372,R,58.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",66.5,42.2,38.2,81.9,80.0,46.0,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 8.2% barrel, 14.5 HR allowed",EV profile; pitcher fly-ball pressure modest,15.6,55.4,94.1,104.2558,0.44,0.202,0.329,77.2,72.5,33.6,34.4,9.0,0.201,8.23,36.61,88.04,0.4323,0.1814,29.02,,,Yankee Stadium,
11,660670,Ronald Acuña Jr.,ATL,TB,2026-09-10T16:15:00Z,In Progress,2,Nick Martinez,607259,R,58.2,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",59.2,35.2,52.9,100.0,50.0,74.9,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 6.9% barrel, 19.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.53,48.09,91.23,103.2902,0.5,0.2398,0.3739,76.05,62.81,35.81,27.6,17.5,0.1993,6.93,33.59,87.46,0.4198,0.153,28.61,L To R,83,Truist Park,
