rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,HOU,KC,2026-09-17T23:15:00Z,Pre-Game,2,Seth Lugo,607625,R,68.3,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.1,52.8,41.1,100.0,80.0,48.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 21.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.55,53.11,94.42,104.8373,0.6127,0.3042,0.428,76.17,62.08,41.02,36.1,29.1,0.2459,8.72,43.38,90.0,0.459,0.1883,28.76,None,72,Daikin Park,
2,665742,Juan Soto,NYM,PHI,2026-09-17T23:15:00Z,Pre-Game,2,Aaron Nola,605400,R,66.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",69.7,47.7,65.3,95.5,80.0,29.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,31,1,"Last 7 games: 6/31, 1 HR","platoon edge; pitcher baseline 9.3% barrel, 29.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.98,50.54,92.96,103.0867,0.5835,0.2916,0.4171,72.76,32.47,40.09,31.56,30.4,0.2515,9.31,41.27,88.77,0.4142,0.1724,27.46,Out To LF,77,Citi Field,
3,695600,Carter Jensen,KC,HOU,2026-09-17T23:15:00Z,Pre-Game,1,Miguel Ullola,699044,R,64.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",60.7,60.5,41.1,93.2,80.0,60.7,Yes,No,1,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 15.8% barrel, 2.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.64,48.78,92.53,103.0426,0.4769,0.2249,0.3539,74.1,38.87,41.56,31.4,17.7,0.2297,15.8,36.8,87.4,0.416,0.21,52.6,None,72,Daikin Park,
4,656941,Kyle Schwarber,PHI,NYM,2026-09-17T23:15:00Z,Pre-Game,1,Nolan McLean,690997,R,64.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",74.9,30.2,65.3,93.2,80.0,40.1,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.2% barrel, 13.1 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.72,52.46,92.97,104.1156,0.5229,0.2812,0.3758,77.16,75.42,54.49,33.04,48.3,0.2936,7.16,38.22,88.38,0.3478,0.1246,21.35,Out To LF,77,Citi Field,
5,682985,Riley Greene,DET,CWS,2026-09-17T23:40:00Z,Pre-Game,4,Erick Fedde,607200,R,62.3,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",62.1,48.1,48.6,90.4,80.0,61.4,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,27,1,Contact streak: 11/27 over last 7 games,"platoon edge; pitcher baseline 8.1% barrel, 21.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.7,47.11,90.25,102.5993,0.5015,0.2445,0.36,75.6,58.01,38.84,33.59,24.8,0.2077,8.11,40.78,89.08,0.4477,0.186,29.4,R To L,77,Rate Field,
6,665487,Fernando Tatis Jr.,SD,COL,2026-09-17T19:10:00Z,In Progress,1,Tanner Gordon,685299,R,62.2,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",57.5,61.7,44.7,93.2,50.0,83.2,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 10.7% barrel, 17.4 HR allowed",EV profile; pitcher allows elevated contact,12.12,53.2,93.09,104.4543,0.4922,0.2044,0.3742,75.65,58.12,35.01,22.29,23.6,0.1766,10.73,42.32,90.59,0.4838,0.2111,33.46,In From LF,74,Coors Field,
7,701538,Jackson Merrill,SD,COL,2026-09-17T19:10:00Z,In Progress,5,Tanner Gordon,685299,R,62.1,Tier 3,Watch List,"Strong Barrel, Platoon Edge",54.8,61.7,44.7,86.4,80.0,63.3,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,14,29,1,Contact streak: 14/29 over last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.72,47.38,90.96,101.2076,0.4928,0.2242,0.3484,72.95,27.96,37.14,30.34,22.3,0.1881,10.73,42.32,90.59,0.4838,0.2111,33.46,In From LF,74,Coors Field,
8,691406,Junior Caminero,TB,ATH,2026-09-17T17:10:00Z,In Progress,3,Jeffrey Springs,605488,L,60.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.5,46.5,41.1,96.6,78.0,47.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 31.5 HR allowed",EV profile; pitcher allows elevated contact,13.51,50.35,92.68,105.0913,0.4996,0.2327,0.3579,79.27,84.06,44.96,23.56,42.2,0.2605,8.94,35.69,87.74,0.4429,0.1918,32.02,None,72,Tropicana Field,
9,695506,Jac Caglianone,KC,HOU,2026-09-17T23:15:00Z,Pre-Game,3,Miguel Ullola,699044,R,60.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",57.8,60.5,41.1,96.6,80.0,8.5,Yes,No,3,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,17,0,"Last 7 games: 3/17, 0 HR","platoon edge; pitcher baseline 15.8% barrel, 2.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.12,50.87,91.99,104.7336,0.4786,0.2129,0.3434,77.26,74.27,44.42,22.54,18.2,0.1863,15.8,36.8,87.4,0.416,0.21,52.6,None,72,Daikin Park,
10,677951,Bobby Witt Jr.,KC,HOU,2026-09-17T23:15:00Z,Pre-Game,2,Miguel Ullola,699044,R,59.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",56.5,60.5,41.1,100.0,50.0,29.2,Yes,No,2,Yes,Yes,MLB Stats API; RotoWire,RotoWire not confirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,1,"Last 7 games: 5/26, 1 HR","same-side matchup; pitcher baseline 15.8% barrel, 2.0 HR allowed",EV profile; pitcher allows elevated contact,12.01,49.9,92.67,103.4712,0.5066,0.2115,0.3748,73.95,42.65,30.87,27.55,19.5,0.178,15.8,36.8,87.4,0.416,0.21,52.6,None,72,Daikin Park,
11,596019,Francisco Lindor,NYM,PHI,2026-09-17T23:15:00Z,Pre-Game,1,Aaron Nola,605400,R,58.6,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",45.1,46.9,65.3,88.7,75.0,70.9,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,31,3,Hot streak: 3 HR in last 7 games,"switch hitter; pitcher baseline 9.3% barrel, 29.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.97,46.64,90.92,100.3308,0.4372,0.1933,0.3338,72.16,23.93,44.97,32.61,23.3,0.2053,9.31,41.27,88.77,0.4142,0.1724,27.46,Out To LF,77,Citi Field,
