rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,682987,Spencer Jones,NYY,TB,2026-09-23T23:05:00Z,Pre-Game,5,Mason Englert,669438,R,66.8,Tier 3,Watch List,"Strong Barrel, Platoon Edge",67.7,65.0,51.7,86.4,80.0,36.7,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 13.2% barrel, 7.5 HR allowed",EV profile; pitcher allows elevated contact,15.4,54.7,94.1,104.2393,0.447,0.212,0.325,77.1,71.8,34.9,38.9,11.0,0.189,13.25,40.74,89.98,0.5045,0.2272,30.22,In From LF,63,Yankee Stadium,
2,700250,Ben Rice,NYY,TB,2026-09-23T23:05:00Z,Pre-Game,1,Mason Englert,669438,R,65.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.9,65.0,51.7,93.2,80.0,30.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,1,"Last 7 games: 5/25, 1 HR","platoon edge; pitcher baseline 13.2% barrel, 7.5 HR allowed",lift-pull EV profile; pitcher allows elevated contact,14.35,50.43,92.32,102.4413,0.5194,0.2492,0.3798,72.84,27.45,44.68,30.88,35.1,0.2587,13.25,40.74,89.98,0.5045,0.2272,30.22,In From LF,63,Yankee Stadium,
3,670541,Yordan Alvarez,HOU,SEA,2026-09-24T02:10:00Z,Pre-Game,2,George Kirby,669923,R,65.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",78.4,40.6,29.9,95.5,80.0,99.5,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.2% barrel, 19.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.55,53.32,94.42,104.8055,0.6162,0.3063,0.4294,76.1,61.59,40.95,36.03,30.5,0.2487,7.2,41.17,89.83,0.4067,0.1465,23.96,In From LF,59,T-Mobile Park,
4,808959,Munetaka Murakami,CWS,KC,2026-09-23T23:40:00Z,Pre-Game,4,Seth Lugo,607625,R,65.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",73.6,53.9,35.7,94.9,80.0,45.9,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 24.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.8,55.5,93.6,104.19,0.448,0.249,0.344,74.7,49.7,46.5,38.0,33.0,0.266,8.93,43.52,90.0,0.4618,0.1918,28.97,In From RF,73,Kauffman Stadium,
5,660271,Shohei Ohtani,LAD,SD,2026-09-24T02:10:00Z,Pre-Game,2,Robbie Ray,592662,L,65.4,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",78.5,48.6,62.1,100.0,50.0,0.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,26,0,"Last 7 games: 2/26, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 22.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.11,53.66,93.71,104.4581,0.5825,0.2994,0.4068,74.96,52.87,46.49,31.92,37.5,0.2735,8.69,40.08,89.88,0.4088,0.1723,33.38,Out To CF,75,UNIQLO Field at Dodger Stadium,
6,682998,Corbin Carroll,AZ,COL,2026-09-24T00:40:00Z,Pre-Game,7,Mason Adams,690279,R,63.6,Tier 3,Watch List,"Strong Barrel, Platoon Edge",58.1,69.3,57.7,64.3,80.0,59.1,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.8% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.24,48.92,91.89,102.5637,0.4758,0.2215,0.3531,75.23,54.12,42.54,30.6,24.7,0.2463,10.8,55.4,92.2,0.49,0.228,33.8,L To R,69,Coors Field,
7,663457,Lars Nootbaar,AZ,COL,2026-09-24T00:40:00Z,Pre-Game,1,Mason Adams,690279,R,63.2,Tier 3,Watch List,"Premium Lineup Spot, Platoon Edge",47.7,69.3,57.7,93.2,80.0,39.2,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,27,1,"Last 7 games: 7/27, 1 HR","platoon edge; pitcher baseline 10.8% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,9.92,50.14,91.93,101.838,0.4245,0.1816,0.3338,73.26,35.12,38.49,27.99,8.8,0.1354,10.8,55.4,92.2,0.49,0.228,33.8,L To R,69,Coors Field,
8,545361,Mike Trout,LAA,ATH,2026-09-24T01:40:00Z,Pre-Game,2,Jeffrey Springs,605488,L,63.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",59.8,45.5,68.4,100.0,78.0,21.1,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,23,0,"Last 7 games: 6/23, 0 HR","platoon edge; pitcher baseline 8.8% barrel, 31.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.87,46.92,90.27,102.8812,0.4824,0.2334,0.3734,74.49,46.51,36.02,30.93,22.5,0.1874,8.8,35.34,87.67,0.4394,0.189,32.09,Out To RF,89,Sutter Health Park,
9,669257,Will Smith,LAD,SD,2026-09-24T02:10:00Z,Pre-Game,3,Robbie Ray,592662,L,62.8,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",51.5,48.6,62.1,96.6,78.0,85.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 22.0 HR allowed",fly-ball profile; pitcher allows elevated contact,12.62,42.55,89.69,100.2132,0.4995,0.2277,0.3829,69.77,6.38,31.16,39.85,12.1,0.1807,8.69,40.08,89.88,0.4088,0.1723,33.38,Out To CF,75,UNIQLO Field at Dodger Stadium,
10,606466,Ketel Marte,AZ,COL,2026-09-24T00:40:00Z,Pre-Game,2,Mason Adams,690279,R,62.4,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",47.7,68.7,57.7,100.0,75.0,15.9,Yes,,,No,Yes,MLB Stats API; RotoWire,not found on RotoWire,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,31,0,"Last 7 games: 7/31, 0 HR","switch hitter; pitcher baseline 10.8% barrel, 6.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.63,43.5,90.38,101.9727,0.4773,0.2,0.3571,74.74,46.49,48.77,27.99,23.8,0.2004,10.8,55.4,92.2,0.49,0.228,33.8,L To R,69,Coors Field,
