rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,HOU,ATH,2026-09-25T01:40:00Z,Scheduled,2,,,,63.2,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",78.4,41.2,30.9,95.5,60.0,81.2,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,24,2,Hot streak: 2 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.55,53.32,94.42,104.8055,0.6162,0.3063,0.4294,76.1,61.59,40.95,36.03,30.5,0.2487,,,,,,,,,Sutter Health Park,
2,621566,Matt Olson,ATL,CIN,2026-09-24T23:15:00Z,Scheduled,3,Brady Singer,663903,R,63.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",65.1,54.8,30.9,92.1,80.0,75.6,No,Yes,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 27.4 HR allowed",EV profile; pitcher fly-ball pressure modest,14.4,52.11,92.67,103.6569,0.499,0.2517,0.3537,74.53,47.26,37.79,32.92,36.7,0.2393,9.89,42.31,90.79,0.4489,0.18,26.86,,,Truist Park,
3,665742,Juan Soto,NYM,TEX,2026-09-24T18:35:00Z,Scheduled,2,Kumar Rocker,677958,R,62.6,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",69.8,48.7,27.6,95.5,80.0,63.1,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.9% barrel, 17.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.12,50.47,93.03,103.1509,0.5828,0.2902,0.4164,72.83,32.54,39.67,31.21,31.1,0.2487,8.93,42.39,89.8,0.4392,0.178,23.7,,,Globe Life Field,
4,660271,Shohei Ohtani,LAD,SD,2026-09-25T02:10:00Z,Scheduled,2,Nick Pivetta,601713,R,61.1,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge",78.5,43.6,27.6,95.5,80.0,0.8,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,0,"Last 7 games: 3/24, 0 HR","platoon edge; pitcher baseline 9.6% barrel, 8.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,18.11,53.66,93.71,104.4581,0.5825,0.2994,0.4068,74.96,52.87,46.49,31.92,37.5,0.2735,9.57,38.63,89.46,0.3722,0.1568,33.3,,,UNIQLO Field at Dodger Stadium,
5,804668,Rafael Flores,PIT,STL,2026-09-24T16:35:00Z,Scheduled,2,Kyle Leahy,681517,R,59.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",65.2,51.3,24.3,95.5,50.0,74.9,No,Yes,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 9.7% barrel, 12.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.18,52.28,92.07,102.4091,0.5091,0.2549,0.3589,73.75,37.99,40.26,38.06,7.0,0.2254,9.73,46.13,90.5,0.4363,0.167,23.17,,,PNC Park,
6,808959,Munetaka Murakami,CWS,KC,2026-09-24T18:10:00Z,Scheduled,4,Randy Dobnak,677976,R,59.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",73.6,36.3,23.2,90.4,80.0,52.8,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.2% barrel, 5.2 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.8,55.5,93.6,104.19,0.448,0.249,0.344,74.7,49.7,46.5,38.0,33.0,0.266,5.25,44.68,91.39,0.422,0.138,23.18,,,Kauffman Stadium,
7,656941,Kyle Schwarber,PHI,MIL,2026-09-24T22:05:00Z,Scheduled,1,Bryse Wilson,669060,R,58.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",74.1,40.5,34.3,88.7,80.0,0.0,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,1,22,0,"Last 7 games: 1/22, 0 HR","platoon edge; pitcher baseline 5.3% barrel, 5.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.44,52.25,92.9,104.0136,0.518,0.2791,0.3751,77.16,75.21,54.21,33.39,48.3,0.2894,5.26,46.1,91.51,0.4485,0.1538,26.12,,,Citizens Bank Park,
8,700250,Ben Rice,NYY,TB,2026-09-24T23:05:00Z,Scheduled,1,Ian Seymour,693855,L,58.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",62.9,44.8,38.2,88.7,50.0,82.7,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.4% barrel, 19.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,14.35,50.43,92.32,102.4413,0.5194,0.2492,0.3798,72.84,27.45,44.68,30.88,35.1,0.2587,9.41,37.45,88.42,0.3966,0.1705,29.45,,,Yankee Stadium,
9,686948,Drake Baldwin,ATL,CIN,2026-09-24T23:15:00Z,Scheduled,1,Brady Singer,663903,R,58.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",55.6,54.8,30.9,88.7,80.0,52.1,No,Yes,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,29,1,Contact streak: 10/29 over last 7 games,"platoon edge; pitcher baseline 9.9% barrel, 27.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.12,50.02,91.49,102.1537,0.4919,0.2164,0.3628,75.3,56.51,32.43,25.81,22.5,0.1803,9.89,42.31,90.79,0.4489,0.18,26.86,,,Truist Park,
10,664040,Brandon Lowe,PIT,STL,2026-09-24T16:35:00Z,Scheduled,4,Kyle Leahy,681517,R,57.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",52.4,51.3,24.3,90.4,80.0,88.9,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 12.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.44,45.97,91.03,101.5182,0.4521,0.2082,0.3315,73.66,39.6,46.02,32.64,32.4,0.2259,9.73,46.13,90.5,0.4363,0.167,23.17,,,PNC Park,
11,663728,Cal Raleigh,SEA,LAA,2026-09-25T01:40:00Z,Scheduled,4,Grayson Rodriguez,680570,R,56.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",60.4,52.0,25.4,90.4,75.0,26.4,No,Yes,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,1,"Last 7 games: 4/23, 1 HR","switch hitter; pitcher baseline 8.9% barrel, 15.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,16.07,42.25,90.32,101.2003,0.4427,0.2411,0.329,75.13,52.6,52.82,43.06,34.1,0.2377,8.9,45.1,90.2,0.468,0.192,27.6,,,T-Mobile Park,
