player,team,opponent,pitcher,hitter_hand,pitcher_hand,ab,pa,home_run,k_percent,bb_percent,slg_percent,on_base_plus_slg,isolated_power,xslg,xwoba,xiso,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,pa,home_run,k_percent,bb_percent,batting_avg,slg_percent,on_base_plus_slg,isolated_power,babip,p_era,xslg,xwoba,xiso,exit_velocity_avg,barrel,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,pull_percent,batted_ball,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,batting_order,confirmed_lineup,public_attention
Cole Young,SEA,BAL,Trey Gibson,L,RHP,233.0,263.0,4.0,19.8,7.6000000000000005,0.356,0.68,0.10300000000000001,0.406,0.329,0.137,71.60000000000001,87.5,17.1,36.800000000000004,5.4,36.800000000000004,55.0,2.0,9.1,12.700000000000001,0.271,0.438,0.802,0.167,0.268,3.65,0.551,0.405,0.248,92.9,6.0,14.0,44.2,83.12045409,96.12119372000001,12.600000000000001,41.900000000000006,43.0,55.800000000000004,23.3,20.900000000000002,0.0,Oriole Park at Camden Yards,108,74,6,In From RF,1,Yes,
Julio Rodríguez,SEA,BAL,Trey Gibson,R,RHP,267.0,291.0,13.0,21.3,7.2,0.457,0.773,0.199,0.463,0.338,0.201,76.7,90.30000000000001,13.0,30.6,9.200000000000001,43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,2,Yes,
Josh Naylor,SEA,BAL,Trey Gibson,L,RHP,241.0,266.0,6.0,13.5,7.9,0.361,0.682,0.10400000000000001,0.40900000000000003,0.327,0.134,70.10000000000001,87.80000000000001,14.100000000000001,31.1,5.300000000000001,38.300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,3,Yes,
Randy Arozarena,SEA,BAL,Trey Gibson,R,RHP,242.0,282.0,6.0,22.3,9.600000000000001,0.442,0.8180000000000001,0.157,0.425,0.353,0.158,71.0,91.5,7.9,38.5,7.7,42.300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,4,Yes,
Luke Raley,SEA,BAL,Trey Gibson,L,RHP,170.0,187.0,13.0,33.2,4.800000000000001,0.535,0.854,0.276,0.554,0.374,0.289,75.3,90.10000000000001,15.8,40.0,19.1,46.400000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,5,Yes,
Dominic Canzone,SEA,BAL,Trey Gibson,L,RHP,140.0,157.0,8.0,21.700000000000003,8.3,0.521,0.859,0.25,0.53,0.377,0.244,74.5,93.60000000000001,13.3,38.900000000000006,16.7,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,6,Yes,
Patrick Wisdom,SEA,BAL,Trey Gibson,R,RHP,28.0,30.0,1.0,43.300000000000004,6.7,0.28600000000000003,0.486,0.14300000000000002,0.355,0.243,0.17400000000000002,76.7,92.5,24.700000000000003,33.300000000000004,20.0,53.300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,7,Yes,
Colt Emerson,SEA,BAL,Trey Gibson,L,RHP,62.0,69.0,4.0,30.400000000000002,7.2,0.548,0.867,0.306,0.257,0.232,0.099,72.4,88.0,18.3,36.6,4.9,31.700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
Jhonny Pereda,SEA,BAL,Trey Gibson,R,RHP,48.0,53.0,2.0,13.200000000000001,7.5,0.417,0.775,0.125,0.465,0.38,0.13,71.2,90.60000000000001,13.100000000000001,48.800000000000004,4.9,48.800000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,Oriole Park at Camden Yards,108,74,6,In From RF,8,Yes,
Taylor Ward,BAL,SEA,Emerson Hancock,R,RHP,239.0,298.0,3.0,21.1,18.8,0.36,0.756,0.105,0.371,0.34900000000000003,0.11900000000000001,68.10000000000001,89.4,13.8,36.0,5.1000000000000005,40.400000000000006,271.0,10.0,25.8,5.5,0.20600000000000002,0.36,0.618,0.154,0.243,2.8000000000000003,0.441,0.321,0.192,90.0,19.0,10.5,43.7,78.95004593,94.84291033,23.5,38.300000000000004,183.0,42.6,27.900000000000002,21.3,8.200000000000001,Oriole Park at Camden Yards,108,74,6,In From RF,1,Yes,
