player,team,opponent,pitcher,hitter_hand,pitcher_hand,barrel_pct,iso,avg_exit_velocity,hard_hit_pct,hr_total,pitcher_barrel_pct_allowed,pitcher_hr_allowed,pitcher_hr_allowed_vs_lhh,pitcher_hr_allowed_vs_rhh,ballpark,park_hr_factor,weather_temp,wind_speed,wind_direction,batting_order,confirmed_lineup,public_attention,odds
Cole Young,SEA,BAL,Trey Gibson,L,R,5.4,0.10300000000000001,87.5,36.800000000000004,4.0,14.0,2.0,1.2,0.8,Oriole Park at Camden Yards,108,74,6,In From RF,1,Yes,,
Julio Rodríguez,SEA,BAL,Trey Gibson,R,R,9.200000000000001,0.199,90.30000000000001,43.7,13.0,14.0,2.0,0.8,1.2,Oriole Park at Camden Yards,108,74,6,In From RF,2,Yes,,
Josh Naylor,SEA,BAL,Trey Gibson,L,R,5.300000000000001,0.10400000000000001,87.80000000000001,38.300000000000004,6.0,14.0,2.0,1.2,0.8,Oriole Park at Camden Yards,108,74,6,In From RF,3,Yes,,
Randy Arozarena,SEA,BAL,Trey Gibson,R,R,7.7,0.157,91.5,42.300000000000004,6.0,14.0,2.0,0.8,1.2,Oriole Park at Camden Yards,108,74,6,In From RF,4,Yes,,
Luke Raley,SEA,BAL,Trey Gibson,L,R,19.1,0.276,90.10000000000001,46.400000000000006,13.0,14.0,2.0,1.2,0.8,Oriole Park at Camden Yards,108,74,6,In From RF,5,Yes,,
Dominic Canzone,SEA,BAL,Trey Gibson,L,R,16.7,0.25,93.60000000000001,50.0,8.0,14.0,2.0,1.2,0.8,Oriole Park at Camden Yards,108,74,6,In From RF,6,Yes,,
Patrick Wisdom,SEA,BAL,Trey Gibson,R,R,20.0,0.14300000000000002,92.5,53.300000000000004,1.0,14.0,2.0,0.8,1.2,Oriole Park at Camden Yards,108,74,6,In From RF,7,Yes,,
Colt Emerson,SEA,BAL,Trey Gibson,L,R,4.9,0.306,88.0,31.700000000000003,4.0,14.0,2.0,1.2,0.8,,,,,,,No,,
Jhonny Pereda,SEA,BAL,Trey Gibson,R,R,4.9,0.125,90.60000000000001,48.800000000000004,2.0,14.0,2.0,0.8,1.2,Oriole Park at Camden Yards,108,74,6,In From RF,8,Yes,,
Taylor Ward,BAL,SEA,Emerson Hancock,R,R,5.1000000000000005,0.105,89.4,40.400000000000006,3.0,10.5,10.0,4.0,6.0,Oriole Park at Camden Yards,108,74,6,In From RF,1,Yes,,
